category,file,MAE,MAPE(%),MASE_lag1,MASE_lastValue,R2,RMSSE,SMAPE(%),nMAE,nRMSE
60,6vD1_Lancher-AverageValueNaive-30Seed/260428_071721/60/forecast_Wh_metrics_60d.json,[0.7663765533875918],[13.675370117591731],[1.0427123258899285],[1.026394878655528],[-2.307879890458906],[0.8317803997705009],[15.078060173599289],[0.14399891046527288],[0.17342548328122204]
90,6vD1_Lancher-AverageValueNaive-30Seed/260428_071721/90/forecast_Wh_metrics_90d.json,[0.5808419797979768],[11.714839782037371],[0.75756028573278],[0.8699751165327911],[-0.5508870252468474],[0.6045841006166166],[10.881402231627511],[0.10998608311591987],[0.13246352459781888]
120,6vD1_Lancher-AverageValueNaive-30Seed/260428_071805/120/forecast_Wh_metrics_120d.json,[1.0116910797101426],[18.485974132546364],[1.2397970041239448],[0.9392607682814269],[-2.9360104778926064],[1.0671171908060155],[21.307365665779653],[0.18506532856567942],[0.23775757525471064]
60,6vD1_Lancher-AverageValueNaive-30Seed/260428_071805/60/forecast_Wh_metrics_60d.json,[0.7663765533875918],[13.675370117591731],[1.0427123258899285],[1.026394878655528],[-2.307879890458906],[0.8317803997705009],[15.078060173599289],[0.14399891046527288],[0.17342548328122204]
90,6vD1_Lancher-AverageValueNaive-30Seed/260428_071805/90/forecast_Wh_metrics_90d.json,[0.5808419797979768],[11.714839782037371],[0.75756028573278],[0.8699751165327911],[-0.5508870252468474],[0.6045841006166166],[10.881402231627511],[0.10998608311591987],[0.13246352459781888]
120,6vD1_Lancher-AverageValueNaive-30Seed/260428_071903/120/forecast_Wh_metrics_120d.json,[1.0116910797101426],[18.485974132546364],[1.2397970041239448],[0.9392607682814269],[-2.9360104778926064],[1.0671171908060155],[21.307365665779653],[0.18506532856567942],[0.23775757525471064]
60,6vD1_Lancher-AverageValueNaive-30Seed/260428_071903/60/forecast_Wh_metrics_60d.json,[0.7663765533875918],[13.675370117591731],[1.0427123258899285],[1.026394878655528],[-2.307879890458906],[0.8317803997705009],[15.078060173599289],[0.14399891046527288],[0.17342548328122204]
90,6vD1_Lancher-AverageValueNaive-30Seed/260428_071903/90/forecast_Wh_metrics_90d.json,[0.5808419797979768],[11.714839782037371],[0.75756028573278],[0.8699751165327911],[-0.5508870252468474],[0.6045841006166166],[10.881402231627511],[0.10998608311591987],[0.13246352459781888]
120,6vD1_Lancher-AverageValueNaive-30Seed/260428_072003/120/forecast_Wh_metrics_120d.json,[1.0116910797101426],[18.485974132546364],[1.2397970041239448],[0.9392607682814269],[-2.9360104778926064],[1.0671171908060155],[21.307365665779653],[0.18506532856567942],[0.23775757525471064]
60,6vD1_Lancher-AverageValueNaive-30Seed/260428_072003/60/forecast_Wh_metrics_60d.json,[0.7663765533875918],[13.675370117591731],[1.0427123258899285],[1.026394878655528],[-2.307879890458906],[0.8317803997705009],[15.078060173599289],[0.14399891046527288],[0.17342548328122204]
90,6vD1_Lancher-AverageValueNaive-30Seed/260428_072003/90/forecast_Wh_metrics_90d.json,[0.5808419797979768],[11.714839782037371],[0.75756028573278],[0.8699751165327911],[-0.5508870252468474],[0.6045841006166166],[10.881402231627511],[0.10998608311591987],[0.13246352459781888]
120,6vD1_Lancher-AverageValueNaive-30Seed/260428_072107/120/forecast_Wh_metrics_120d.json,[1.0116910797101426],[18.485974132546364],[1.2397970041239448],[0.9392607682814269],[-2.9360104778926064],[1.0671171908060155],[21.307365665779653],[0.18506532856567942],[0.23775757525471064]
60,6vD1_Lancher-AverageValueNaive-30Seed/260428_072107/60/forecast_Wh_metrics_60d.json,[0.7663765533875918],[13.675370117591731],[1.0427123258899285],[1.026394878655528],[-2.307879890458906],[0.8317803997705009],[15.078060173599289],[0.14399891046527288],[0.17342548328122204]
