category,file,MAE,MAPE(%),MASE_lag1,R2,RMSSE,SMAPE(%),nMAE,nRMSE
30,260424_023332/30/forecast_Wh_metrics_30d.json,[0.7223331579936986],[12.5592453963749],[1.0103915654134825],[-2.06068347286109],[0.8107090740676978],[13.754314670426067],[0.1322787901609886],[0.1589223858372398]
60,260424_023332/60/forecast_Wh_metrics_60d.json,[0.6231672442176943],[11.194073482724038],[0.8478654047601367],[-1.2494927104393052],[0.6859241780111379],[12.005546868567388],[0.11709048744816086],[0.14301458906542913]
90,260424_023332/90/forecast_Wh_metrics_90d.json,[0.4895397293319897],[9.005135369572198],[0.6384797761333946],[-0.1065273605939927],[0.510678670480696],[9.259549134332874],[0.09269742758190475],[0.11188897716597]
120,260424_023444/120/forecast_Wh_metrics_120d.json,[3.028850867384903],[58.20717532052737],[3.711765682858345],[-29.938653037262235],[2.9918147182708954],[41.42132099390596],[0.5540577476571483],[0.6665871557088906]
30,260424_023444/30/forecast_Wh_metrics_30d.json,[0.7223331579936986],[12.5592453963749],[1.0103915654134825],[-2.06068347286109],[0.8107090740676978],[13.754314670426067],[0.1322787901609886],[0.1589223858372398]
60,260424_023444/60/forecast_Wh_metrics_60d.json,[0.6231672442176943],[11.194073482724038],[0.8478654047601367],[-1.2494927104393052],[0.6859241780111379],[12.005546868567388],[0.11709048744816086],[0.14301458906542913]
90,260424_023444/90/forecast_Wh_metrics_90d.json,[0.4895397293319897],[9.005135369572198],[0.6384797761333946],[-0.1065273605939927],[0.510678670480696],[9.259549134332874],[0.09269742758190475],[0.11188897716597]
120,260424_023556/120/forecast_Wh_metrics_120d.json,[3.028850867384903],[58.20717532052737],[3.711765682858345],[-29.938653037262235],[2.9918147182708954],[41.42132099390596],[0.5540577476571483],[0.6665871557088906]
30,260424_023556/30/forecast_Wh_metrics_30d.json,[0.7223331579936986],[12.5592453963749],[1.0103915654134825],[-2.06068347286109],[0.8107090740676978],[13.754314670426067],[0.1322787901609886],[0.1589223858372398]
60,260424_023556/60/forecast_Wh_metrics_60d.json,[0.6231672442176943],[11.194073482724038],[0.8478654047601367],[-1.2494927104393052],[0.6859241780111379],[12.005546868567388],[0.11709048744816086],[0.14301458906542913]
90,260424_023556/90/forecast_Wh_metrics_90d.json,[0.4895397293319897],[9.005135369572198],[0.6384797761333946],[-0.1065273605939927],[0.510678670480696],[9.259549134332874],[0.09269742758190475],[0.11188897716597]
120,260424_023708/120/forecast_Wh_metrics_120d.json,[3.028850867384903],[58.20717532052737],[3.711765682858345],[-29.938653037262235],[2.9918147182708954],[41.42132099390596],[0.5540577476571483],[0.6665871557088906]
30,260424_023708/30/forecast_Wh_metrics_30d.json,[0.7223331579936986],[12.5592453963749],[1.0103915654134825],[-2.06068347286109],[0.8107090740676978],[13.754314670426067],[0.1322787901609886],[0.1589223858372398]
60,260424_023708/60/forecast_Wh_metrics_60d.json,[0.6231672442176943],[11.194073482724038],[0.8478654047601367],[-1.2494927104393052],[0.6859241780111379],[12.005546868567388],[0.11709048744816086],[0.14301458906542913]
90,260424_023708/90/forecast_Wh_metrics_90d.json,[0.4895397293319897],[9.005135369572198],[0.6384797761333946],[-0.1065273605939927],[0.510678670480696],[9.259549134332874],[0.09269742758190475],[0.11188897716597]
120,260424_023823/120/forecast_Wh_metrics_120d.json,[3.028850867384903],[58.20717532052737],[3.711765682858345],[-29.938653037262235],[2.9918147182708954],[41.42132099390596],[0.5540577476571483],[0.6665871557088906]
30,260424_023823/30/forecast_Wh_metrics_30d.json,[0.7223331579936986],[12.5592453963749],[1.0103915654134825],[-2.06068347286109],[0.8107090740676978],[13.754314670426067],[0.1322787901609886],[0.1589223858372398]
60,260424_023823/60/forecast_Wh_metrics_60d.json,[0.6231672442176943],[11.194073482724038],[0.8478654047601367],[-1.2494927104393052],[0.6859241780111379],[12.005546868567388],[0.11709048744816086],[0.14301458906542913]
90,260424_023823/90/forecast_Wh_metrics_90d.json,[0.4895397293319897],[9.005135369572198],[0.6384797761333946],[-0.1065273605939927],[0.510678670480696],[9.259549134332874],[0.09269742758190475],[0.11188897716597]
120,260424_023936/120/forecast_Wh_metrics_120d.json,[3.028850867384903],[58.20717532052737],[3.711765682858345],[-29.938653037262235],[2.9918147182708954],[41.42132099390596],[0.5540577476571483],[0.6665871557088906]
30,260424_023936/30/forecast_Wh_metrics_30d.json,[0.7223331579936986],[12.5592453963749],[1.0103915654134825],[-2.06068347286109],[0.8107090740676978],[13.754314670426067],[0.1322787901609886],[0.1589223858372398]
60,260424_023936/60/forecast_Wh_metrics_60d.json,[0.6231672442176943],[11.194073482724038],[0.8478654047601367],[-1.2494927104393052],[0.6859241780111379],[12.005546868567388],[0.11709048744816086],[0.14301458906542913]
90,260424_023936/90/forecast_Wh_metrics_90d.json,[0.4895397293319897],[9.005135369572198],[0.6384797761333946],[-0.1065273605939927],[0.510678670480696],[9.259549134332874],[0.09269742758190475],[0.11188897716597]
120,260424_024051/120/forecast_Wh_metrics_120d.json,[3.028850867384903],[58.20717532052737],[3.711765682858345],[-29.938653037262235],[2.9918147182708954],[41.42132099390596],[0.5540577476571483],[0.6665871557088906]
30,260424_024051/30/forecast_Wh_metrics_30d.json,[0.7223331579936986],[12.5592453963749],[1.0103915654134825],[-2.06068347286109],[0.8107090740676978],[13.754314670426067],[0.1322787901609886],[0.1589223858372398]
60,260424_024051/60/forecast_Wh_metrics_60d.json,[0.6231672442176943],[11.194073482724038],[0.8478654047601367],[-1.2494927104393052],[0.6859241780111379],[12.005546868567388],[0.11709048744816086],[0.14301458906542913]
90,260424_024051/90/forecast_Wh_metrics_90d.json,[0.4895397293319897],[9.005135369572198],[0.6384797761333946],[-0.1065273605939927],[0.510678670480696],[9.259549134332874],[0.09269742758190475],[0.11188897716597]
120,260424_024203/120/forecast_Wh_metrics_120d.json,[3.028850867384903],[58.20717532052737],[3.711765682858345],[-29.938653037262235],[2.9918147182708954],[41.42132099390596],[0.5540577476571483],[0.6665871557088906]
30,260424_024203/30/forecast_Wh_metrics_30d.json,[0.7223331579936986],[12.5592453963749],[1.0103915654134825],[-2.06068347286109],[0.8107090740676978],[13.754314670426067],[0.1322787901609886],[0.1589223858372398]
60,260424_024203/60/forecast_Wh_metrics_60d.json,[0.6231672442176943],[11.194073482724038],[0.8478654047601367],[-1.2494927104393052],[0.6859241780111379],[12.005546868567388],[0.11709048744816086],[0.14301458906542913]
90,260424_024203/90/forecast_Wh_metrics_90d.json,[0.4895397293319897],[9.005135369572198],[0.6384797761333946],[-0.1065273605939927],[0.510678670480696],[9.259549134332874],[0.09269742758190475],[0.11188897716597]
120,260424_024318/120/forecast_Wh_metrics_120d.json,[3.028850867384903],[58.20717532052737],[3.711765682858345],[-29.938653037262235],[2.9918147182708954],[41.42132099390596],[0.5540577476571483],[0.6665871557088906]
30,260424_024318/30/forecast_Wh_metrics_30d.json,[0.7223331579936986],[12.5592453963749],[1.0103915654134825],[-2.06068347286109],[0.8107090740676978],[13.754314670426067],[0.1322787901609886],[0.1589223858372398]
60,260424_024318/60/forecast_Wh_metrics_60d.json,[0.6231672442176943],[11.194073482724038],[0.8478654047601367],[-1.2494927104393052],[0.6859241780111379],[12.005546868567388],[0.11709048744816086],[0.14301458906542913]
90,260424_024318/90/forecast_Wh_metrics_90d.json,[0.4895397293319897],[9.005135369572198],[0.6384797761333946],[-0.1065273605939927],[0.510678670480696],[9.259549134332874],[0.09269742758190475],[0.11188897716597]
120,260424_024511/120/forecast_Wh_metrics_120d.json,[3.028850867384903],[58.20717532052737],[3.711765682858345],[-29.938653037262235],[2.9918147182708954],[41.42132099390596],[0.5540577476571483],[0.6665871557088906]
30,260424_024511/30/forecast_Wh_metrics_30d.json,[0.7223331579936986],[12.5592453963749],[1.0103915654134825],[-2.06068347286109],[0.8107090740676978],[13.754314670426067],[0.1322787901609886],[0.1589223858372398]
60,260424_024511/60/forecast_Wh_metrics_60d.json,[0.6231672442176943],[11.194073482724038],[0.8478654047601367],[-1.2494927104393052],[0.6859241780111379],[12.005546868567388],[0.11709048744816086],[0.14301458906542913]
90,260424_024511/90/forecast_Wh_metrics_90d.json,[0.4895397293319897],[9.005135369572198],[0.6384797761333946],[-0.1065273605939927],[0.510678670480696],[9.259549134332874],[0.09269742758190475],[0.11188897716597]
120,260424_024633/120/forecast_Wh_metrics_120d.json,[3.028850867384903],[58.20717532052737],[3.711765682858345],[-29.938653037262235],[2.9918147182708954],[41.42132099390596],[0.5540577476571483],[0.6665871557088906]
30,260424_024633/30/forecast_Wh_metrics_30d.json,[0.7223331579936986],[12.5592453963749],[1.0103915654134825],[-2.06068347286109],[0.8107090740676978],[13.754314670426067],[0.1322787901609886],[0.1589223858372398]
60,260424_024633/60/forecast_Wh_metrics_60d.json,[0.6231672442176943],[11.194073482724038],[0.8478654047601367],[-1.2494927104393052],[0.6859241780111379],[12.005546868567388],[0.11709048744816086],[0.14301458906542913]
90,260424_024633/90/forecast_Wh_metrics_90d.json,[0.4895397293319897],[9.005135369572198],[0.6384797761333946],[-0.1065273605939927],[0.510678670480696],[9.259549134332874],[0.09269742758190475],[0.11188897716597]
120,260424_024818/120/forecast_Wh_metrics_120d.json,[3.028850867384903],[58.20717532052737],[3.711765682858345],[-29.938653037262235],[2.9918147182708954],[41.42132099390596],[0.5540577476571483],[0.6665871557088906]
30,260424_024818/30/forecast_Wh_metrics_30d.json,[0.7223331579936986],[12.5592453963749],[1.0103915654134825],[-2.06068347286109],[0.8107090740676978],[13.754314670426067],[0.1322787901609886],[0.1589223858372398]
60,260424_024818/60/forecast_Wh_metrics_60d.json,[0.6231672442176943],[11.194073482724038],[0.8478654047601367],[-1.2494927104393052],[0.6859241780111379],[12.005546868567388],[0.11709048744816086],[0.14301458906542913]
90,260424_024818/90/forecast_Wh_metrics_90d.json,[0.4895397293319897],[9.005135369572198],[0.6384797761333946],[-0.1065273605939927],[0.510678670480696],[9.259549134332874],[0.09269742758190475],[0.11188897716597]
120,260424_024937/120/forecast_Wh_metrics_120d.json,[3.028850867384903],[58.20717532052737],[3.711765682858345],[-29.938653037262235],[2.9918147182708954],[41.42132099390596],[0.5540577476571483],[0.6665871557088906]
30,260424_024937/30/forecast_Wh_metrics_30d.json,[0.7223331579936986],[12.5592453963749],[1.0103915654134825],[-2.06068347286109],[0.8107090740676978],[13.754314670426067],[0.1322787901609886],[0.1589223858372398]
60,260424_024937/60/forecast_Wh_metrics_60d.json,[0.6231672442176943],[11.194073482724038],[0.8478654047601367],[-1.2494927104393052],[0.6859241780111379],[12.005546868567388],[0.11709048744816086],[0.14301458906542913]
90,260424_024937/90/forecast_Wh_metrics_90d.json,[0.4895397293319897],[9.005135369572198],[0.6384797761333946],[-0.1065273605939927],[0.510678670480696],[9.259549134332874],[0.09269742758190475],[0.11188897716597]
120,260424_025053/120/forecast_Wh_metrics_120d.json,[3.028850867384903],[58.20717532052737],[3.711765682858345],[-29.938653037262235],[2.9918147182708954],[41.42132099390596],[0.5540577476571483],[0.6665871557088906]
30,260424_025053/30/forecast_Wh_metrics_30d.json,[0.7223331579936986],[12.5592453963749],[1.0103915654134825],[-2.06068347286109],[0.8107090740676978],[13.754314670426067],[0.1322787901609886],[0.1589223858372398]
60,260424_025053/60/forecast_Wh_metrics_60d.json,[0.6231672473243842],[11.194073535165417],[0.8478654089870196],[-1.2494927318237536],[0.6859241812714529],[12.005546934067366],[0.11709048803189474],[0.14301458974520195]
90,260424_025053/90/forecast_Wh_metrics_90d.json,[0.4895397293319897],[9.005135369572198],[0.6384797761333946],[-0.1065273605939927],[0.510678670480696],[9.259549134332874],[0.09269742758190475],[0.11188897716597]
120,260424_025204/120/forecast_Wh_metrics_120d.json,[3.028850867384903],[58.20717532052737],[3.711765682858345],[-29.938653037262235],[2.9918147182708954],[41.42132099390596],[0.5540577476571483],[0.6665871557088906]
30,260424_025204/30/forecast_Wh_metrics_30d.json,[0.7223331579936986],[12.5592453963749],[1.0103915654134825],[-2.06068347286109],[0.8107090740676978],[13.754314670426067],[0.1322787901609886],[0.1589223858372398]
60,260424_025204/60/forecast_Wh_metrics_60d.json,[0.6231672442176943],[11.194073482724038],[0.8478654047601367],[-1.2494927104393052],[0.6859241780111379],[12.005546868567388],[0.11709048744816086],[0.14301458906542913]
90,260424_025204/90/forecast_Wh_metrics_90d.json,[0.4895397293319897],[9.005135369572198],[0.6384797761333946],[-0.1065273605939927],[0.510678670480696],[9.259549134332874],[0.09269742758190475],[0.11188897716597]
