rank,ID,Model,ModelParameters,TransformationParameters,Ensemble,Runs,smape,mae,rmse,made,mage,custom,underestimate,mle,overestimate,imle,spl,containment,contour,maxe,oda,dwae,mqae,ewmae,uwmse,smoothness,mate,wasserstein,dwd,matse,smape_weighted,mae_weighted,rmse_weighted,made_weighted,mage_weighted,custom_weighted,mle_weighted,imle_weighted,spl_weighted,maxe_weighted,oda_weighted,dwae_weighted,mqae_weighted,ewmae_weighted,uwmse_weighted,smoothness_weighted,mate_weighted,wasserstein_weighted,dwd_weighted,matse_weighted,containment_weighted,contour_weighted,TotalRuntimeSeconds,Score,lowest_series_mape,lowest_series_mape_name,highest_series_mape,highest_series_mape_name
0,351ad7010669456b2f9c26ed2ce94317,Theta,"{""deseasonalize"": true, ""difference"": false, ""use_test"": true, ""method"": ""auto"", ""period"": null, ""theta"": 3.0, ""use_mle"": false}","{""fillna"": ""zero"", ""transformations"": {""0"": ""DifferencedTransformer"", ""1"": ""DifferencedTransformer"", ""2"": ""DifferencedTransformer"", ""3"": ""DifferencedTransformer"", ""4"": ""DifferencedTransformer""}, ""transformation_params"": {""0"": {""lag"": 1, ""fill"": ""bfill""}, ""1"": {""lag"": 1, ""fill"": ""zero""}, ""2"": {""lag"": 1, ""fill"": ""bfill""}, ""3"": {""lag"": 1, ""fill"": ""bfill""}, ""4"": {""lag"": 1, ""fill"": ""bfill""}}}",0,1,197.25364888278452,4120321.3218993624,6969293.516099018,305633.29730741814,4120321.3218993624,0.0,0.0,13.037109588746668,370828918.9709426,4120321.3218993624,133488423.55084696,1.0,0.4666666666666667,20967765.115897063,0.3,6715820.144387105,2032906.3901808716,29927961.602542374,187081548668121.72,9.311898987704314,370828918.9709426,81861297.40177102,5405300.873679686,682974.5083082531,197.25364888278452,4120321.3218993624,6969293.516099018,305633.29730741814,4120321.3218993624,0.0,13.037109588746668,4120321.3218993624,133488423.55084696,20967765.115897063,0.3,6715820.144387105,2032906.3901808716,29927961.602542374,187081548668121.72,9.311898987704314,370828918.9709426,81861297.40177102,5405300.873679686,682974.5083082531,1.0,0.4666666666666667,0.1542,1078993996.1540003,59698139.30206018,Wh,59698139.30206018,Wh
1,93bc258dc8225c28227d69401730673e,Theta,"{""deseasonalize"": true, ""difference"": false, ""use_test"": true, ""method"": ""auto"", ""period"": null, ""theta"": 2.0, ""use_mle"": false}","{""fillna"": ""zero"", ""transformations"": {""0"": ""Scaler"", ""1"": ""DifferencedTransformer"", ""2"": ""DifferencedTransformer"", ""3"": ""DifferencedTransformer"", ""4"": ""DifferencedTransformer""}, ""transformation_params"": {""0"": {}, ""1"": {""lag"": 7, ""fill"": ""zero""}, ""2"": {""lag"": 1, ""fill"": ""bfill""}, ""3"": {""lag"": 1, ""fill"": ""bfill""}, ""4"": {""lag"": 1, ""fill"": ""bfill""}}}",0,1,191.57911315399093,8.991522715202343,12.745854606471186,1.734809447360851,8.991522715202343,0.0,-474.00789070129395,5.659819212218909,335.229153666917,5.429777582551331,4024207.9910650924,0.9888888888888889,0.5333333333333333,38.68494405233383,0.6666666666666666,11.067401632616752,5.889847362852828,26.774056702733066,1891.6624225817206,0.5649870685011806,138.77873703437692,192.37536662456915,75.54036908452836,0.25559586871681084,191.57911315399093,8.991522715202343,12.745854606471186,1.734809447360851,8.991522715202343,0.0,5.659819212218909,5.429777582551331,4024207.9910650924,38.68494405233383,0.6666666666666666,11.067401632616752,5.889847362852828,26.774056702733066,1891.6624225817206,0.5649870685011806,138.77873703437692,192.37536662456915,75.54036908452836,0.25559586871681084,0.9888888888888889,0.5333333333333333,0.6558,31163083.202494822,130.27556194145254,Wh,130.27556194145254,Wh
2,a270d11ee77bd35d695b24741bd91b3d,Theta,"{""deseasonalize"": true, ""difference"": true, ""use_test"": false, ""method"": ""auto"", ""period"": null, ""theta"": 1.4, ""use_mle"": false}","{""fillna"": ""rolling_mean"", ""transformations"": {""0"": ""DifferencedTransformer"", ""1"": ""DifferencedTransformer"", ""2"": ""Scaler"", ""3"": ""DifferencedTransformer"", ""4"": ""Scaler"", ""5"": ""DifferencedTransformer""}, ""transformation_params"": {""0"": {""lag"": 1, ""fill"": ""zero""}, ""1"": {""lag"": 7, ""fill"": ""bfill""}, ""2"": {}, ""3"": {""lag"": 1, ""fill"": ""bfill""}, ""4"": {}, ""5"": {""lag"": 1, ""fill"": ""bfill""}}}",0,1,191.50331833037984,227844.90670613648,374381.7005951743,15797.441255777878,227844.90670613648,0.0,-0.3061904911430142,10.312002188135503,20506041.297361787,227844.90627196297,3670136.22447749,1.0,0.45555555555555555,1083772.1329366232,0.28888888888888886,358256.9803871812,118861.34480862501,1627594.3817447438,513449698354.0121,6.256396753655516,20506040.991171297,4762436.924360881,298875.4372615319,37767.02017242488,191.50331833037984,227844.90670613648,374381.7005951743,15797.441255777878,227844.90670613648,0.0,10.312002188135503,227844.90627196297,3670136.22447749,1083772.1329366232,0.28888888888888886,358256.9803871812,118861.34480862501,1627594.3817447438,513449698354.0121,6.256396753655516,20506040.991171297,4762436.924360881,298875.4372615319,37767.02017242488,1.0,0.45555555555555555,0.1174,30885902.277578272,3301178.698737434,Wh,3301178.698737434,Wh
3,3ae41d02b53623f91d256c1acc8a4e6f,RollingRegression,"{""regression_model"": {""model"": ""RANSAC"", ""model_params"": {}}, ""holiday"": false, ""mean_rolling_periods"": 7, ""macd_periods"": null, ""std_rolling_periods"": null, ""max_rolling_periods"": null, ""min_rolling_periods"": 364, ""ewm_var_alpha"": null, ""quantile90_rolling_periods"": null, ""quantile10_rolling_periods"": null, ""ewm_alpha"": null, ""additional_lag_periods"": 90, ""abs_energy"": false, ""rolling_autocorr_periods"": null, ""nonzero_last_n"": null, ""add_date_part"": ""expanded"", ""polynomial_degree"": null, ""x_transform"": null, ""regression_type"": null}","{""fillna"": ""ffill"", ""transformations"": {""0"": ""DifferencedTransformer"", ""1"": ""Scaler"", ""2"": ""DifferencedTransformer"", ""3"": ""Scaler""}, ""transformation_params"": {""0"": {""lag"": 1, ""fill"": ""bfill""}, ""1"": {}, ""2"": {""lag"": 1, ""fill"": ""zero""}, ""3"": {}}}",0,1,193.5309431048986,1374962.5283262252,3292060.7302184165,313273.28195075213,1374962.5283262252,0.0,-396.4107689857483,8.096201197266511,123746231.13859129,1374959.562270805,600199.2296414454,0.4777777777777778,0.5444444444444444,10745926.675944328,0.6111111111111112,2953404.1878024032,175811.01914674358,4880732.473129572,14217613692965.457,11.32596510473581,123745834.7278223,74458536.90002237,12626798.926817086,227909.00683517414,193.5309431048986,1374962.5283262252,3292060.7302184165,313273.28195075213,1374962.5283262252,0.0,8.096201197266511,1374959.562270805,600199.2296414454,10745926.675944328,0.6111111111111112,2953404.1878024032,175811.01914674358,4880732.473129572,14217613692965.457,11.32596510473581,123745834.7278223,74458536.90002237,12626798.926817086,227909.00683517414,0.4777777777777778,0.5444444444444444,0.8843,23381920.341334146,19921432.854002234,Wh,19921432.854002234,Wh
4,c0c2fb42251fd7abddf789cb799a39fe,SeasonalNaive,"{""method"": ""lastvalue"", ""lag_1"": 2, ""lag_2"": 1}","{""fillna"": ""rolling_mean"", ""transformations"": {""0"": ""DifferencedTransformer"", ""1"": ""DifferencedTransformer"", ""2"": ""DifferencedTransformer"", ""3"": ""DifferencedTransformer"", ""4"": ""Scaler""}, ""transformation_params"": {""0"": {""lag"": 1, ""fill"": ""bfill""}, ""1"": {""lag"": 1, ""fill"": ""bfill""}, ""2"": {""lag"": 1, ""fill"": ""zero""}, ""3"": {""lag"": 1, ""fill"": ""bfill""}, ""4"": {}}}",0,1,195.47622264659643,1328867.0742713558,2188905.4441045113,92582.09934611016,1328867.0742713558,0.0,0.0,12.026473520926725,119598036.68442202,1328867.0742713558,1096168.0228648637,1.0,0.4666666666666667,6351532.146948338,0.3,2095487.022573657,690188.5277364944,9506933.346853355,17605310307295.68,8.027935620109613,119598036.68442202,27644238.262760665,1743273.8281522815,220269.7959097845,195.47622264659643,1328867.0742713558,2188905.4441045113,92582.09934611016,1328867.0742713558,0.0,12.026473520926725,1328867.0742713558,1096168.0228648637,6351532.146948338,0.3,2095487.022573657,690188.5277364944,9506933.346853355,17605310307295.68,8.027935620109613,119598036.68442202,27644238.262760665,1743273.8281522815,220269.7959097845,1.0,0.4666666666666667,0.1378,22883235.173942383,19253569.203967582,Wh,19253569.203967582,Wh
5,43c5ad1fdb0b2ccfe040201b602b4eeb,SeasonalNaive,"{""method"": ""lastvalue"", ""lag_1"": 12, ""lag_2"": 78}","{""fillna"": ""ffill"", ""transformations"": {""0"": ""DifferencedTransformer"", ""1"": ""DifferencedTransformer"", ""2"": ""DifferencedTransformer"", ""3"": ""DifferencedTransformer""}, ""transformation_params"": {""0"": {""lag"": 1, ""fill"": ""bfill""}, ""1"": {""lag"": 1, ""fill"": ""bfill""}, ""2"": {""lag"": 1, ""fill"": ""bfill""}, ""3"": {""lag"": 1, ""fill"": ""bfill""}}}",0,1,194.12913876978794,84887.1130258282,132186.01506403074,5260.148635438813,84887.1130258282,0.0,0.0,9.783754428436925,7639840.172324538,84887.1130258282,960172.9507011285,1.0,0.4666666666666667,360868.9302973747,0.3,125286.39243957914,48580.99735180171,586279.8341271764,59463319908.61901,5.0362068044558725,7639840.172324538,1960428.2736084356,111332.96218745045,14070.682782040116,194.12913876978794,84887.1130258282,132186.01506403074,5260.148635438813,84887.1130258282,0.0,9.783754428436925,84887.1130258282,960172.9507011285,360868.9302973747,0.3,125286.39243957914,48580.99735180171,586279.8341271764,59463319908.61901,5.0362068044558725,7639840.172324538,1960428.2736084356,111332.96218745045,14070.682782040116,1.0,0.4666666666666667,0.2704,8328045.4468916785,1229904.7337477033,Wh,1229904.7337477033,Wh
6,bb6774f105ae9f33845e403595eab0d9,RollingRegression,"{""regression_model"": {""model"": ""BayesianRidge"", ""model_params"": {}}, ""holiday"": false, ""mean_rolling_periods"": 12, ""macd_periods"": 17, ""std_rolling_periods"": null, ""max_rolling_periods"": null, ""min_rolling_periods"": null, ""ewm_var_alpha"": null, ""quantile90_rolling_periods"": null, ""quantile10_rolling_periods"": null, ""ewm_alpha"": 0.2, ""additional_lag_periods"": 6, ""abs_energy"": false, ""rolling_autocorr_periods"": null, ""nonzero_last_n"": null, ""add_date_part"": null, ""polynomial_degree"": null, ""x_transform"": null, ""regression_type"": null}","{""fillna"": ""ffill"", ""transformations"": {""0"": ""Scaler"", ""1"": ""DifferencedTransformer"", ""2"": ""DifferencedTransformer"", ""3"": ""DifferencedTransformer"", ""4"": ""Scaler"", ""5"": ""DifferencedTransformer""}, ""transformation_params"": {""0"": {}, ""1"": {""lag"": 1, ""fill"": ""zero""}, ""2"": {""lag"": 1, ""fill"": ""bfill""}, ""3"": {""lag"": 7, ""fill"": ""bfill""}, ""4"": {}, ""5"": {""lag"": 1, ""fill"": ""bfill""}}}",0,1,188.19210625795236,26628.776507288807,42750.11324250057,1762.4273552240163,26628.776507288807,0.0,0.0,8.47417137841067,2396589.8856559927,26628.776507288807,724153.8040863753,1.0,0.4666666666666667,120910.1336265691,0.3,40748.95416045824,14467.843058967264,187507.01514733865,6499623448.672195,4.030279125416746,2396589.8856559927,581834.0879129649,34905.55731788705,4413.921663161042,188.19210625795236,26628.776507288807,42750.11324250057,1762.4273552240163,26628.776507288807,0.0,8.47417137841067,26628.776507288807,724153.8040863753,120910.1336265691,0.3,40748.95416045824,14467.843058967264,187507.01514733865,6499623448.672195,4.030279125416746,2396589.8856559927,581834.0879129649,34905.55731788705,4413.921663161042,1.0,0.4666666666666667,0.4647,5892379.791431418,385816.61117700144,Wh,385816.61117700144,Wh
7,0ef9f8aa021e7b638cdfe664beaf1a3a,ARIMA,"{""p"": 4, ""d"": 0, ""q"": 5, ""regression_type"": null}","{""fillna"": ""ffill_mean_biased"", ""transformations"": {""0"": ""DifferencedTransformer"", ""1"": ""Scaler"", ""2"": ""DifferencedTransformer"", ""3"": ""Scaler"", ""4"": ""DifferencedTransformer"", ""5"": ""DifferencedTransformer""}, ""transformation_params"": {""0"": {""lag"": 1, ""fill"": ""bfill""}, ""1"": {}, ""2"": {""lag"": 7, ""fill"": ""bfill""}, ""3"": {}, ""4"": {""lag"": 1, ""fill"": ""zero""}, ""5"": {""lag"": 1, ""fill"": ""zero""}}}",0,1,191.45832196368534,5.809534149390582,5.9018205494967075,0.6759883505140178,5.809534149390582,0.0,-522.8580734451524,5.809534149390582,0.0,1.8988973448235902,631975.9926466672,1.0,0.5333333333333333,6.759950160980225,0.7,4.68486501742694,5.669524515563866,23.27417003851444,56.727191863960066,0.04118703900149027,522.8580734451524,336.80738316263427,20.078358316858317,0.9629743457364635,191.45832196368534,5.809534149390582,5.9018205494967075,0.6759883505140178,5.809534149390582,0.0,5.809534149390582,1.8988973448235902,631975.9926466672,6.759950160980225,0.7,4.68486501742694,5.669524515563866,23.27417003851444,56.727191863960066,0.04118703900149027,522.8580734451524,336.80738316263427,20.078358316858317,0.9629743457364635,1.0,0.5333333333333333,1.8706,4894112.823637447,84.1726534984219,Wh,84.1726534984219,Wh
8,aae8d7069a6a944d079d22bdb135cc9f,SeasonalNaive,"{""method"": ""mean"", ""lag_1"": 2, ""lag_2"": 60}","{""fillna"": ""zero"", ""transformations"": {""0"": ""DifferencedTransformer"", ""1"": ""DifferencedTransformer"", ""2"": ""DifferencedTransformer"", ""3"": ""DifferencedTransformer"", ""4"": ""Scaler""}, ""transformation_params"": {""0"": {""lag"": 1, ""fill"": ""bfill""}, ""1"": {""lag"": 1, ""fill"": ""zero""}, ""2"": {""lag"": 2, ""fill"": ""zero""}, ""3"": {""lag"": 1, ""fill"": ""bfill""}, ""4"": {}}}",0,1,196.70423555396,5.943431966426248,5.994293513055948,0.7133530553883565,5.943431966426248,0.0,-534.9088769783623,5.943431966426248,0.0,1.928550955255773,571320.2480953612,1.0,0.5333333333333333,7.003119945526123,0.7,4.7526569691940255,5.8212696952125045,23.416705781830924,59.43353493283054,0.049403139965186034,534.9088769783623,352.19535005863827,20.254014940189453,0.9851689244134795,196.70423555396,5.943431966426248,5.994293513055948,0.7133530553883565,5.943431966426248,0.0,5.943431966426248,1.928550955255773,571320.2480953612,7.003119945526123,0.7,4.7526569691940255,5.8212696952125045,23.416705781830924,59.43353493283054,0.049403139965186034,534.9088769783623,352.19535005863827,20.254014940189453,0.9851689244134795,1.0,0.5333333333333333,0.1506,4424408.683968203,86.11266009236205,Wh,86.11266009236205,Wh
9,cb429da4529f016d7189d36cede45e9c,DatepartRegression,"{""regression_model"": {""model"": ""RadiusNeighbors"", ""model_params"": {""radius"": 2.0, ""weights"": ""uniform"", ""algorithm"": ""auto"", ""leaf_size"": 10, ""p"": 2, ""metric"": ""minkowski""}}, ""datepart_method"": [168, ""hour""], ""polynomial_degree"": null, ""holiday_countries_used"": false, ""lags"": null, ""forward_lags"": null, ""regression_type"": null}","{""fillna"": ""pchip"", ""transformations"": {""0"": ""DifferencedTransformer"", ""1"": ""DifferencedTransformer"", ""2"": ""DifferencedTransformer"", ""3"": ""DifferencedTransformer""}, ""transformation_params"": {""0"": {""lag"": 1, ""fill"": ""bfill""}, ""1"": {""lag"": 2, ""fill"": ""zero""}, ""2"": {""lag"": 1, ""fill"": ""bfill""}, ""3"": {""lag"": 1, ""fill"": ""bfill""}}}",0,1,198.49673930516778,5.995605784654617,6.027840039274838,0.7262373707088782,5.995605784654617,0.0,-539.6045206189156,5.995605784654617,0.0,1.940793655419514,554464.7838087714,1.0,0.5333333333333333,7.003119945526123,0.7,4.807996130916574,5.883054479956627,23.469651824081943,70.39814378294855,0.04050599229537084,539.6045206189156,358.3167747939701,20.3224602437738,0.9938171304797624,198.49673930516778,5.995605784654617,6.027840039274838,0.7262373707088782,5.995605784654617,0.0,5.995605784654617,1.940793655419514,554464.7838087714,7.003119945526123,0.7,4.807996130916574,5.883054479956627,23.469651824081943,70.39814378294855,0.04050599229537084,539.6045206189156,358.3167747939701,20.3224602437738,0.9938171304797624,1.0,0.5333333333333333,0.1385,4293884.187927658,86.86859139605993,Wh,86.86859139605993,Wh
10,94e846f3055f4d42efb3f3d3fd9667dc,SeasonalNaive,"{""method"": ""lastvalue"", ""lag_1"": 7, ""lag_2"": null}","{""fillna"": ""pchip"", ""transformations"": {""0"": ""DifferencedTransformer"", ""1"": ""DifferencedTransformer"", ""2"": ""Scaler"", ""3"": ""DifferencedTransformer"", ""4"": ""DifferencedTransformer""}, ""transformation_params"": {""0"": {""lag"": 1, ""fill"": ""bfill""}, ""1"": {""lag"": 2, ""fill"": ""bfill""}, ""2"": {}, ""3"": {""lag"": 1, ""fill"": ""bfill""}, ""4"": {""lag"": 1, ""fill"": ""bfill""}}}",0,1,198.31358671535185,5.988282367918226,6.024338078647623,0.7262373707088782,5.988282367918226,0.0,-538.9454131126404,5.988282367918226,0.0,1.938902399835255,539639.956626278,1.0,0.5333333333333333,7.003119945526123,0.7,4.802234651473091,5.874382012768796,23.462328407345552,65.9132428678596,0.06161674751105471,538.9454131126404,357.45211096652577,20.312852867913307,0.9926032186136928,198.31358671535185,5.988282367918226,6.024338078647623,0.7262373707088782,5.988282367918226,0.0,5.988282367918226,1.938902399835255,539639.956626278,7.003119945526123,0.7,4.802234651473091,5.874382012768796,23.462328407345552,65.9132428678596,0.06161674751105471,538.9454131126404,357.45211096652577,20.312852867913307,0.9926032186136928,1.0,0.5333333333333333,0.1278,4179082.792142819,86.76248453731267,Wh,86.76248453731267,Wh
11,6167f6b438f386cf6fdb397329e89a48,SeasonalNaive,"{""method"": ""lastvalue"", ""lag_1"": 2, ""lag_2"": 12}","{""fillna"": ""ffill"", ""transformations"": {""0"": ""DifferencedTransformer"", ""1"": ""DifferencedTransformer"", ""2"": ""DifferencedTransformer"", ""3"": ""DifferencedTransformer""}, ""transformation_params"": {""0"": {""lag"": 1, ""fill"": ""bfill""}, ""1"": {""lag"": 1, ""fill"": ""bfill""}, ""2"": {""lag"": 2, ""fill"": ""bfill""}, ""3"": {""lag"": 1, ""fill"": ""bfill""}}}",0,1,199.85672077391206,6.030475364791022,6.055429654069336,0.7262373707088782,6.030475364791022,0.0,-542.742782831192,6.030475364791022,0.0,1.9469812622937186,477448.11447353003,1.0,0.5333333333333333,7.003119945526123,0.7,4.853263721145801,5.924347403802369,23.504521404218348,105.8228419015292,0.06706350672330551,542.742782831192,362.43376904779984,20.36820462437191,0.9995970278440772,199.85672077391206,6.030475364791022,6.055429654069336,0.7262373707088782,6.030475364791022,0.0,6.030475364791022,1.9469812622937186,477448.11447353003,7.003119945526123,0.7,4.853263721145801,5.924347403802369,23.504521404218348,105.8228419015292,0.06706350672330551,542.742782831192,362.43376904779984,20.36820462437191,0.9995970278440772,1.0,0.5333333333333333,0.1269,3697480.0174322953,87.37380661831057,Wh,87.37380661831057,Wh
12,1cedd9ccbca5ad3e84b27e2586519bb5,RollingRegression,"{""regression_model"": {""model"": ""RANSAC"", ""model_params"": {}}, ""holiday"": false, ""mean_rolling_periods"": 5, ""macd_periods"": 28, ""std_rolling_periods"": null, ""max_rolling_periods"": 32, ""min_rolling_periods"": 4, ""ewm_var_alpha"": null, ""quantile90_rolling_periods"": null, ""quantile10_rolling_periods"": null, ""ewm_alpha"": 0.2, ""additional_lag_periods"": 35, ""abs_energy"": false, ""rolling_autocorr_periods"": null, ""nonzero_last_n"": null, ""add_date_part"": ""simple_binarized"", ""polynomial_degree"": null, ""x_transform"": null, ""regression_type"": null}","{""fillna"": ""rolling_mean"", ""transformations"": {""0"": ""Scaler"", ""1"": ""DifferencedTransformer"", ""2"": ""Scaler"", ""3"": ""DifferencedTransformer""}, ""transformation_params"": {""0"": {}, ""1"": {""lag"": 1, ""fill"": ""bfill""}, ""2"": {}, ""3"": {""lag"": 1, ""fill"": ""bfill""}}}",0,1,153.50741002152472,69392.11939100576,182456.1132242102,17946.6815480697,69392.11939100576,0.0,-5.788599095598329,6.7869239480688295,6245284.9565914245,69392.10122083878,22287.666177695413,1.0,0.5111111111111111,952830.3332029779,0.32222222222222224,195852.25085876865,9990.487197398348,600114.7499440081,298420260800.03314,10.105480017838039,6245279.167992328,649241.6077665488,121978.65150399711,11502.248748139198,153.50741002152472,69392.11939100576,182456.1132242102,17946.6815480697,69392.11939100576,0.0,6.7869239480688295,69392.10122083878,22287.666177695413,952830.3332029779,0.32222222222222224,195852.25085876865,9990.487197398348,600114.7499440081,298420260800.03314,10.105480017838039,6245279.167992328,649241.6077665488,121978.65150399711,11502.248748139198,1.0,0.5111111111111111,0.9792,1168736.8041670036,1005402.269927781,Wh,1005402.269927781,Wh
13,080916dae639616b3c3670bfbf21897b,Theta,"{""deseasonalize"": true, ""difference"": false, ""use_test"": false, ""method"": ""auto"", ""period"": null, ""theta"": 4.0, ""use_mle"": false}","{""fillna"": ""quadratic"", ""transformations"": {""0"": ""DifferencedTransformer"", ""1"": ""DifferencedTransformer"", ""2"": ""Scaler"", ""3"": ""DifferencedTransformer""}, ""transformation_params"": {""0"": {""lag"": 1, ""fill"": ""zero""}, ""1"": {""lag"": 7, ""fill"": ""bfill""}, ""2"": {}, ""3"": {""lag"": 1, ""fill"": ""bfill""}}}",0,1,183.9998655092994,7186.013325155026,10785.07241587499,406.8079698668114,7186.013325155026,0.0,-1.0378531412398777,7.473937787919894,646740.161410811,7186.010933819893,118479.58136575116,1.0,0.45555555555555555,27907.39691405022,0.2777777777777778,10142.962258759546,4371.614096245593,48430.11216426555,371127344.5804403,2.425366301602135,646739.1235576698,176974.1679328787,9400.494586330151,1191.132385632851,183.9998655092994,7186.013325155026,10785.07241587499,406.8079698668114,7186.013325155026,0.0,7.473937787919894,7186.010933819893,118479.58136575116,27907.39691405022,0.2777777777777778,10142.962258759546,4371.614096245593,48430.11216426555,371127344.5804403,2.425366301602135,646739.1235576698,176974.1679328787,9400.494586330151,1191.132385632851,1.0,0.45555555555555555,0.117,991738.2831737874,104116.0606167995,Wh,104116.0606167995,Wh
14,98d2a7c25523f3451e26e13fdea9261b,Theta,"{""deseasonalize"": false, ""difference"": false, ""use_test"": true, ""method"": ""auto"", ""period"": null, ""theta"": 3.0, ""use_mle"": false}","{""fillna"": ""ffill_mean_biased"", ""transformations"": {""0"": ""DifferencedTransformer"", ""1"": ""DifferencedTransformer"", ""2"": ""Scaler"", ""3"": ""Scaler"", ""4"": ""Scaler"", ""5"": ""DifferencedTransformer""}, ""transformation_params"": {""0"": {""lag"": 7, ""fill"": ""bfill""}, ""1"": {""lag"": 1, ""fill"": ""zero""}, ""2"": {}, ""3"": {}, ""4"": {}, ""5"": {""lag"": 1, ""fill"": ""bfill""}}}",0,1,187.16715185720207,760.6905863198855,1068.6243867075248,38.11373155878996,760.6905863198855,0.0,0.0,5.939915555777399,68462.15276878969,760.6905863198855,116215.98120765477,0.9777777777777777,0.4777777777777778,2613.044749652759,0.3,999.0063435983869,504.1121744716445,4881.556909194396,3415673.8670292245,0.8312673586922018,68462.15276878969,21437.823848471304,970.6913558872454,126.09023388667404,187.16715185720207,760.6905863198855,1068.6243867075248,38.11373155878996,760.6905863198855,0.0,5.939915555777399,760.6905863198855,116215.98120765477,2613.044749652759,0.3,999.0063435983869,504.1121744716445,4881.556909194396,3415673.8670292245,0.8312673586922018,68462.15276878969,21437.823848471304,970.6913558872454,126.09023388667404,0.9777777777777777,0.4777777777777778,0.104,907681.9695905094,11021.42503948131,Wh,11021.42503948131,Wh
15,9a5281c901d1ba58f31e235427ed571d,Theta,"{""deseasonalize"": true, ""difference"": false, ""use_test"": true, ""method"": ""auto"", ""period"": null, ""theta"": 4.0, ""use_mle"": false}","{""fillna"": ""ffill"", ""transformations"": {""0"": ""DifferencedTransformer"", ""1"": ""DifferencedTransformer"", ""2"": ""DifferencedTransformer"", ""3"": ""Scaler"", ""4"": ""Scaler""}, ""transformation_params"": {""0"": {""lag"": 7, ""fill"": ""bfill""}, ""1"": {""lag"": 2, ""fill"": ""bfill""}, ""2"": {""lag"": 1, ""fill"": ""bfill""}, ""3"": {}, ""4"": {}}}",0,1,184.819995541275,8.65357223747563,11.41334466758146,1.669381290924863,8.65357223747563,0.0,-447.15778867883836,5.462045849315108,331.6637126939685,5.297303057763476,98942.98099168399,0.9777777777777777,0.5444444444444444,36.591015067086914,0.6222222222222222,9.851017690179187,5.891639794842546,26.423371641315143,1742.9011477019708,0.41089502176551257,115.4940759848699,198.7423627406195,71.13890867164767,0.21271132245342328,184.819995541275,8.65357223747563,11.41334466758146,1.669381290924863,8.65357223747563,0.0,5.462045849315108,5.297303057763476,98942.98099168399,36.591015067086914,0.6222222222222222,9.851017690179187,5.891639794842546,26.423371641315143,1742.9011477019708,0.41089502176551257,115.4940759848699,198.7423627406195,71.13890867164767,0.21271132245342328,0.9777777777777777,0.5444444444444444,0.1302,766414.5580977892,125.3790955932341,Wh,125.3790955932341,Wh
16,c2ef8ba9d01ff5d955785d9526bf605f,SeasonalNaive,"{""method"": ""lastvalue"", ""lag_1"": 7, ""lag_2"": 1}","{""fillna"": ""rolling_mean_24"", ""transformations"": {""0"": ""Scaler"", ""1"": ""DifferencedTransformer"", ""2"": ""DifferencedTransformer"", ""3"": ""DifferencedTransformer""}, ""transformation_params"": {""0"": {}, ""1"": {""lag"": 1, ""fill"": ""bfill""}, ""2"": {""lag"": 1, ""fill"": ""zero""}, ""3"": {""lag"": 1, ""fill"": ""bfill""}}}",0,1,191.8413374969061,27041.80596962505,40459.5853691957,1519.2855091979038,27041.80596962505,0.0,0.0,8.818866888503695,2433762.5372662544,27041.80596962505,29958.26253110153,1.0,0.4666666666666667,104229.55215120316,0.3,38026.66816577749,16531.12128032195,181854.84712394222,5195826671.90356,3.663769278912212,2433762.5372662544,669776.2780517131,35447.39856889812,4482.384429027536,191.8413374969061,27041.80596962505,40459.5853691957,1519.2855091979038,27041.80596962505,0.0,8.818866888503695,27041.80596962505,29958.26253110153,104229.55215120316,0.3,38026.66816577749,16531.12128032195,181854.84712394222,5195826671.90356,3.663769278912212,2433762.5372662544,669776.2780517131,35447.39856889812,4482.384429027536,1.0,0.4666666666666667,0.1203,510604.884456741,391800.87513412355,Wh,391800.87513412355,Wh
17,e1488b87502439638b6fc72894c0648c,SeasonalNaive,"{""method"": ""mean"", ""lag_1"": 12, ""lag_2"": null}","{""fillna"": ""quadratic"", ""transformations"": {""0"": ""DifferencedTransformer"", ""1"": ""DifferencedTransformer"", ""2"": ""Scaler"", ""3"": ""DifferencedTransformer""}, ""transformation_params"": {""0"": {""lag"": 7, ""fill"": ""zero""}, ""1"": {""lag"": 1, ""fill"": ""zero""}, ""2"": {}, ""3"": {""lag"": 7, ""fill"": ""bfill""}}}",0,1,194.04537383900862,13479.963121179742,20375.417457131876,773.4306944057472,13479.963121179742,0.0,0.0,8.20487711620614,1213196.6809061768,13479.963121179742,28089.145354495893,0.9777777777777777,0.4777777777777778,53058.859959816175,0.3,19177.16777853416,8115.524334498073,91294.50694854959,1334576596.3208249,3.0558710369317628,1213196.6809061768,327622.7055131188,17658.60858599141,2234.4061216218865,194.04537383900862,13479.963121179742,20375.417457131876,773.4306944057472,13479.963121179742,0.0,8.20487711620614,13479.963121179742,28089.145354495893,53058.859959816175,0.3,19177.16777853416,8115.524334498073,91294.50694854959,1334576596.3208249,3.0558710369317628,1213196.6809061768,327622.7055131188,17658.60858599141,2234.4061216218865,0.9777777777777777,0.4777777777777778,0.1212,357202.029005834,195307.2717697325,Wh,195307.2717697325,Wh
