category,file,MAE,MAPE(%),MASE_lag1,R2,RMSSE,SMAPE(%),nMAE,nRMSE
120,6vB1-autoTs_WeatherToDayWh_260420_043407_1/120/forecast_Wh_metrics_120d.json,[0.873282219982474],[15.751044057818877],[1.0701811074574057],[-2.2471972387427694],[0.969255619967571],[17.973231149714028],[0.15974665015127565],[0.21595366281319955]
30,6vB1-autoTs_WeatherToDayWh_260420_043407_1/30/forecast_Wh_metrics_30d.json,[0.4538484474356842],[8.147001838998033],[0.6348381466229465],[-0.11235806872052523],[0.48874027570579653],[8.327012325260817],[0.08311195862859594],[0.09580720526563345]
60,6vB1-autoTs_WeatherToDayWh_260420_043407_1/60/forecast_Wh_metrics_60d.json,[0.7716116124272012],[13.777698920939565],[1.049835013246729],[-2.348816775671393],[0.8369114502015632],[15.198043700186275],[0.1449825558998741],[0.17449530279246903]
90,6vB1-autoTs_WeatherToDayWh_260420_043407_1/90/forecast_Wh_metrics_90d.json,[0.6385618259209497],[12.893639771036328],[0.8328411101948479],[-0.8878604480201369],[0.6670395494700545],[11.862871303480079],[0.1209156991111815],[0.14614742544309]
120,6vB1-autoTs_WeatherToDayWh_260420_043520_1/120/forecast_Wh_metrics_120d.json,[0.873282219982474],[15.751044057818877],[1.0701811074574057],[-2.2471972387427694],[0.969255619967571],[17.973231149714028],[0.15974665015127565],[0.21595366281319955]
30,6vB1-autoTs_WeatherToDayWh_260420_043520_1/30/forecast_Wh_metrics_30d.json,[0.4538484474356842],[8.147001838998033],[0.6348381466229465],[-0.11235806872052523],[0.48874027570579653],[8.327012325260817],[0.08311195862859594],[0.09580720526563345]
60,6vB1-autoTs_WeatherToDayWh_260420_043520_1/60/forecast_Wh_metrics_60d.json,[0.7716116124272012],[13.777698920939565],[1.049835013246729],[-2.348816775671393],[0.8369114502015632],[15.198043700186275],[0.1449825558998741],[0.17449530279246903]
90,6vB1-autoTs_WeatherToDayWh_260420_043520_1/90/forecast_Wh_metrics_90d.json,[0.6385618259209497],[12.893639771036328],[0.8328411101948479],[-0.8878604480201369],[0.6670395494700545],[11.862871303480079],[0.1209156991111815],[0.14614742544309]
120,6vB1-autoTs_WeatherToDayWh_260420_043639_1/120/forecast_Wh_metrics_120d.json,[0.873282219982474],[15.751044057818877],[1.0701811074574057],[-2.2471972387427694],[0.969255619967571],[17.973231149714028],[0.15974665015127565],[0.21595366281319955]
30,6vB1-autoTs_WeatherToDayWh_260420_043639_1/30/forecast_Wh_metrics_30d.json,[0.4538484474356842],[8.147001838998033],[0.6348381466229465],[-0.11235806872052523],[0.48874027570579653],[8.327012325260817],[0.08311195862859594],[0.09580720526563345]
60,6vB1-autoTs_WeatherToDayWh_260420_043639_1/60/forecast_Wh_metrics_60d.json,[0.7716116124272012],[13.777698920939565],[1.049835013246729],[-2.348816775671393],[0.8369114502015632],[15.198043700186275],[0.1449825558998741],[0.17449530279246903]
90,6vB1-autoTs_WeatherToDayWh_260420_043639_1/90/forecast_Wh_metrics_90d.json,[0.6385618259209497],[12.893639771036328],[0.8328411101948479],[-0.8878604480201369],[0.6670395494700545],[11.862871303480079],[0.1209156991111815],[0.14614742544309]
120,6vB1-autoTs_WeatherToDayWh_260420_043749_1/120/forecast_Wh_metrics_120d.json,[0.873282219982474],[15.751044057818877],[1.0701811074574057],[-2.2471972387427694],[0.969255619967571],[17.973231149714028],[0.15974665015127565],[0.21595366281319955]
30,6vB1-autoTs_WeatherToDayWh_260420_043749_1/30/forecast_Wh_metrics_30d.json,[0.4538484474356842],[8.147001838998033],[0.6348381466229465],[-0.11235806872052523],[0.48874027570579653],[8.327012325260817],[0.08311195862859594],[0.09580720526563345]
60,6vB1-autoTs_WeatherToDayWh_260420_043749_1/60/forecast_Wh_metrics_60d.json,[0.7716116124272012],[13.777698920939565],[1.049835013246729],[-2.348816775671393],[0.8369114502015632],[15.198043700186275],[0.1449825558998741],[0.17449530279246903]
90,6vB1-autoTs_WeatherToDayWh_260420_043749_1/90/forecast_Wh_metrics_90d.json,[0.6385618259209497],[12.893639771036328],[0.8328411101948479],[-0.8878604480201369],[0.6670395494700545],[11.862871303480079],[0.1209156991111815],[0.14614742544309]
120,6vB1-autoTs_WeatherToDayWh_260420_043916_1/120/forecast_Wh_metrics_120d.json,[0.873282219982474],[15.751044057818877],[1.0701811074574057],[-2.2471972387427694],[0.969255619967571],[17.973231149714028],[0.15974665015127565],[0.21595366281319955]
30,6vB1-autoTs_WeatherToDayWh_260420_043916_1/30/forecast_Wh_metrics_30d.json,[0.4538484474356842],[8.147001838998033],[0.6348381466229465],[-0.11235806872052523],[0.48874027570579653],[8.327012325260817],[0.08311195862859594],[0.09580720526563345]
60,6vB1-autoTs_WeatherToDayWh_260420_043916_1/60/forecast_Wh_metrics_60d.json,[0.7716116124272012],[13.777698920939565],[1.049835013246729],[-2.348816775671393],[0.8369114502015632],[15.198043700186275],[0.1449825558998741],[0.17449530279246903]
90,6vB1-autoTs_WeatherToDayWh_260420_043916_1/90/forecast_Wh_metrics_90d.json,[0.6385618259209497],[12.893639771036328],[0.8328411101948479],[-0.8878604480201369],[0.6670395494700545],[11.862871303480079],[0.1209156991111815],[0.14614742544309]
120,6vB1-autoTs_WeatherToDayWh_260420_044044_1/120/forecast_Wh_metrics_120d.json,[0.873282219982474],[15.751044057818877],[1.0701811074574057],[-2.2471972387427694],[0.969255619967571],[17.973231149714028],[0.15974665015127565],[0.21595366281319955]
30,6vB1-autoTs_WeatherToDayWh_260420_044044_1/30/forecast_Wh_metrics_30d.json,[0.4538484474356842],[8.147001838998033],[0.6348381466229465],[-0.11235806872052523],[0.48874027570579653],[8.327012325260817],[0.08311195862859594],[0.09580720526563345]
60,6vB1-autoTs_WeatherToDayWh_260420_044044_1/60/forecast_Wh_metrics_60d.json,[0.7716116124272012],[13.777698920939565],[1.049835013246729],[-2.348816775671393],[0.8369114502015632],[15.198043700186275],[0.1449825558998741],[0.17449530279246903]
90,6vB1-autoTs_WeatherToDayWh_260420_044044_1/90/forecast_Wh_metrics_90d.json,[0.6385618259209497],[12.893639771036328],[0.8328411101948479],[-0.8878604480201369],[0.6670395494700545],[11.862871303480079],[0.1209156991111815],[0.14614742544309]
120,6vB1-autoTs_WeatherToDayWh_260420_044203_1/120/forecast_Wh_metrics_120d.json,[0.873282219982474],[15.751044057818877],[1.0701811074574057],[-2.2471972387427694],[0.969255619967571],[17.973231149714028],[0.15974665015127565],[0.21595366281319955]
30,6vB1-autoTs_WeatherToDayWh_260420_044203_1/30/forecast_Wh_metrics_30d.json,[0.4538484474356842],[8.147001838998033],[0.6348381466229465],[-0.11235806872052523],[0.48874027570579653],[8.327012325260817],[0.08311195862859594],[0.09580720526563345]
60,6vB1-autoTs_WeatherToDayWh_260420_044203_1/60/forecast_Wh_metrics_60d.json,[0.7716116124272012],[13.777698920939565],[1.049835013246729],[-2.348816775671393],[0.8369114502015632],[15.198043700186275],[0.1449825558998741],[0.17449530279246903]
90,6vB1-autoTs_WeatherToDayWh_260420_044203_1/90/forecast_Wh_metrics_90d.json,[0.6385618259209497],[12.893639771036328],[0.8328411101948479],[-0.8878604480201369],[0.6670395494700545],[11.862871303480079],[0.1209156991111815],[0.14614742544309]
120,6vB1-autoTs_WeatherToDayWh_260420_044315_1/120/forecast_Wh_metrics_120d.json,[0.873282219982474],[15.751044057818877],[1.0701811074574057],[-2.2471972387427694],[0.969255619967571],[17.973231149714028],[0.15974665015127565],[0.21595366281319955]
30,6vB1-autoTs_WeatherToDayWh_260420_044315_1/30/forecast_Wh_metrics_30d.json,[0.4538484474356842],[8.147001838998033],[0.6348381466229465],[-0.11235806872052523],[0.48874027570579653],[8.327012325260817],[0.08311195862859594],[0.09580720526563345]
60,6vB1-autoTs_WeatherToDayWh_260420_044315_1/60/forecast_Wh_metrics_60d.json,[0.7716116124272012],[13.777698920939565],[1.049835013246729],[-2.348816775671393],[0.8369114502015632],[15.198043700186275],[0.1449825558998741],[0.17449530279246903]
90,6vB1-autoTs_WeatherToDayWh_260420_044315_1/90/forecast_Wh_metrics_90d.json,[0.6385618259209497],[12.893639771036328],[0.8328411101948479],[-0.8878604480201369],[0.6670395494700545],[11.862871303480079],[0.1209156991111815],[0.14614742544309]
120,6vB1-autoTs_WeatherToDayWh_260420_044436_1/120/forecast_Wh_metrics_120d.json,[0.873282219982474],[15.751044057818877],[1.0701811074574057],[-2.2471972387427694],[0.969255619967571],[17.973231149714028],[0.15974665015127565],[0.21595366281319955]
30,6vB1-autoTs_WeatherToDayWh_260420_044436_1/30/forecast_Wh_metrics_30d.json,[0.4538484474356842],[8.147001838998033],[0.6348381466229465],[-0.11235806872052523],[0.48874027570579653],[8.327012325260817],[0.08311195862859594],[0.09580720526563345]
60,6vB1-autoTs_WeatherToDayWh_260420_044436_1/60/forecast_Wh_metrics_60d.json,[0.7716116124272012],[13.777698920939565],[1.049835013246729],[-2.348816775671393],[0.8369114502015632],[15.198043700186275],[0.1449825558998741],[0.17449530279246903]
90,6vB1-autoTs_WeatherToDayWh_260420_044436_1/90/forecast_Wh_metrics_90d.json,[0.6385618259209497],[12.893639771036328],[0.8328411101948479],[-0.8878604480201369],[0.6670395494700545],[11.862871303480079],[0.1209156991111815],[0.14614742544309]
120,6vB1-autoTs_WeatherToDayWh_260420_044604_1/120/forecast_Wh_metrics_120d.json,[0.873282219982474],[15.751044057818877],[1.0701811074574057],[-2.2471972387427694],[0.969255619967571],[17.973231149714028],[0.15974665015127565],[0.21595366281319955]
30,6vB1-autoTs_WeatherToDayWh_260420_044604_1/30/forecast_Wh_metrics_30d.json,[0.4538484474356842],[8.147001838998033],[0.6348381466229465],[-0.11235806872052523],[0.48874027570579653],[8.327012325260817],[0.08311195862859594],[0.09580720526563345]
60,6vB1-autoTs_WeatherToDayWh_260420_044604_1/60/forecast_Wh_metrics_60d.json,[0.7716116124272012],[13.777698920939565],[1.049835013246729],[-2.348816775671393],[0.8369114502015632],[15.198043700186275],[0.1449825558998741],[0.17449530279246903]
90,6vB1-autoTs_WeatherToDayWh_260420_044604_1/90/forecast_Wh_metrics_90d.json,[0.6385618259209497],[12.893639771036328],[0.8328411101948479],[-0.8878604480201369],[0.6670395494700545],[11.862871303480079],[0.1209156991111815],[0.14614742544309]
120,6vB1-autoTs_WeatherToDayWh_260420_044732_1/120/forecast_Wh_metrics_120d.json,[0.873282219982474],[15.751044057818877],[1.0701811074574057],[-2.2471972387427694],[0.969255619967571],[17.973231149714028],[0.15974665015127565],[0.21595366281319955]
30,6vB1-autoTs_WeatherToDayWh_260420_044732_1/30/forecast_Wh_metrics_30d.json,[0.4538484474356842],[8.147001838998033],[0.6348381466229465],[-0.11235806872052523],[0.48874027570579653],[8.327012325260817],[0.08311195862859594],[0.09580720526563345]
60,6vB1-autoTs_WeatherToDayWh_260420_044732_1/60/forecast_Wh_metrics_60d.json,[0.7716116124272012],[13.777698920939565],[1.049835013246729],[-2.348816775671393],[0.8369114502015632],[15.198043700186275],[0.1449825558998741],[0.17449530279246903]
90,6vB1-autoTs_WeatherToDayWh_260420_044732_1/90/forecast_Wh_metrics_90d.json,[0.6385618259209497],[12.893639771036328],[0.8328411101948479],[-0.8878604480201369],[0.6670395494700545],[11.862871303480079],[0.1209156991111815],[0.14614742544309]
120,6vB1-autoTs_WeatherToDayWh_260420_044856_1/120/forecast_Wh_metrics_120d.json,[0.873282219982474],[15.751044057818877],[1.0701811074574057],[-2.2471972387427694],[0.969255619967571],[17.973231149714028],[0.15974665015127565],[0.21595366281319955]
30,6vB1-autoTs_WeatherToDayWh_260420_044856_1/30/forecast_Wh_metrics_30d.json,[0.4538484474356842],[8.147001838998033],[0.6348381466229465],[-0.11235806872052523],[0.48874027570579653],[8.327012325260817],[0.08311195862859594],[0.09580720526563345]
60,6vB1-autoTs_WeatherToDayWh_260420_044856_1/60/forecast_Wh_metrics_60d.json,[0.7716116124272012],[13.777698920939565],[1.049835013246729],[-2.348816775671393],[0.8369114502015632],[15.198043700186275],[0.1449825558998741],[0.17449530279246903]
90,6vB1-autoTs_WeatherToDayWh_260420_044856_1/90/forecast_Wh_metrics_90d.json,[0.6385618259209497],[12.893639771036328],[0.8328411101948479],[-0.8878604480201369],[0.6670395494700545],[11.862871303480079],[0.1209156991111815],[0.14614742544309]
120,6vB1-autoTs_WeatherToDayWh_260420_045020_1/120/forecast_Wh_metrics_120d.json,[0.873282219982474],[15.751044057818877],[1.0701811074574057],[-2.2471972387427694],[0.969255619967571],[17.973231149714028],[0.15974665015127565],[0.21595366281319955]
30,6vB1-autoTs_WeatherToDayWh_260420_045020_1/30/forecast_Wh_metrics_30d.json,[0.4538484474356842],[8.147001838998033],[0.6348381466229465],[-0.11235806872052523],[0.48874027570579653],[8.327012325260817],[0.08311195862859594],[0.09580720526563345]
60,6vB1-autoTs_WeatherToDayWh_260420_045020_1/60/forecast_Wh_metrics_60d.json,[0.7716116124272012],[13.777698920939565],[1.049835013246729],[-2.348816775671393],[0.8369114502015632],[15.198043700186275],[0.1449825558998741],[0.17449530279246903]
90,6vB1-autoTs_WeatherToDayWh_260420_045020_1/90/forecast_Wh_metrics_90d.json,[0.6385618259209497],[12.893639771036328],[0.8328411101948479],[-0.8878604480201369],[0.6670395494700545],[11.862871303480079],[0.1209156991111815],[0.14614742544309]
120,6vB1-autoTs_WeatherToDayWh_260420_045135_1/120/forecast_Wh_metrics_120d.json,[0.873282219982474],[15.751044057818877],[1.0701811074574057],[-2.2471972387427694],[0.969255619967571],[17.973231149714028],[0.15974665015127565],[0.21595366281319955]
30,6vB1-autoTs_WeatherToDayWh_260420_045135_1/30/forecast_Wh_metrics_30d.json,[0.4538484474356842],[8.147001838998033],[0.6348381466229465],[-0.11235806872052523],[0.48874027570579653],[8.327012325260817],[0.08311195862859594],[0.09580720526563345]
60,6vB1-autoTs_WeatherToDayWh_260420_045135_1/60/forecast_Wh_metrics_60d.json,[0.7716116124272012],[13.777698920939565],[1.049835013246729],[-2.348816775671393],[0.8369114502015632],[15.198043700186275],[0.1449825558998741],[0.17449530279246903]
90,6vB1-autoTs_WeatherToDayWh_260420_045135_1/90/forecast_Wh_metrics_90d.json,[0.6385618259209497],[12.893639771036328],[0.8328411101948479],[-0.8878604480201369],[0.6670395494700545],[11.862871303480079],[0.1209156991111815],[0.14614742544309]
120,6vB1-autoTs_WeatherToDayWh_260420_045255_1/120/forecast_Wh_metrics_120d.json,[0.873282219982474],[15.751044057818877],[1.0701811074574057],[-2.2471972387427694],[0.969255619967571],[17.973231149714028],[0.15974665015127565],[0.21595366281319955]
30,6vB1-autoTs_WeatherToDayWh_260420_045255_1/30/forecast_Wh_metrics_30d.json,[0.4538484474356842],[8.147001838998033],[0.6348381466229465],[-0.11235806872052523],[0.48874027570579653],[8.327012325260817],[0.08311195862859594],[0.09580720526563345]
60,6vB1-autoTs_WeatherToDayWh_260420_045255_1/60/forecast_Wh_metrics_60d.json,[0.7716116124272012],[13.777698920939565],[1.049835013246729],[-2.348816775671393],[0.8369114502015632],[15.198043700186275],[0.1449825558998741],[0.17449530279246903]
90,6vB1-autoTs_WeatherToDayWh_260420_045255_1/90/forecast_Wh_metrics_90d.json,[0.6385618259209497],[12.893639771036328],[0.8328411101948479],[-0.8878604480201369],[0.6670395494700545],[11.862871303480079],[0.1209156991111815],[0.14614742544309]
120,6vB1-autoTs_WeatherToDayWh_260420_045410_1/120/forecast_Wh_metrics_120d.json,[0.873282219982474],[15.751044057818877],[1.0701811074574057],[-2.2471972387427694],[0.969255619967571],[17.973231149714028],[0.15974665015127565],[0.21595366281319955]
30,6vB1-autoTs_WeatherToDayWh_260420_045410_1/30/forecast_Wh_metrics_30d.json,[0.4538484474356842],[8.147001838998033],[0.6348381466229465],[-0.11235806872052523],[0.48874027570579653],[8.327012325260817],[0.08311195862859594],[0.09580720526563345]
60,6vB1-autoTs_WeatherToDayWh_260420_045410_1/60/forecast_Wh_metrics_60d.json,[0.7716116124272012],[13.777698920939565],[1.049835013246729],[-2.348816775671393],[0.8369114502015632],[15.198043700186275],[0.1449825558998741],[0.17449530279246903]
90,6vB1-autoTs_WeatherToDayWh_260420_045410_1/90/forecast_Wh_metrics_90d.json,[0.6385618259209497],[12.893639771036328],[0.8328411101948479],[-0.8878604480201369],[0.6670395494700545],[11.862871303480079],[0.1209156991111815],[0.14614742544309]
120,6vB1-autoTs_WeatherToDayWh_260420_045525_1/120/forecast_Wh_metrics_120d.json,[0.873282219982474],[15.751044057818877],[1.0701811074574057],[-2.2471972387427694],[0.969255619967571],[17.973231149714028],[0.15974665015127565],[0.21595366281319955]
30,6vB1-autoTs_WeatherToDayWh_260420_045525_1/30/forecast_Wh_metrics_30d.json,[0.4538484474356842],[8.147001838998033],[0.6348381466229465],[-0.11235806872052523],[0.48874027570579653],[8.327012325260817],[0.08311195862859594],[0.09580720526563345]
60,6vB1-autoTs_WeatherToDayWh_260420_045525_1/60/forecast_Wh_metrics_60d.json,[0.7716116124272012],[13.777698920939565],[1.049835013246729],[-2.348816775671393],[0.8369114502015632],[15.198043700186275],[0.1449825558998741],[0.17449530279246903]
90,6vB1-autoTs_WeatherToDayWh_260420_045525_1/90/forecast_Wh_metrics_90d.json,[0.6385618259209497],[12.893639771036328],[0.8328411101948479],[-0.8878604480201369],[0.6670395494700545],[11.862871303480079],[0.1209156991111815],[0.14614742544309]
120,6vB1-autoTs_WeatherToDayWh_260420_045635_1/120/forecast_Wh_metrics_120d.json,[0.873282219982474],[15.751044057818877],[1.0701811074574057],[-2.2471972387427694],[0.969255619967571],[17.973231149714028],[0.15974665015127565],[0.21595366281319955]
30,6vB1-autoTs_WeatherToDayWh_260420_045635_1/30/forecast_Wh_metrics_30d.json,[0.4538484474356842],[8.147001838998033],[0.6348381466229465],[-0.11235806872052523],[0.48874027570579653],[8.327012325260817],[0.08311195862859594],[0.09580720526563345]
60,6vB1-autoTs_WeatherToDayWh_260420_045635_1/60/forecast_Wh_metrics_60d.json,[0.7716116124272012],[13.777698920939565],[1.049835013246729],[-2.348816775671393],[0.8369114502015632],[15.198043700186275],[0.1449825558998741],[0.17449530279246903]
90,6vB1-autoTs_WeatherToDayWh_260420_045635_1/90/forecast_Wh_metrics_90d.json,[0.6385618259209497],[12.893639771036328],[0.8328411101948479],[-0.8878604480201369],[0.6670395494700545],[11.862871303480079],[0.1209156991111815],[0.14614742544309]
120,6vB1-autoTs_WeatherToDayWh_260420_045746_1/120/forecast_Wh_metrics_120d.json,[0.873282219982474],[15.751044057818877],[1.0701811074574057],[-2.2471972387427694],[0.969255619967571],[17.973231149714028],[0.15974665015127565],[0.21595366281319955]
30,6vB1-autoTs_WeatherToDayWh_260420_045746_1/30/forecast_Wh_metrics_30d.json,[0.4538484474356842],[8.147001838998033],[0.6348381466229465],[-0.11235806872052523],[0.48874027570579653],[8.327012325260817],[0.08311195862859594],[0.09580720526563345]
60,6vB1-autoTs_WeatherToDayWh_260420_045746_1/60/forecast_Wh_metrics_60d.json,[0.7716116124272012],[13.777698920939565],[1.049835013246729],[-2.348816775671393],[0.8369114502015632],[15.198043700186275],[0.1449825558998741],[0.17449530279246903]
90,6vB1-autoTs_WeatherToDayWh_260420_045746_1/90/forecast_Wh_metrics_90d.json,[0.6385618259209497],[12.893639771036328],[0.8328411101948479],[-0.8878604480201369],[0.6670395494700545],[11.862871303480079],[0.1209156991111815],[0.14614742544309]
120,6vB1-autoTs_WeatherToDayWh_260420_045856_1/120/forecast_Wh_metrics_120d.json,[0.873282219982474],[15.751044057818877],[1.0701811074574057],[-2.2471972387427694],[0.969255619967571],[17.973231149714028],[0.15974665015127565],[0.21595366281319955]
30,6vB1-autoTs_WeatherToDayWh_260420_045856_1/30/forecast_Wh_metrics_30d.json,[0.4538484474356842],[8.147001838998033],[0.6348381466229465],[-0.11235806872052523],[0.48874027570579653],[8.327012325260817],[0.08311195862859594],[0.09580720526563345]
60,6vB1-autoTs_WeatherToDayWh_260420_045856_1/60/forecast_Wh_metrics_60d.json,[0.7716116124272012],[13.777698920939565],[1.049835013246729],[-2.348816775671393],[0.8369114502015632],[15.198043700186275],[0.1449825558998741],[0.17449530279246903]
90,6vB1-autoTs_WeatherToDayWh_260420_045856_1/90/forecast_Wh_metrics_90d.json,[0.6385618259209497],[12.893639771036328],[0.8328411101948479],[-0.8878604480201369],[0.6670395494700545],[11.862871303480079],[0.1209156991111815],[0.14614742544309]
120,6vB1-autoTs_WeatherToDayWh_260420_050004_1/120/forecast_Wh_metrics_120d.json,[0.873282219982474],[15.751044057818877],[1.0701811074574057],[-2.2471972387427694],[0.969255619967571],[17.973231149714028],[0.15974665015127565],[0.21595366281319955]
30,6vB1-autoTs_WeatherToDayWh_260420_050004_1/30/forecast_Wh_metrics_30d.json,[0.4538484474356842],[8.147001838998033],[0.6348381466229465],[-0.11235806872052523],[0.48874027570579653],[8.327012325260817],[0.08311195862859594],[0.09580720526563345]
60,6vB1-autoTs_WeatherToDayWh_260420_050004_1/60/forecast_Wh_metrics_60d.json,[0.7716116124272012],[13.777698920939565],[1.049835013246729],[-2.348816775671393],[0.8369114502015632],[15.198043700186275],[0.1449825558998741],[0.17449530279246903]
90,6vB1-autoTs_WeatherToDayWh_260420_050004_1/90/forecast_Wh_metrics_90d.json,[0.6385618259209497],[12.893639771036328],[0.8328411101948479],[-0.8878604480201369],[0.6670395494700545],[11.862871303480079],[0.1209156991111815],[0.14614742544309]
