rank,ID,Model,ModelParameters,TransformationParameters,Ensemble,Runs,smape,mae,rmse,made,mage,custom,underestimate,mle,overestimate,imle,spl,containment,contour,maxe,oda,dwae,mqae,ewmae,uwmse,smoothness,mate,wasserstein,dwd,matse,smape_weighted,mae_weighted,rmse_weighted,made_weighted,mage_weighted,custom_weighted,mle_weighted,imle_weighted,spl_weighted,maxe_weighted,oda_weighted,dwae_weighted,mqae_weighted,ewmae_weighted,uwmse_weighted,smoothness_weighted,mate_weighted,wasserstein_weighted,dwd_weighted,matse_weighted,containment_weighted,contour_weighted,TotalRuntimeSeconds,Score,lowest_series_mape,lowest_series_mape_name,highest_series_mape,highest_series_mape_name
0,db0e41fb25290810d4a0fb21211c4c5d,ARIMA,"{""p"": 4, ""d"": 0, ""q"": 12, ""regression_type"": null}","{""fillna"": ""cubic"", ""transformations"": {}, ""transformation_params"": {}}",0,1,200.0,5.405076662699382,5.415938218968231,3.951471599340109,5.405076662699382,0.0,-16.215229988098145,5.405076662699382,0.0,1.8556252761774452,10.877518922781281,0.0,0.6666666666666666,5.725339889526367,0.3333333333333333,6.955330953216444,5.244945049285889,26.21220873770666,559.1649900402678,1.2593299538230962,16.215229988098145,21.332105061929052,8.742617314962807,1.0,200.0,5.405076662699382,5.415938218968231,3.951471599340109,5.405076662699382,0.0,5.405076662699382,1.8556252761774452,10.877518922781281,5.725339889526367,0.3333333333333333,6.955330953216444,5.244945049285889,26.21220873770666,559.1649900402678,1.2593299538230962,16.215229988098145,21.332105061929052,8.742617314962807,1.0,0.0,0.6666666666666666,0.0128,623.2857694868635,83.46129464442501,Wh,83.46129464442501,Wh
1,17fda0c7219c9503e65ea063790714ab,ARIMA,"{""p"": 4, ""d"": 1, ""q"": 3, ""regression_type"": null}","{""fillna"": ""pchip"", ""transformations"": {""0"": ""superFast"", ""1"": ""superFast"", ""2"": ""superFast"", ""3"": ""superFast"", ""4"": ""superFast""}, ""transformation_params"": {""0"": {}, ""1"": {}, ""2"": {}, ""3"": {}, ""4"": {}}}",0,1,200.0,5.405076662699382,5.415938218968231,3.951471599340109,5.405076662699382,0.0,-16.215229988098145,5.405076662699382,0.0,1.8556252761774452,10.877518922781281,0.0,0.6666666666666666,5.725339889526367,0.3333333333333333,6.955330953216444,5.244945049285889,26.21220873770666,559.1649900402678,1.2593299538230962,16.215229988098145,21.332105061929052,8.742617314962807,1.0,200.0,5.405076662699382,5.415938218968231,3.951471599340109,5.405076662699382,0.0,5.405076662699382,1.8556252761774452,10.877518922781281,5.725339889526367,0.3333333333333333,6.955330953216444,5.244945049285889,26.21220873770666,559.1649900402678,1.2593299538230962,16.215229988098145,21.332105061929052,8.742617314962807,1.0,0.0,0.6666666666666666,0.0117,623.2857689237044,83.46129464442501,Wh,83.46129464442501,Wh
2,0dbfde9ec50762dc40992bb2e6ddfccf,ARIMA,"{""p"": 1, ""d"": 0, ""q"": 1, ""regression_type"": null}","{""fillna"": ""ffill"", ""transformations"": {""0"": ""superFast"", ""1"": ""superFast""}, ""transformation_params"": {""0"": {}, ""1"": {}}}",0,1,200.0,5.405076662699382,5.415938218968231,3.951471599340109,5.405076662699382,0.0,-16.215229988098145,5.405076662699382,0.0,1.8556252761774452,10.877518922781281,0.0,0.6666666666666666,5.725339889526367,0.3333333333333333,6.955330953216444,5.244945049285889,26.21220873770666,559.1649900402678,1.2593299538230962,16.215229988098145,21.332105061929052,8.742617314962807,1.0,200.0,5.405076662699382,5.415938218968231,3.951471599340109,5.405076662699382,0.0,5.405076662699382,1.8556252761774452,10.877518922781281,5.725339889526367,0.3333333333333333,6.955330953216444,5.244945049285889,26.21220873770666,559.1649900402678,1.2593299538230962,16.215229988098145,21.332105061929052,8.742617314962807,1.0,0.0,0.6666666666666666,0.01,623.2857680533674,83.46129464442501,Wh,83.46129464442501,Wh
3,4ccc70bcd7fc92f82e18330769e3c98a,ARIMA,"{""p"": 2, ""d"": 1, ""q"": 1, ""regression_type"": null}","{""fillna"": ""akima"", ""transformations"": {""0"": ""superFast"", ""1"": ""superFast"", ""2"": ""superFast"", ""3"": ""superFast""}, ""transformation_params"": {""0"": {}, ""1"": {}, ""2"": {}, ""3"": {}}}",0,1,200.0,5.405076662699382,5.415938218968231,3.951471599340109,5.405076662699382,0.0,-16.215229988098145,5.405076662699382,0.0,1.8556252761774452,10.877518922781281,0.0,0.6666666666666666,5.725339889526367,0.3333333333333333,6.955330953216444,5.244945049285889,26.21220873770666,559.1649900402678,1.2593299538230962,16.215229988098145,21.332105061929052,8.742617314962807,1.0,200.0,5.405076662699382,5.415938218968231,3.951471599340109,5.405076662699382,0.0,5.405076662699382,1.8556252761774452,10.877518922781281,5.725339889526367,0.3333333333333333,6.955330953216444,5.244945049285889,26.21220873770666,559.1649900402678,1.2593299538230962,16.215229988098145,21.332105061929052,8.742617314962807,1.0,0.0,0.6666666666666666,0.0085,623.2857672854232,83.46129464442501,Wh,83.46129464442501,Wh
4,fa7b9e7ceec59512231bae735a101ba7,ARIMA,"{""p"": 0, ""d"": 0, ""q"": 4, ""regression_type"": null}","{""fillna"": ""cubic"", ""transformations"": {""0"": ""superFast"", ""1"": ""superFast"", ""2"": ""superFast"", ""3"": ""superFast""}, ""transformation_params"": {""0"": {}, ""1"": {}, ""2"": {}, ""3"": {}}}",0,1,200.0,5.405076662699382,5.415938218968231,3.951471599340109,5.405076662699382,0.0,-16.215229988098145,5.405076662699382,0.0,1.8556252761774452,10.877518922781281,0.0,0.6666666666666666,5.725339889526367,0.3333333333333333,6.955330953216444,5.244945049285889,26.21220873770666,559.1649900402678,1.2593299538230962,16.215229988098145,21.332105061929052,8.742617314962807,1.0,200.0,5.405076662699382,5.415938218968231,3.951471599340109,5.405076662699382,0.0,5.405076662699382,1.8556252761774452,10.877518922781281,5.725339889526367,0.3333333333333333,6.955330953216444,5.244945049285889,26.21220873770666,559.1649900402678,1.2593299538230962,16.215229988098145,21.332105061929052,8.742617314962807,1.0,0.0,0.6666666666666666,0.0071,623.2857665686752,83.46129464442501,Wh,83.46129464442501,Wh
5,b95df4c9f427f17b26b66e00a17992c2,ARIMA,"{""p"": 0, ""d"": 1, ""q"": 0, ""regression_type"": null}","{""fillna"": ""fake_date"", ""transformations"": {""0"": ""superFast"", ""1"": ""superFast"", ""2"": ""superFast"", ""3"": ""superFast""}, ""transformation_params"": {""0"": {}, ""1"": {}, ""2"": {}, ""3"": {}}}",0,1,200.0,5.405076662699382,5.415938218968231,3.951471599340109,5.405076662699382,0.0,-16.215229988098145,5.405076662699382,0.0,1.8556252761774452,10.877518922781281,0.0,0.6666666666666666,5.725339889526367,0.3333333333333333,6.955330953216444,5.244945049285889,26.21220873770666,559.1649900402678,1.2593299538230962,16.215229988098145,21.332105061929052,8.742617314962807,1.0,200.0,5.405076662699382,5.415938218968231,3.951471599340109,5.405076662699382,0.0,5.405076662699382,1.8556252761774452,10.877518922781281,5.725339889526367,0.3333333333333333,6.955330953216444,5.244945049285889,26.21220873770666,559.1649900402678,1.2593299538230962,16.215229988098145,21.332105061929052,8.742617314962807,1.0,0.0,0.6666666666666666,0.0064,623.2857662103012,83.46129464442501,Wh,83.46129464442501,Wh
6,16970bde3486441298098ff47262073f,Ensemble,"{""model_name"": ""BestN"", ""model_count"": 5, ""model_metric"": ""mixed_metric"", ""models"": {""db0e41fb25290810d4a0fb21211c4c5d"": {""Model"": ""ARIMA"", ""ModelParameters"": ""{\""p\"": 4, \""d\"": 0, \""q\"": 12, \""regression_type\"": null}"", ""TransformationParameters"": ""{\""fillna\"": \""cubic\"", \""transformations\"": {}, \""transformation_params\"": {}}""}, ""4ccc70bcd7fc92f82e18330769e3c98a"": {""Model"": ""ARIMA"", ""ModelParameters"": ""{\""p\"": 2, \""d\"": 1, \""q\"": 1, \""regression_type\"": null}"", ""TransformationParameters"": ""{\""fillna\"": \""akima\"", \""transformations\"": {\""0\"": \""superFast\"", \""1\"": \""superFast\"", \""2\"": \""superFast\"", \""3\"": \""superFast\""}, \""transformation_params\"": {\""0\"": {}, \""1\"": {}, \""2\"": {}, \""3\"": {}}}""}, ""0dbfde9ec50762dc40992bb2e6ddfccf"": {""Model"": ""ARIMA"", ""ModelParameters"": ""{\""p\"": 1, \""d\"": 0, \""q\"": 1, \""regression_type\"": null}"", ""TransformationParameters"": ""{\""fillna\"": \""ffill\"", \""transformations\"": {\""0\"": \""superFast\"", \""1\"": \""superFast\""}, \""transformation_params\"": {\""0\"": {}, \""1\"": {}}}""}, ""17fda0c7219c9503e65ea063790714ab"": {""Model"": ""ARIMA"", ""ModelParameters"": ""{\""p\"": 4, \""d\"": 1, \""q\"": 3, \""regression_type\"": null}"", ""TransformationParameters"": ""{\""fillna\"": \""pchip\"", \""transformations\"": {\""0\"": \""superFast\"", \""1\"": \""superFast\"", \""2\"": \""superFast\"", \""3\"": \""superFast\"", \""4\"": \""superFast\""}, \""transformation_params\"": {\""0\"": {}, \""1\"": {}, \""2\"": {}, \""3\"": {}, \""4\"": {}}}""}, ""b95df4c9f427f17b26b66e00a17992c2"": {""Model"": ""ARIMA"", ""ModelParameters"": ""{\""p\"": 0, \""d\"": 1, \""q\"": 0, \""regression_type\"": null}"", ""TransformationParameters"": ""{\""fillna\"": \""fake_date\"", \""transformations\"": {\""0\"": \""superFast\"", \""1\"": \""superFast\"", \""2\"": \""superFast\"", \""3\"": \""superFast\""}, \""transformation_params\"": {\""0\"": {}, \""1\"": {}, \""2\"": {}, \""3\"": {}}}""}}, ""point_method"": ""median"", ""model_weights"": {}}","{""fillna"": ""fake_date"", ""transformations"": {""0"": ""FIRFilter"", ""1"": ""AlignLastValue"", ""2"": ""AlignLastValue""}, ""transformation_params"": {""0"": {""numtaps"": 32, ""cutoff_hz"": 0.1, ""window"": ""triang"", ""sampling_frequency"": 12, ""on_transform"": false, ""on_inverse"": true, ""bounds_only"": true}, ""1"": {""rows"": 1, ""lag"": 1, ""method"": ""multiplicative"", ""strength"": 1.0, ""first_value_only"": false, ""threshold"": null, ""threshold_method"": ""mean""}, ""2"": {""rows"": 1, ""lag"": 1, ""method"": ""multiplicative"", ""strength"": 1.0, ""first_value_only"": true, ""threshold"": 10, ""threshold_method"": ""max""}}}",1,7,200.0,5.2098214739844915,5.2140325230269635,3.931970121796547,5.2098214739844915,0.0,-109.40625095367432,5.2098214739844915,0.0,1.8242628319878686,10.428174695102312,0.0,0.5714285714285714,5.725339889526367,0.5238095238095238,5.7587312889942215,5.094743592398507,24.398239162968373,605.2167306543391,1.2625342697144042,15.629464421953474,20.9661705581545,8.722783096146165,1.0,200.0,5.2098214739844915,5.2140325230269635,3.931970121796547,5.2098214739844915,0.0,5.2098214739844915,1.8242628319878686,10.428174695102312,5.725339889526367,0.5238095238095238,5.7587312889942215,5.094743592398507,24.398239162968373,605.2167306543391,1.2625342697144042,15.629464421953474,20.9661705581545,8.722783096146165,1.0,0.0,0.5714285714285714,0.2271857142857143,613.5920694268245,85.0012020476844,Wh,85.0012020476844,Wh
7,cb782229d10d1597c97f6b73952a9245,Ensemble,"{""model_name"": ""BestN"", ""model_count"": 3, ""model_metric"": ""best_score"", ""models"": {""4ccc70bcd7fc92f82e18330769e3c98a"": {""Model"": ""ARIMA"", ""ModelParameters"": ""{\""p\"": 2, \""d\"": 1, \""q\"": 1, \""regression_type\"": null}"", ""TransformationParameters"": ""{\""fillna\"": \""akima\"", \""transformations\"": {\""0\"": \""superFast\"", \""1\"": \""superFast\"", \""2\"": \""superFast\"", \""3\"": \""superFast\""}, \""transformation_params\"": {\""0\"": {}, \""1\"": {}, \""2\"": {}, \""3\"": {}}}""}, ""0dbfde9ec50762dc40992bb2e6ddfccf"": {""Model"": ""ARIMA"", ""ModelParameters"": ""{\""p\"": 1, \""d\"": 0, \""q\"": 1, \""regression_type\"": null}"", ""TransformationParameters"": ""{\""fillna\"": \""ffill\"", \""transformations\"": {\""0\"": \""superFast\"", \""1\"": \""superFast\""}, \""transformation_params\"": {\""0\"": {}, \""1\"": {}}}""}, ""17fda0c7219c9503e65ea063790714ab"": {""Model"": ""ARIMA"", ""ModelParameters"": ""{\""p\"": 4, \""d\"": 1, \""q\"": 3, \""regression_type\"": null}"", ""TransformationParameters"": ""{\""fillna\"": \""pchip\"", \""transformations\"": {\""0\"": \""superFast\"", \""1\"": \""superFast\"", \""2\"": \""superFast\"", \""3\"": \""superFast\"", \""4\"": \""superFast\""}, \""transformation_params\"": {\""0\"": {}, \""1\"": {}, \""2\"": {}, \""3\"": {}, \""4\"": {}}}""}}, ""model_weights"": {}, ""point_method"": ""mean""}","{""fillna"": ""fake_date"", ""transformations"": {""0"": ""FIRFilter"", ""1"": ""AlignLastValue"", ""2"": ""AlignLastValue""}, ""transformation_params"": {""0"": {""numtaps"": 32, ""cutoff_hz"": 0.1, ""window"": ""triang"", ""sampling_frequency"": 12, ""on_transform"": false, ""on_inverse"": true, ""bounds_only"": true}, ""1"": {""rows"": 1, ""lag"": 1, ""method"": ""multiplicative"", ""strength"": 1.0, ""first_value_only"": false, ""threshold"": null, ""threshold_method"": ""mean""}, ""2"": {""rows"": 1, ""lag"": 1, ""method"": ""multiplicative"", ""strength"": 1.0, ""first_value_only"": true, ""threshold"": 10, ""threshold_method"": ""max""}}}",1,7,200.0,5.2098214739844915,5.2140325230269635,3.931970121796547,5.2098214739844915,0.0,-109.40625095367432,5.2098214739844915,0.0,1.8242628319878686,10.428174695102312,0.0,0.5714285714285714,5.725339889526367,0.5238095238095238,5.7587312889942215,5.094743592398507,24.398239162968373,605.2167306543391,1.2625342697144042,15.629464421953474,20.9661705581545,8.722783096146165,1.0,200.0,5.2098214739844915,5.2140325230269635,3.931970121796547,5.2098214739844915,0.0,5.2098214739844915,1.8242628319878686,10.428174695102312,5.725339889526367,0.5238095238095238,5.7587312889942215,5.094743592398507,24.398239162968373,605.2167306543391,1.2625342697144042,15.629464421953474,20.9661705581545,8.722783096146165,1.0,0.0,0.5714285714285714,0.22167142857142857,613.5920666037151,85.0012020476844,Wh,85.0012020476844,Wh
8,ede895552bf8f5de579b600801b229a0,Ensemble,"{""model_name"": ""BestN"", ""model_count"": 1, ""model_metric"": ""horizontal"", ""models"": {""4ccc70bcd7fc92f82e18330769e3c98a"": {""Model"": ""ARIMA"", ""ModelParameters"": ""{\""p\"": 2, \""d\"": 1, \""q\"": 1, \""regression_type\"": null}"", ""TransformationParameters"": ""{\""fillna\"": \""akima\"", \""transformations\"": {\""0\"": \""superFast\"", \""1\"": \""superFast\"", \""2\"": \""superFast\"", \""3\"": \""superFast\""}, \""transformation_params\"": {\""0\"": {}, \""1\"": {}, \""2\"": {}, \""3\"": {}}}""}}, ""model_weights"": {}, ""point_method"": ""mean""}","{""fillna"": ""fake_date"", ""transformations"": {""0"": ""FIRFilter"", ""1"": ""AlignLastValue"", ""2"": ""AlignLastValue""}, ""transformation_params"": {""0"": {""numtaps"": 32, ""cutoff_hz"": 0.1, ""window"": ""triang"", ""sampling_frequency"": 12, ""on_transform"": false, ""on_inverse"": true, ""bounds_only"": true}, ""1"": {""rows"": 1, ""lag"": 1, ""method"": ""multiplicative"", ""strength"": 1.0, ""first_value_only"": false, ""threshold"": null, ""threshold_method"": ""mean""}, ""2"": {""rows"": 1, ""lag"": 1, ""method"": ""multiplicative"", ""strength"": 1.0, ""first_value_only"": true, ""threshold"": 10, ""threshold_method"": ""max""}}}",1,7,200.0,5.2098214739844915,5.2140325230269635,3.931970121796547,5.2098214739844915,0.0,-109.40625095367432,5.2098214739844915,0.0,1.8242628319878686,10.428174695102312,0.0,0.5714285714285714,5.725339889526367,0.5238095238095238,5.7587312889942215,5.094743592398507,24.398239162968373,605.2167306543391,1.2625342697144042,15.629464421953474,20.9661705581545,8.722783096146165,1.0,200.0,5.2098214739844915,5.2140325230269635,3.931970121796547,5.2098214739844915,0.0,5.2098214739844915,1.8242628319878686,10.428174695102312,5.725339889526367,0.5238095238095238,5.7587312889942215,5.094743592398507,24.398239162968373,605.2167306543391,1.2625342697144042,15.629464421953474,20.9661705581545,8.722783096146165,1.0,0.0,0.5714285714285714,0.2013,613.5920561743002,85.0012020476844,Wh,85.0012020476844,Wh
9,d508f7e3ad7fcb6189da8e598b2d0700,Ensemble,"{""model_name"": ""BestN"", ""model_count"": 3, ""model_metric"": ""best_score"", ""models"": {""4ccc70bcd7fc92f82e18330769e3c98a"": {""Model"": ""ARIMA"", ""ModelParameters"": ""{\""p\"": 2, \""d\"": 1, \""q\"": 1, \""regression_type\"": null}"", ""TransformationParameters"": ""{\""fillna\"": \""akima\"", \""transformations\"": {\""0\"": \""superFast\"", \""1\"": \""superFast\"", \""2\"": \""superFast\"", \""3\"": \""superFast\""}, \""transformation_params\"": {\""0\"": {}, \""1\"": {}, \""2\"": {}, \""3\"": {}}}""}, ""0dbfde9ec50762dc40992bb2e6ddfccf"": {""Model"": ""ARIMA"", ""ModelParameters"": ""{\""p\"": 1, \""d\"": 0, \""q\"": 1, \""regression_type\"": null}"", ""TransformationParameters"": ""{\""fillna\"": \""ffill\"", \""transformations\"": {\""0\"": \""superFast\"", \""1\"": \""superFast\""}, \""transformation_params\"": {\""0\"": {}, \""1\"": {}}}""}, ""17fda0c7219c9503e65ea063790714ab"": {""Model"": ""ARIMA"", ""ModelParameters"": ""{\""p\"": 4, \""d\"": 1, \""q\"": 3, \""regression_type\"": null}"", ""TransformationParameters"": ""{\""fillna\"": \""pchip\"", \""transformations\"": {\""0\"": \""superFast\"", \""1\"": \""superFast\"", \""2\"": \""superFast\"", \""3\"": \""superFast\"", \""4\"": \""superFast\""}, \""transformation_params\"": {\""0\"": {}, \""1\"": {}, \""2\"": {}, \""3\"": {}, \""4\"": {}}}""}}, ""model_weights"": {}, ""point_method"": ""mean""}","{""fillna"": ""zero"", ""transformations"": {""0"": ""AnomalyRemoval"", ""1"": ""EWMAFilter"", ""2"": ""AlignLastValue""}, ""transformation_params"": {""0"": {""method"": ""med_diff"", ""method_params"": {""distribution"": ""norm"", ""alpha"": 0.05}, ""fillna"": ""rolling_mean_24"", ""transform_dict"": {""fillna"": null, ""transformations"": {""0"": ""EWMAFilter""}, ""transformation_params"": {""0"": {""span"": 7}}}, ""isolated_only"": false, ""on_inverse"": false}, ""1"": {""span"": 7}, ""2"": {""rows"": 1, ""lag"": 1, ""method"": ""multiplicative"", ""strength"": 1.0, ""first_value_only"": false, ""threshold"": 1, ""threshold_method"": ""max""}}}",1,7,200.0,5.2098214739844915,5.2140325230269635,3.931970121796547,5.2098214739844915,0.0,-109.40625095367432,5.2098214739844915,0.0,1.8242628319878686,10.428174695102312,0.0,0.5714285714285714,5.725339889526367,0.5238095238095238,5.7587312889942215,5.094743592398507,24.398239162968373,605.2167306543391,1.2625342697144042,15.629464421953474,20.9661705581545,8.722783096146165,1.0,200.0,5.2098214739844915,5.2140325230269635,3.931970121796547,5.2098214739844915,0.0,5.2098214739844915,1.8242628319878686,10.428174695102312,5.725339889526367,0.5238095238095238,5.7587312889942215,5.094743592398507,24.398239162968373,605.2167306543391,1.2625342697144042,15.629464421953474,20.9661705581545,8.722783096146165,1.0,0.0,0.5714285714285714,0.1649857142857143,613.5920375827343,85.0012020476844,Wh,85.0012020476844,Wh
10,83dd51a71e27dfb62d326f7c65c5b894,Ensemble,"{""model_name"": ""BestN"", ""model_count"": 5, ""model_metric"": ""mixed_metric"", ""models"": {""db0e41fb25290810d4a0fb21211c4c5d"": {""Model"": ""ARIMA"", ""ModelParameters"": ""{\""p\"": 4, \""d\"": 0, \""q\"": 12, \""regression_type\"": null}"", ""TransformationParameters"": ""{\""fillna\"": \""cubic\"", \""transformations\"": {}, \""transformation_params\"": {}}""}, ""4ccc70bcd7fc92f82e18330769e3c98a"": {""Model"": ""ARIMA"", ""ModelParameters"": ""{\""p\"": 2, \""d\"": 1, \""q\"": 1, \""regression_type\"": null}"", ""TransformationParameters"": ""{\""fillna\"": \""akima\"", \""transformations\"": {\""0\"": \""superFast\"", \""1\"": \""superFast\"", \""2\"": \""superFast\"", \""3\"": \""superFast\""}, \""transformation_params\"": {\""0\"": {}, \""1\"": {}, \""2\"": {}, \""3\"": {}}}""}, ""0dbfde9ec50762dc40992bb2e6ddfccf"": {""Model"": ""ARIMA"", ""ModelParameters"": ""{\""p\"": 1, \""d\"": 0, \""q\"": 1, \""regression_type\"": null}"", ""TransformationParameters"": ""{\""fillna\"": \""ffill\"", \""transformations\"": {\""0\"": \""superFast\"", \""1\"": \""superFast\""}, \""transformation_params\"": {\""0\"": {}, \""1\"": {}}}""}, ""17fda0c7219c9503e65ea063790714ab"": {""Model"": ""ARIMA"", ""ModelParameters"": ""{\""p\"": 4, \""d\"": 1, \""q\"": 3, \""regression_type\"": null}"", ""TransformationParameters"": ""{\""fillna\"": \""pchip\"", \""transformations\"": {\""0\"": \""superFast\"", \""1\"": \""superFast\"", \""2\"": \""superFast\"", \""3\"": \""superFast\"", \""4\"": \""superFast\""}, \""transformation_params\"": {\""0\"": {}, \""1\"": {}, \""2\"": {}, \""3\"": {}, \""4\"": {}}}""}, ""b95df4c9f427f17b26b66e00a17992c2"": {""Model"": ""ARIMA"", ""ModelParameters"": ""{\""p\"": 0, \""d\"": 1, \""q\"": 0, \""regression_type\"": null}"", ""TransformationParameters"": ""{\""fillna\"": \""fake_date\"", \""transformations\"": {\""0\"": \""superFast\"", \""1\"": \""superFast\"", \""2\"": \""superFast\"", \""3\"": \""superFast\""}, \""transformation_params\"": {\""0\"": {}, \""1\"": {}, \""2\"": {}, \""3\"": {}}}""}}, ""point_method"": ""median"", ""model_weights"": {}}","{""fillna"": ""zero"", ""transformations"": {""0"": ""AnomalyRemoval"", ""1"": ""EWMAFilter"", ""2"": ""AlignLastValue""}, ""transformation_params"": {""0"": {""method"": ""med_diff"", ""method_params"": {""distribution"": ""norm"", ""alpha"": 0.05}, ""fillna"": ""rolling_mean_24"", ""transform_dict"": {""fillna"": null, ""transformations"": {""0"": ""EWMAFilter""}, ""transformation_params"": {""0"": {""span"": 7}}}, ""isolated_only"": false, ""on_inverse"": false}, ""1"": {""span"": 7}, ""2"": {""rows"": 1, ""lag"": 1, ""method"": ""multiplicative"", ""strength"": 1.0, ""first_value_only"": false, ""threshold"": 1, ""threshold_method"": ""max""}}}",1,7,200.0,5.2098214739844915,5.2140325230269635,3.931970121796547,5.2098214739844915,0.0,-109.40625095367432,5.2098214739844915,0.0,1.8242628319878686,10.428174695102312,0.0,0.5714285714285714,5.725339889526367,0.5238095238095238,5.7587312889942215,5.094743592398507,24.398239162968373,605.2167306543391,1.2625342697144042,15.629464421953474,20.9661705581545,8.722783096146165,1.0,200.0,5.2098214739844915,5.2140325230269635,3.931970121796547,5.2098214739844915,0.0,5.2098214739844915,1.8242628319878686,10.428174695102312,5.725339889526367,0.5238095238095238,5.7587312889942215,5.094743592398507,24.398239162968373,605.2167306543391,1.2625342697144042,15.629464421953474,20.9661705581545,8.722783096146165,1.0,0.0,0.5714285714285714,0.1602714285714286,613.592035169195,85.0012020476844,Wh,85.0012020476844,Wh
11,41243498c2d38d9eb5de3eb6398565d3,Ensemble,"{""model_name"": ""BestN"", ""model_count"": 1, ""model_metric"": ""horizontal"", ""models"": {""4ccc70bcd7fc92f82e18330769e3c98a"": {""Model"": ""ARIMA"", ""ModelParameters"": ""{\""p\"": 2, \""d\"": 1, \""q\"": 1, \""regression_type\"": null}"", ""TransformationParameters"": ""{\""fillna\"": \""akima\"", \""transformations\"": {\""0\"": \""superFast\"", \""1\"": \""superFast\"", \""2\"": \""superFast\"", \""3\"": \""superFast\""}, \""transformation_params\"": {\""0\"": {}, \""1\"": {}, \""2\"": {}, \""3\"": {}}}""}}, ""model_weights"": {}, ""point_method"": ""mean""}","{""fillna"": ""zero"", ""transformations"": {""0"": ""AnomalyRemoval"", ""1"": ""EWMAFilter"", ""2"": ""AlignLastValue""}, ""transformation_params"": {""0"": {""method"": ""med_diff"", ""method_params"": {""distribution"": ""norm"", ""alpha"": 0.05}, ""fillna"": ""rolling_mean_24"", ""transform_dict"": {""fillna"": null, ""transformations"": {""0"": ""EWMAFilter""}, ""transformation_params"": {""0"": {""span"": 7}}}, ""isolated_only"": false, ""on_inverse"": false}, ""1"": {""span"": 7}, ""2"": {""rows"": 1, ""lag"": 1, ""method"": ""multiplicative"", ""strength"": 1.0, ""first_value_only"": false, ""threshold"": 1, ""threshold_method"": ""max""}}}",1,7,200.0,5.2098214739844915,5.2140325230269635,3.931970121796547,5.2098214739844915,0.0,-109.40625095367432,5.2098214739844915,0.0,1.8242628319878686,10.428174695102312,0.0,0.5714285714285714,5.725339889526367,0.5238095238095238,5.7587312889942215,5.094743592398507,24.398239162968373,605.2167306543391,1.2625342697144042,15.629464421953474,20.9661705581545,8.722783096146165,1.0,200.0,5.2098214739844915,5.2140325230269635,3.931970121796547,5.2098214739844915,0.0,5.2098214739844915,1.8242628319878686,10.428174695102312,5.725339889526367,0.5238095238095238,5.7587312889942215,5.094743592398507,24.398239162968373,605.2167306543391,1.2625342697144042,15.629464421953474,20.9661705581545,8.722783096146165,1.0,0.0,0.5714285714285714,0.1386,613.5920240742282,85.0012020476844,Wh,85.0012020476844,Wh
