rank,ID,Model,ModelParameters,TransformationParameters,Ensemble,Runs,smape,mae,rmse,made,mage,custom,underestimate,mle,overestimate,imle,spl,containment,contour,maxe,oda,dwae,mqae,ewmae,uwmse,smoothness,mate,wasserstein,dwd,matse,smape_weighted,mae_weighted,rmse_weighted,made_weighted,mage_weighted,custom_weighted,mle_weighted,imle_weighted,spl_weighted,maxe_weighted,oda_weighted,dwae_weighted,mqae_weighted,ewmae_weighted,uwmse_weighted,smoothness_weighted,mate_weighted,wasserstein_weighted,dwd_weighted,matse_weighted,containment_weighted,contour_weighted,TotalRuntimeSeconds,Score,lowest_series_mape,lowest_series_mape_name,highest_series_mape,highest_series_mape_name
0,5cb264883e184eca22b2e09b7aa60ec1,WindowRegression,"{""window_size"": 20, ""input_dim"": ""univariate"", ""output_dim"": ""forecast_length"", ""normalize_window"": false, ""max_windows"": 5000000, ""fourier_encoding_components"": null, ""scale"": true, ""datepart_method"": null, ""regression_type"": null, ""regression_model"": {""model"": ""BayesianRidge"", ""model_params"": {}}}","{""fillna"": ""ffill"", ""transformations"": {""0"": ""DifferencedTransformer"", ""1"": ""DifferencedTransformer"", ""2"": ""DifferencedTransformer"", ""3"": ""DifferencedTransformer""}, ""transformation_params"": {""0"": {""lag"": 7, ""fill"": ""bfill""}, ""1"": {""lag"": 1, ""fill"": ""zero""}, ""2"": {""lag"": 1, ""fill"": ""zero""}, ""3"": {""lag"": 2, ""fill"": ""bfill""}}}",0,1,195.22419896189976,2.1611350160482246e+17,2.050158887659814e+18,5.670055296794445e+17,2.1611350160482246e+17,0.0,-469.2399802207947,7.0067209608352625,1.945021514443402e+19,2.1611350160482246e+17,2.8351297122386294e+17,0.05555555555555555,0.5555555555555556,1.9449514942369706e+19,0.6555555555555556,2.3481889331336883e+18,5.997269868850708,2.947900888671452e+17,5.51399126569153e+36,41.31199765629061,1.945021514443402e+19,2.211402415080106e+19,4.394293875654123e+19,3.5822451931804356e+16,195.22419896189976,2.1611350160482246e+17,2.050158887659814e+18,5.670055296794445e+17,2.1611350160482246e+17,0.0,7.0067209608352625,2.1611350160482246e+17,2.8351297122386294e+17,1.9449514942369706e+19,0.6555555555555556,2.3481889331336883e+18,5.997269868850708,2.947900888671452e+17,5.51399126569153e+36,41.31199765629061,1.945021514443402e+19,2.211402415080106e+19,4.394293875654123e+19,3.5822451931804356e+16,0.05555555555555555,0.5555555555555556,0.4746,1.1767168096295336e+19,3.131205776425564e+18,Wh,3.131205776425564e+18,Wh
1,23213a819d2ec1bf688e1f8a3d260d96,TVVAR,"{""datepart_method"": ""simple_binarized"", ""changepoint_spacing"": 71, ""changepoint_distance_end"": 5040, ""regression_type"": null, ""lags"": [7], ""rolling_means"": [4], ""lambda_"": 0.001, ""trend_phi"": null, ""var_dampening"": null, ""phi"": null, ""max_cycles"": 2000, ""apply_pca"": true, ""pca_n_components"": null, ""base_scaled"": false, ""x_scaled"": false, ""var_preprocessing"": {""fillna"": ""ffill"", ""transformations"": {""0"": ""FFTFilter""}, ""transformation_params"": {""0"": {""cutoff"": 0.01, ""reverse"": false, ""on_transform"": true, ""on_inverse"": false}}}, ""var_postprocessing"": false, ""threshold_value"": null, ""mode"": ""additive"", ""holiday_countries_used"": false}","{""fillna"": ""rolling_mean"", ""transformations"": {""0"": ""DifferencedTransformer"", ""1"": ""Scaler"", ""2"": ""Scaler"", ""3"": ""Scaler""}, ""transformation_params"": {""0"": {""lag"": 1, ""fill"": ""zero""}, ""1"": {}, ""2"": {}, ""3"": {}}}",0,1,177.0277675044507,86791233081816.25,582738771897074.4,149536253653404.62,86791233081816.25,0.0,-242.30137453861286,11.20141284762908,7811210977363221.0,86791233081814.45,113858875935447.05,0.14444444444444443,0.5111111111111111,5323919570625705.0,0.5,658083994390739.8,903340093.5275524,836799434894864.0,8.398696889486589e+30,32.76923544638732,7811210977362979.0,283283803690564.75,446845151548715.44,14386305122483.014,177.0277675044507,86791233081816.25,582738771897074.4,149536253653404.62,86791233081816.25,0.0,11.20141284762908,86791233081814.45,113858875935447.05,5323919570625705.0,0.5,658083994390739.8,903340093.5275524,836799434894864.0,8.398696889486589e+30,32.76923544638732,7811210977362979.0,283283803690564.75,446845151548715.44,14386305122483.014,0.14444444444444443,0.5111111111111111,0.8817,3813217150614717.0,1257492976379669.0,Wh,1257492976379669.0,Wh
2,a7a5933b78b61f54352d7540218def97,GLM,"{""family"": ""NegativeBinomial"", ""constant"": false, ""regression_type"": [168, ""hour""], ""changepoint_spacing"": 30}","{""fillna"": ""rolling_mean"", ""transformations"": {""0"": ""Scaler"", ""1"": ""Scaler""}, ""transformation_params"": {""0"": {}, ""1"": {}}}",0,1,183.79224163034414,573909181.7752967,1148015647.9673948,51866729.57037012,573909181.7752967,0.0,0.0,14.953421386699402,51651826359.7767,573909181.7752967,639960443.4356146,0.03333333333333333,0.4666666666666667,3558281812.0350056,0.3,1130055857.8758466,182671321.1442324,4540232257.557179,5.281678258737183e+18,15.276130029669257,51651826359.7767,8282909942.467927,752894613.6552242,95129799.50211485,183.79224163034414,573909181.7752967,1148015647.9673948,51866729.57037012,573909181.7752967,0.0,14.953421386699402,573909181.7752967,639960443.4356146,3558281812.0350056,0.3,1130055857.8758466,182671321.1442324,4540232257.557179,5.281678258737183e+18,15.276130029669257,51651826359.7767,8282909942.467927,752894613.6552242,95129799.50211485,0.03333333333333333,0.4666666666666667,0.1704,14131790846.904057,8315203500.818101,Wh,8315203500.818101,Wh
3,048292bcdba99862cd869a7c8bb57cfb,SeasonalityMotif,"{""window"": 10, ""point_method"": ""weighted_mean"", ""distance_metric"": ""minkowski"", ""k"": 5, ""datepart_method"": ""expanded_binarized"", ""independent"": true}","{""fillna"": ""ffill"", ""transformations"": {""0"": ""DifferencedTransformer"", ""1"": ""DifferencedTransformer"", ""2"": ""DifferencedTransformer"", ""3"": ""DifferencedTransformer"", ""4"": ""DifferencedTransformer"", ""5"": ""DifferencedTransformer""}, ""transformation_params"": {""0"": {""lag"": 1, ""fill"": ""bfill""}, ""1"": {""lag"": 1, ""fill"": ""zero""}, ""2"": {""lag"": 1, ""fill"": ""bfill""}, ""3"": {""lag"": 1, ""fill"": ""zero""}, ""4"": {""lag"": 1, ""fill"": ""bfill""}, ""5"": {""lag"": 7, ""fill"": ""bfill""}}}",0,1,198.18242054122098,70607303.94233975,127809976.82343112,6048910.761818677,70607303.94233975,0.0,0.0,15.289137400073718,6354657354.810577,70607303.94233975,145151163.34970534,0.9555555555555556,0.4666666666666667,414981421.1285467,0.3,125033498.3445972,30252559.77348521,532010719.0422141,6.9750992285572376e+16,12.468493990944154,6354657354.810577,1239863329.6301394,92627625.48761666,11703696.12600051,198.18242054122098,70607303.94233975,127809976.82343112,6048910.761818677,70607303.94233975,0.0,15.289137400073718,70607303.94233975,145151163.34970534,414981421.1285467,0.3,125033498.3445972,30252559.77348521,532010719.0422141,6.9750992285572376e+16,12.468493990944154,6354657354.810577,1239863329.6301394,92627625.48761666,11703696.12600051,0.9555555555555556,0.4666666666666667,0.0459,2435735494.94612,1023008726.0645094,Wh,1023008726.0645094,Wh
4,95f9ca7f9587f9affc5259f32ceec369,WindowRegression,"{""window_size"": 5, ""input_dim"": ""univariate"", ""output_dim"": ""1step"", ""normalize_window"": false, ""max_windows"": 5000000, ""fourier_encoding_components"": null, ""scale"": true, ""datepart_method"": null, ""regression_type"": null, ""regression_model"": {""model"": ""RANSAC"", ""model_params"": {}}}","{""fillna"": ""nearest"", ""transformations"": {""0"": ""DifferencedTransformer"", ""1"": ""Scaler""}, ""transformation_params"": {""0"": {""lag"": 1, ""fill"": ""bfill""}, ""1"": {}}}",0,2,94.93646897170225,32857914.462835323,153717001.28975695,52608423.134250194,32857914.462835323,0.0,-304.80430312174457,4.59534384569094,5914424298.506055,32857913.284896452,26304205.769902524,0.5888888888888889,0.538888888888889,2313828041.3085113,0.4277777777777778,66425439.15023743,37372.98166423553,296889875.6409847,3.783198223927893e+16,9.663029597366021,2957211996.8508754,134473426.35599902,242642845.6846996,4544211.550034709,94.93646897170225,32857914.462835323,153717001.28975695,52608423.134250194,32857914.462835323,0.0,4.59534384569094,32857913.284896452,26304205.769902524,2313828041.3085113,0.4277777777777778,66425439.15023743,37372.98166423553,296889875.6409847,3.783198223927893e+16,9.663029597366021,2957211996.8508754,134473426.35599902,242642845.6846996,4544211.550034709,0.5888888888888889,0.538888888888889,0.58445,1013623553.8787111,952137554.1151272,Wh,952137554.1151272,Wh
5,c6ce28d798b00ba9f93c95e000993038,BasicLinearModel,"{""datepart_method"": ""common_fourier"", ""changepoint_spacing"": 28, ""changepoint_distance_end"": 180, ""regression_type"": null, ""lambda_"": null, ""trend_phi"": null, ""holiday_countries_used"": false}","{""fillna"": ""ffill"", ""transformations"": {""0"": ""DifferencedTransformer"", ""1"": ""DifferencedTransformer"", ""2"": ""Scaler"", ""3"": ""Scaler"", ""4"": ""DifferencedTransformer"", ""5"": ""Scaler""}, ""transformation_params"": {""0"": {""lag"": 1, ""fill"": ""bfill""}, ""1"": {""lag"": 7, ""fill"": ""zero""}, ""2"": {}, ""3"": {}, ""4"": {""lag"": 1, ""fill"": ""one""}, ""5"": {}}}",0,1,189.25769973115416,28554953.961135454,54762528.93894706,2593329.0069140727,28554953.961135454,0.0,-97.94111532719353,12.79551577695222,2569945758.561075,28554953.22829147,37238412.85015677,0.3111111111111111,0.4444444444444444,177913553.06387228,0.43333333333333335,53659721.72924124,10610830.829020709,222054988.70983145,1.2815939437980366e+16,11.51547387526833,2569945660.6199603,440192586.64373845,37460398.7153647,4733199.823820592,189.25769973115416,28554953.961135454,54762528.93894706,2593329.0069140727,28554953.961135454,0.0,12.79551577695222,28554953.22829147,37238412.85015677,177913553.06387228,0.43333333333333335,53659721.72924124,10610830.829020709,222054988.70983145,1.2815939437980366e+16,11.51547387526833,2569945660.6199603,440192586.64373845,37460398.7153647,4733199.823820592,0.3111111111111111,0.4444444444444444,0.0388,755256843.8897042,413724437.0421982,Wh,413724437.0421982,Wh
6,5d921c471b8e5aae91350c73819e43f8,DatepartRegression,"{""regression_model"": {""model"": ""ElasticNet"", ""model_params"": {""l1_ratio"": 0.1, ""fit_intercept"": true, ""selection"": ""cyclic"", ""max_iter"": 1000}}, ""datepart_method"": ""anchored_warped_fourier:us_school"", ""polynomial_degree"": null, ""holiday_countries_used"": true, ""lags"": null, ""forward_lags"": null, ""regression_type"": null}","{""fillna"": ""pchip"", ""transformations"": {""0"": ""DifferencedTransformer"", ""1"": ""DifferencedTransformer"", ""2"": ""DifferencedTransformer"", ""3"": ""DifferencedTransformer"", ""4"": ""DifferencedTransformer""}, ""transformation_params"": {""0"": {""lag"": 1, ""fill"": ""bfill""}, ""1"": {""lag"": 1, ""fill"": ""bfill""}, ""2"": {""lag"": 1, ""fill"": ""bfill""}, ""3"": {""lag"": 1, ""fill"": ""bfill""}, ""4"": {""lag"": 1, ""fill"": ""bfill""}}}",0,1,197.22103436969545,3101650.943695981,5143946.506490033,219734.10564071572,3101650.943695981,0.0,0.0,12.857176649635651,279148584.9326383,3101650.943695981,29039598.94053037,1.0,0.4666666666666667,15074709.318703584,0.3,4933097.775429149,1589987.219028296,22277302.606470857,98476576930166.0,8.917441372829217,279148584.9326383,63777862.53219031,4068937.0487564374,514122.1673551634,197.22103436969545,3101650.943695981,5143946.506490033,219734.10564071572,3101650.943695981,0.0,12.857176649635651,3101650.943695981,29039598.94053037,15074709.318703584,0.3,4933097.775429149,1589987.219028296,22277302.606470857,98476576930166.0,8.917441372829217,279148584.9326383,63777862.53219031,4068937.0487564374,514122.1673551634,1.0,0.4666666666666667,1.4672,359428255.3887986,44938919.962138735,Wh,44938919.962138735,Wh
7,898b9211a9c1972f1c02adb576e21035,ETS,"{""damped_trend"": false, ""trend"": ""multiplicative"", ""seasonal"": null, ""seasonal_periods"": null, ""method"": ""SLSQP""}","{""fillna"": ""quadratic"", ""transformations"": {""0"": ""DifferencedTransformer"", ""1"": ""Scaler"", ""2"": ""DifferencedTransformer"", ""3"": ""DifferencedTransformer"", ""4"": ""DifferencedTransformer"", ""5"": ""DifferencedTransformer""}, ""transformation_params"": {""0"": {""lag"": 1, ""fill"": ""bfill""}, ""1"": {}, ""2"": {""lag"": 1, ""fill"": ""bfill""}, ""3"": {""lag"": 1, ""fill"": ""bfill""}, ""4"": {""lag"": 1, ""fill"": ""zero""}, ""5"": {""lag"": 1, ""fill"": ""bfill""}}}",0,1,197.20985679550915,2797473.358780395,4603518.760463251,194531.4743512188,2797473.358780395,0.0,0.0,12.792633092139383,251772602.29023552,2797473.358780395,29006345.468690075,1.0,0.4666666666666667,13345699.888657093,0.3,4406344.230839591,1455478.323915312,20001741.28002078,77777723479074.03,8.76835966800059,251772602.29023552,58305291.166471,3669895.386672737,463702.4257219188,197.20985679550915,2797473.358780395,4603518.760463251,194531.4743512188,2797473.358780395,0.0,12.792633092139383,2797473.358780395,29006345.468690075,13345699.888657093,0.3,4406344.230839591,1455478.323915312,20001741.28002078,77777723479074.03,8.76835966800059,251772602.29023552,58305291.166471,3669895.386672737,463702.4257219188,1.0,0.4666666666666667,0.1584,355609231.56627697,40531779.251936994,Wh,40531779.251936994,Wh
8,84d1d717cc95c4cd388eb3ccf5379341,WindowRegression,"{""window_size"": 20, ""input_dim"": ""univariate"", ""output_dim"": ""1step"", ""normalize_window"": false, ""max_windows"": 5000000, ""fourier_encoding_components"": null, ""scale"": true, ""datepart_method"": null, ""regression_type"": null, ""regression_model"": {""model"": ""RANSAC"", ""model_params"": {}}}","{""fillna"": ""nearest"", ""transformations"": {""0"": ""Scaler"", ""1"": ""DifferencedTransformer"", ""2"": ""Scaler"", ""3"": ""DifferencedTransformer""}, ""transformation_params"": {""0"": {}, ""1"": {""lag"": 1, ""fill"": ""zero""}, ""2"": {}, ""3"": {""lag"": 1, ""fill"": ""bfill""}}}",0,1,166.99518435145134,4906461.086348349,23285257.952110548,8372635.613702547,4906461.086348349,0.0,-227.91367110098054,7.1187403251871775,441581269.8576803,4906459.400684994,6435030.08297376,0.4777777777777778,0.4666666666666667,193618593.28609306,0.5222222222222223,25663748.6339444,7875.660357572349,45367710.570937246,1.1230274470996756e+16,16.1623975927123,441581041.9440092,27431273.158722337,42093741.96194549,813282.2969601991,166.99518435145134,4906461.086348349,23285257.952110548,8372635.613702547,4906461.086348349,0.0,7.1187403251871775,4906459.400684994,6435030.08297376,193618593.28609306,0.5222222222222223,25663748.6339444,7875.660357572349,45367710.570937246,1.1230274470996756e+16,16.1623975927123,441581041.9440092,27431273.158722337,42093741.96194549,813282.2969601991,0.4777777777777778,0.4666666666666667,0.4396,180742044.23788434,71088290.09431209,Wh,71088290.09431209,Wh
9,d71058d029474e9ee8c48f04733fc8ff,UnivariateMotif,"{""window"": 10, ""point_method"": ""mean"", ""distance_metric"": ""jensenshannon"", ""k"": 15, ""max_windows"": 10000}","{""fillna"": ""rolling_mean_24"", ""transformations"": {""0"": ""DifferencedTransformer"", ""1"": ""DifferencedTransformer"", ""2"": ""DifferencedTransformer"", ""3"": ""Scaler"", ""4"": ""DifferencedTransformer"", ""5"": ""DifferencedTransformer""}, ""transformation_params"": {""0"": {""lag"": 7, ""fill"": ""bfill""}, ""1"": {""lag"": 2, ""fill"": ""bfill""}, ""2"": {""lag"": 1, ""fill"": ""bfill""}, ""3"": {}, ""4"": {""lag"": 1, ""fill"": ""bfill""}, ""5"": {""lag"": 1, ""fill"": ""bfill""}}}",0,1,196.82842738110057,6.501821473770671,7.407878201788722,1.7000975204960926,6.501821473770671,0.0,-523.8703308105469,5.911622997398093,61.293601828813564,2.561811592097526,16002156.780095918,0.9888888888888889,0.5444444444444444,34.17810778121154,0.7111111111111111,4.820185782345069,5.886541505249446,23.97921629552352,1444.878429380245,0.6255376516834283,462.5767289817333,270.424116883948,69.86725907250181,0.8519511231967721,196.82842738110057,6.501821473770671,7.407878201788722,1.7000975204960926,6.501821473770671,0.0,5.911622997398093,2.561811592097526,16002156.780095918,34.17810778121154,0.7111111111111111,4.820185782345069,5.886541505249446,23.97921629552352,1444.878429380245,0.6255376516834283,462.5767289817333,270.424116883948,69.86725907250181,0.8519511231967721,0.9888888888888889,0.5444444444444444,0.0166,179409580.64850008,94.20300353647228,Wh,94.20300353647228,Wh
10,2e44aa6a7facae91ef7e131c5886198b,BasicLinearModel,"{""datepart_method"": [7, 365.25], ""changepoint_spacing"": 90, ""changepoint_distance_end"": 180, ""regression_type"": null, ""lambda_"": null, ""trend_phi"": 0.98, ""holiday_countries_used"": false}","{""fillna"": ""zero"", ""transformations"": {""0"": ""Scaler"", ""1"": ""DifferencedTransformer"", ""2"": ""DifferencedTransformer"", ""3"": ""DifferencedTransformer""}, ""transformation_params"": {""0"": {}, ""1"": {""lag"": 1, ""fill"": ""bfill""}, ""2"": {""lag"": 1, ""fill"": ""bfill""}, ""3"": {""lag"": 1, ""fill"": ""bfill""}}}",0,1,192.64838584375627,5838830.898190826,11412968.935681967,577716.7704400629,5838830.898190826,0.0,0.0,12.145641661540479,525494780.83717436,5838830.898190826,7404800.223144701,0.3111111111111111,0.4666666666666667,39633867.29397384,0.3,11335055.986200392,2072791.0549563349,45696681.18539864,611648980402050.0,10.243438655099592,525494780.83717436,88555688.34042709,7659763.2392100375,967830.5040415282,192.64838584375627,5838830.898190826,11412968.935681967,577716.7704400629,5838830.898190826,0.0,12.145641661540479,5838830.898190826,7404800.223144701,39633867.29397384,0.3,11335055.986200392,2072791.0549563349,45696681.18539864,611648980402050.0,10.243438655099592,525494780.83717436,88555688.34042709,7659763.2392100375,967830.5040415282,0.3111111111111111,0.4666666666666667,0.0276,152857569.0326267,84597125.58550858,Wh,84597125.58550858,Wh
11,96e8b61fe967218ff20b0e426a6b100c,LastValueNaive,{},"{""fillna"": ""ffill"", ""transformations"": {""0"": ""Scaler"", ""1"": ""DifferencedTransformer"", ""2"": ""DifferencedTransformer"", ""3"": ""DifferencedTransformer"", ""4"": ""DifferencedTransformer""}, ""transformation_params"": {""0"": {}, ""1"": {""lag"": 1, ""fill"": ""zero""}, ""2"": {""lag"": 1, ""fill"": ""zero""}, ""3"": {""lag"": 1, ""fill"": ""bfill""}, ""4"": {""lag"": 1, ""fill"": ""bfill""}}}",0,1,197.20985679550915,2797473.358780395,4603518.760463251,194531.4743512188,2797473.358780395,0.0,0.0,12.792633092139383,251772602.29023552,2797473.358780395,775787.2920423087,0.9888888888888889,0.4666666666666667,13345699.888657093,0.3,4406344.230839591,1455478.323915312,20001741.28002078,77777723479074.03,8.76835966800059,251772602.29023552,58305291.166471,3669895.386672737,463702.4257219188,197.20985679550915,2797473.358780395,4603518.760463251,194531.4743512188,2797473.358780395,0.0,12.792633092139383,2797473.358780395,775787.2920423087,13345699.888657093,0.3,4406344.230839591,1455478.323915312,20001741.28002078,77777723479074.03,8.76835966800059,251772602.29023552,58305291.166471,3669895.386672737,463702.4257219188,0.9888888888888889,0.4666666666666667,0.0178,39100210.613655955,40531779.251936994,Wh,40531779.251936994,Wh
12,c6e2e594e294c36e3aa6b2cb324ed6da,ARDL,"{""lags"": 1, ""trend"": ""c"", ""order"": 2, ""causal"": false, ""regression_type"": ""common_fourier_rw""}","{""fillna"": ""ffill"", ""transformations"": {""0"": null}, ""transformation_params"": {""0"": {}}}",0,1,189.3446280377196,830817.0689882687,1246713.6386929804,47316.50133631938,830817.0689882687,0.0,0.0,11.110306926970152,74773536.20894419,830817.0689882687,1089923.747788669,0.011111111111111112,0.5,2446779.1508790436,0.3,1094583.2608346953,549884.313763773,5455191.921500646,2800585698768.1436,8.167350316997185,74773536.20894419,20710953.719737787,1188729.5952734326,137714.2302398876,189.3446280377196,830817.0689882687,1246713.6386929804,47316.50133631938,830817.0689882687,0.0,11.110306926970152,830817.0689882687,1089923.747788669,2446779.1508790436,0.3,1094583.2608346953,549884.313763773,5455191.921500646,2800585698768.1436,8.167350316997185,74773536.20894419,20710953.719737787,1188729.5952734326,137714.2302398876,0.011111111111111112,0.5,0.0399,20828110.51825904,12037467.285713412,Wh,12037467.285713412,Wh
13,5389a055df2ff075ec8804e3647de106,LastValueNaive,{},"{""fillna"": ""akima"", ""transformations"": {""0"": ""DifferencedTransformer"", ""1"": ""Scaler"", ""2"": ""DifferencedTransformer"", ""3"": ""DifferencedTransformer"", ""4"": ""DifferencedTransformer""}, ""transformation_params"": {""0"": {""lag"": 1, ""fill"": ""zero""}, ""1"": {}, ""2"": {""lag"": 7, ""fill"": ""bfill""}, ""3"": {""lag"": 1, ""fill"": ""bfill""}, ""4"": {""lag"": 1, ""fill"": ""zero""}}}",0,1,195.76055692788776,1338609.4185227817,2202870.8539047157,93089.38272647548,1338609.4185227817,0.0,0.0,12.052348068194496,120474847.66705036,1338609.4185227817,509125.14613796823,1.0,0.4666666666666667,6386333.97927618,0.3,2108528.7060357826,696423.7754399275,9571115.72859933,17810159089965.6,8.031553390594613,120474847.66705036,27898058.736775227,1756054.5241518223,221884.66335702044,195.76055692788776,1338609.4185227817,2202870.8539047157,93089.38272647548,1338609.4185227817,0.0,12.052348068194496,1338609.4185227817,509125.14613796823,6386333.97927618,0.3,2108528.7060357826,696423.7754399275,9571115.72859933,17810159089965.6,8.031553390594613,120474847.66705036,27898058.736775227,1756054.5241518223,221884.66335702044,1.0,0.4666666666666667,0.0153,20256121.038378835,19394723.20114714,Wh,19394723.20114714,Wh
14,cdc70f42a8ca4b0d8c94a39e8d438908,GLM,"{""family"": ""Binomial"", ""constant"": false, ""regression_type"": [""dayofweek"", 365.25], ""changepoint_spacing"": 5040}","{""fillna"": ""cubic"", ""transformations"": {""0"": ""DifferencedTransformer"", ""1"": ""DifferencedTransformer"", ""2"": ""DifferencedTransformer"", ""3"": ""DifferencedTransformer"", ""4"": ""Scaler""}, ""transformation_params"": {""0"": {""lag"": 1, ""fill"": ""bfill""}, ""1"": {""lag"": 1, ""fill"": ""zero""}, ""2"": {""lag"": 1, ""fill"": ""bfill""}, ""3"": {""lag"": 1, ""fill"": ""bfill""}, ""4"": {}}}",0,1,195.48264331288613,660156.683622943,1080168.054291616,45388.754742924124,660156.683622943,0.0,0.0,11.433959022964364,59414101.52606487,660156.683622943,1023063.2990111918,1.0,0.4666666666666667,3113864.7416267395,0.3,1032899.6893466947,346989.65409834136,4703664.333435493,4251330259140.292,7.301790423441739,59414101.52606487,13910474.96306861,866012.2580367969,109425.97704878681,195.48264331288613,660156.683622943,1080168.054291616,45388.754742924124,660156.683622943,0.0,11.433959022964364,660156.683622943,1023063.2990111918,3113864.7416267395,0.3,1032899.6893466947,346989.65409834136,4703664.333435493,4251330259140.292,7.301790423441739,59414101.52606487,13910474.96306861,866012.2580367969,109425.97704878681,1.0,0.4666666666666667,0.3513,18623009.32226727,9564818.51321767,Wh,9564818.51321767,Wh
15,5aed7301d6ca269852ac6191372b00d4,DatepartRegression,"{""regression_model"": {""model"": ""RadiusNeighbors"", ""model_params"": {""radius"": 10.0, ""weights"": ""distance"", ""algorithm"": ""auto"", ""leaf_size"": 20, ""p"": 1, ""metric"": ""minkowski""}}, ""datepart_method"": ""common_fourier"", ""polynomial_degree"": null, ""holiday_countries_used"": false, ""lags"": null, ""forward_lags"": null, ""regression_type"": null}","{""fillna"": ""ffill"", ""transformations"": {""0"": ""Scaler"", ""1"": ""DifferencedTransformer"", ""2"": ""Scaler"", ""3"": ""Scaler""}, ""transformation_params"": {""0"": {}, ""1"": {""lag"": 1, ""fill"": ""bfill""}, ""2"": {}, ""3"": {}}}",0,1,180.7124644581482,763947.8356371295,1310080.4981199233,57587.80431292511,763947.8356371295,0.0,-5.002902030944824,10.726868642484172,68755300.20443963,763947.8208689388,851741.9344256669,0.1,0.4888888888888889,3950769.181123256,0.3111111111111111,1262962.70559577,367825.73308726354,5596913.470685618,6631259940493.423,7.6331079100059736,68755295.2015376,14702015.329710638,1002177.9796922571,126630.1292363298,180.7124644581482,763947.8356371295,1310080.4981199233,57587.80431292511,763947.8356371295,0.0,10.726868642484172,763947.8208689388,851741.9344256669,3950769.181123256,0.3111111111111111,1262962.70559577,367825.73308726354,5596913.470685618,6631259940493.423,7.6331079100059736,68755295.2015376,14702015.329710638,1002177.9796922571,126630.1292363298,0.1,0.4888888888888889,0.2737,18037981.91787772,11068618.379099963,Wh,11068618.379099963,Wh
16,b3b77a1afcd4e9f1d19f0d25ac98916f,ARDL,"{""lags"": 1, ""trend"": ""c"", ""order"": 1, ""causal"": false, ""regression_type"": ""common_fourier_rw""}","{""fillna"": ""akima"", ""transformations"": {}, ""transformation_params"": {}}",0,1,190.26879863345832,577339.7438448955,850795.8340846631,35777.82729648609,577339.7438448955,0.0,-0.10070190811529756,10.936078046555812,51960576.84533868,577339.7437920751,757393.9842005973,0.011111111111111112,0.5222222222222223,1660497.0319019463,0.3,739054.9920858309,389697.79580091476,3682920.5993682565,1160269518447.8948,7.883422950454707,51960576.744636774,15287094.690047985,871139.9117523215,95698.4408121695,190.26879863345832,577339.7438448955,850795.8340846631,35777.82729648609,577339.7438448955,0.0,10.936078046555812,577339.7437920751,757393.9842005973,1660497.0319019463,0.3,739054.9920858309,389697.79580091476,3682920.5993682565,1160269518447.8948,7.883422950454707,51960576.744636774,15287094.690047985,871139.9117523215,95698.4408121695,0.011111111111111112,0.5222222222222223,0.0516,14421637.31340362,8364907.918584448,Wh,8364907.918584448,Wh
17,15daa276c015b67411e06b30d0d835b7,DatepartRegression,"{""regression_model"": {""model"": ""ElasticNet"", ""model_params"": {""l1_ratio"": 0.1, ""fit_intercept"": true, ""selection"": ""cyclic"", ""max_iter"": 1000}}, ""datepart_method"": ""anchored_warped_fourier:us_school"", ""polynomial_degree"": null, ""holiday_countries_used"": true, ""lags"": null, ""forward_lags"": null, ""regression_type"": null}","{""fillna"": ""akima"", ""transformations"": {""0"": ""DifferencedTransformer"", ""1"": ""Scaler"", ""2"": ""DifferencedTransformer"", ""3"": ""DifferencedTransformer"", ""4"": ""Scaler"", ""5"": ""DifferencedTransformer""}, ""transformation_params"": {""0"": {""lag"": 1, ""fill"": ""bfill""}, ""1"": {}, ""2"": {""lag"": 1, ""fill"": ""bfill""}, ""3"": {""lag"": 1, ""fill"": ""bfill""}, ""4"": {}, ""5"": {""lag"": 1, ""fill"": ""bfill""}}}",0,1,193.64575948319916,56806.407237313666,86002.34749377884,3286.757344742603,56806.407237313666,0.0,0.0,9.496601430782587,5112576.65135823,56806.407237313666,957103.0960980895,1.0,0.4666666666666667,225485.75892957766,0.3,81028.17742585405,34070.67813277068,385118.9998522535,23969627176.142952,4.4671242689951,5112576.65135823,1378113.737543243,74494.70695098425,9416.09282884232,193.64575948319916,56806.407237313666,86002.34749377884,3286.757344742603,56806.407237313666,0.0,9.496601430782587,56806.407237313666,957103.0960980895,225485.75892957766,0.3,81028.17742585405,34070.67813277068,385118.9998522535,23969627176.142952,4.4671242689951,5112576.65135823,1378113.737543243,74494.70695098425,9416.09282884232,1.0,0.4666666666666667,1.7632,11321929.716805356,823051.540781154,Wh,823051.540781154,Wh
