rank,ID,Model,ModelParameters,TransformationParameters,Ensemble,Runs,smape,mae,rmse,made,mage,custom,underestimate,mle,overestimate,imle,spl,containment,contour,maxe,oda,dwae,mqae,ewmae,uwmse,smoothness,mate,wasserstein,dwd,matse,smape_weighted,mae_weighted,rmse_weighted,made_weighted,mage_weighted,custom_weighted,mle_weighted,imle_weighted,spl_weighted,maxe_weighted,oda_weighted,dwae_weighted,mqae_weighted,ewmae_weighted,uwmse_weighted,smoothness_weighted,mate_weighted,wasserstein_weighted,dwd_weighted,matse_weighted,containment_weighted,contour_weighted,TotalRuntimeSeconds,Score,lowest_series_mape,lowest_series_mape_name,highest_series_mape,highest_series_mape_name
0,caf9205b15ae2a4df5fab18894108293,SeasonalNaive,"{""method"": ""mean"", ""lag_1"": 364, ""lag_2"": 1}","{""fillna"": ""ffill"", ""transformations"": {""0"": ""CenterSplit"", ""1"": ""bkfilter"", ""2"": ""Round"", ""3"": ""PowerTransformer"", ""4"": ""DifferencedTransformer"", ""5"": ""SeasonalDifference""}, ""transformation_params"": {""0"": {""fillna"": ""ffill"", ""center"": ""zero""}, ""1"": {}, ""2"": {""decimals"": 1, ""on_transform"": false, ""on_inverse"": true}, ""3"": {}, ""4"": {""lag"": 2, ""fill"": ""bfill""}, ""5"": {""lag_1"": 7, ""method"": 20}}}",0,1,76.87849298144987,8.962878485520681,10.00494789055077,0.6414489897052799,8.962878485520681,0.0,-1.481129360198974,2.1499919912947405,1074.064288902283,8.95996172312599,1.342398075203828e+225,0.9,0.375,16.36746988296509,0.06666666666666667,9.364231438536095,7.9137118442385805,45.339890320316684,145.96488610722255,0.40575851144986064,1072.5831595420836,334.4679609884651,8.965716098350084,1.3689344046711571,76.87849298144987,8.962878485520681,10.00494789055077,0.6414489897052799,8.962878485520681,0.0,2.1499919912947405,8.95996172312599,1.342398075203828e+225,16.36746988296509,0.06666666666666667,9.364231438536095,7.9137118442385805,45.339890320316684,145.96488610722255,0.40575851144986064,1072.5831595420836,334.4679609884651,8.965716098350084,1.3689344046711571,0.9,0.375,0.1789,2.1746308030080332e+226,127.31179776153401,Wh,127.31179776153401,Wh
1,a7b6238fb63c226f01531f8b205d3e1b,FFT,"{""n_harmonics"": 10, ""detrend"": ""linear""}","{""fillna"": ""rolling_mean_24"", ""transformations"": {""0"": ""PctChangeTransformer"", ""1"": ""bkfilter"", ""2"": ""MinMaxScaler""}, ""transformation_params"": {""0"": {}, ""1"": {}, ""2"": {}}}",0,1,199.74730233643308,1.7482293170667911e+75,1.8791704198421764e+76,3.007521318239339e+75,1.7482293170667911e+75,0.0,-398.87401008605957,42.446709582853146,2.0978751804801493e+77,1.7482293170667911e+75,1.6366522648181295e+118,0.49166666666666664,0.45,2.0581577316111096e+77,0.49166666666666664,1.7428352189139223e+76,2.8763463219201093e+41,1.7134743765424874e+76,3.037474600286739e+152,174.36575688271287,2.0978751804801493e+77,3.065446373332245e+75,4.6271320875448196e+75,2.6775112826599534e+74,199.74730233643308,1.7482293170667911e+75,1.8791704198421764e+76,3.007521318239339e+75,1.7482293170667911e+75,0.0,42.446709582853146,1.7482293170667911e+75,1.6366522648181295e+118,2.0581577316111096e+77,0.49166666666666664,1.7428352189139223e+76,2.8763463219201093e+41,1.7134743765424874e+76,3.037474600286739e+152,174.36575688271287,2.0978751804801493e+77,3.065446373332245e+75,4.6271320875448196e+75,2.6775112826599534e+74,0.49166666666666664,0.45,0.1833,2.6513107360839694e+119,2.4832448371887332e+76,Wh,2.4832448371887332e+76,Wh
2,bcaad88e468d517a8d1e7ea09b984a83,SectionalMotif,"{""window"": 5, ""point_method"": ""median"", ""distance_metric"": ""euclidean"", ""include_differenced"": true, ""k"": 10, ""stride_size"": 1, ""regression_type"": null, ""comparison_transformation"": null, ""combination_transformation"": {""fillna"": ""ffill"", ""transformations"": {""0"": ""Detrend"", ""1"": ""SeasonalDifference""}, ""transformation_params"": {""0"": {""model"": ""Linear"", ""phi"": 1, ""window"": null, ""transform_dict"": {""fillna"": null, ""transformations"": {""0"": ""ScipyFilter""}, ""transformation_params"": {""0"": {""method"": ""savgol_filter"", ""method_args"": {""window_length"": 31, ""polyorder"": 3, ""deriv"": 0, ""mode"": ""interp""}}}}}, ""1"": {""lag_1"": 7, ""method"": ""Mean""}}}}","{""fillna"": ""ffill"", ""transformations"": {""0"": ""RobustScaler"", ""1"": ""PctChangeTransformer"", ""2"": ""MinMaxScaler""}, ""transformation_params"": {""0"": {}, ""1"": {}, ""2"": {}}}",0,1,157.16655155784963,5.6665682141282536e+29,4.3687845336086676e+30,6.498924534895514e+29,5.6665682141282536e+29,0.0,-317.34872995733684,15.56272063990166,6.799881856953905e+31,5.6665682141282536e+29,1.1173814119654933e+105,0.16666666666666666,0.45,4.533277122196781e+31,0.5,4.051825991204722e+30,1.2219980863234492e+16,4.896956029020843e+30,1.6417293863002127e+61,69.32450772860727,6.799881856953905e+31,4.16903346820007e+30,5.036667182864761e+30,8.67866714004488e+28,157.16655155784963,5.6665682141282536e+29,4.3687845336086676e+30,6.498924534895514e+29,5.6665682141282536e+29,0.0,15.56272063990166,5.6665682141282536e+29,1.1173814119654933e+105,4.533277122196781e+31,0.5,4.051825991204722e+30,1.2219980863234492e+16,4.896956029020843e+30,1.6417293863002127e+61,69.32450772860727,6.799881856953905e+31,4.16903346820007e+30,5.036667182864761e+30,8.67866714004488e+28,0.16666666666666666,0.45,0.0908,1.8101128734111293e+106,8.048987695688074e+30,Wh,8.048987695688074e+30,Wh
3,990d42d35fb8885ed9713a94b44c2da3,RRVAR,"{""method"": ""als"", ""rank"": 1, ""maxiter"": 200}","{""fillna"": ""linear"", ""transformations"": {""0"": ""PctChangeTransformer""}, ""transformation_params"": {""0"": {}}}",0,1,21.56180968816586,1.5272450990149358,1.703544890716363,0.4733189684083604,1.5272450990149358,0.0,-0.4746996998098041,0.8768856159665346,182.79471218198248,1.5268154649733352,5.738899956253629e+98,0.5,0.5,3.5527402341710257,0.016666666666666666,2.0843719315601543,1.321509751574312,7.025017719666632,3.2162017773072944,8.738501819181764e-06,182.32001248217267,65.84946273886014,30.78602351596479,0.23269444007817128,21.56180968816586,1.5272450990149358,1.703544890716363,0.4733189684083604,1.5272450990149358,0.0,0.8768856159665346,1.5268154649733352,5.738899956253629e+98,3.5527402341710257,0.016666666666666666,2.0843719315601543,1.321509751574312,7.025017719666632,3.2162017773072944,8.738501819181764e-06,182.32001248217267,65.84946273886014,30.78602351596479,0.23269444007817128,0.5,0.5,0.1619,9.296786736196452e+99,21.69351280307892,Wh,21.69351280307892,Wh
4,389a665f2ee5b552369fe5b49e9537ff,SectionalMotif,"{""window"": 15, ""point_method"": ""midhinge"", ""distance_metric"": ""sqeuclidean"", ""include_differenced"": false, ""k"": 10, ""stride_size"": 2, ""regression_type"": null, ""comparison_transformation"": null, ""combination_transformation"": {""fillna"": ""mean"", ""transformations"": {""0"": ""FFTDecomposition""}, ""transformation_params"": {""0"": {""n_harmonics"": null, ""detrend"": ""cubic""}}}}","{""fillna"": ""ffill"", ""transformations"": {""0"": ""SeasonalDifference"", ""1"": ""RollingMean100thN"", ""2"": ""PctChangeTransformer"", ""3"": ""AlignLastValue""}, ""transformation_params"": {""0"": {""lag_1"": 7, ""method"": ""LastValue""}, ""1"": {}, ""2"": {}, ""3"": {""rows"": 1, ""lag"": 1, ""method"": ""multiplicative"", ""strength"": 0.9, ""first_value_only"": false, ""threshold"": 10, ""threshold_method"": ""mean"", ""mean_type"": ""arithmetic""}}}",0,1,129.9842420791773,1.1892951372826473e+90,1.3021945872258085e+91,2.0459732851621606e+90,1.1892951372826473e+90,0.0,-265.9481231470576,31.819876030082426,1.4271541647391767e+92,1.1892951372826473e+90,1.0229866425809523e+90,0.0,0.525,1.4264825414425592e+92,0.6,1.2077194088053085e+91,7.583038441118443e+36,1.1664832830026982e+91,1.458586170405044e+182,208.51315657324938,1.4271541647391767e+92,2.046936680262747e+90,3.0708867179444144e+90,1.821472227584917e+89,129.9842420791773,1.1892951372826473e+90,1.3021945872258085e+91,2.0459732851621606e+90,1.1892951372826473e+90,0.0,31.819876030082426,1.1892951372826473e+90,1.0229866425809523e+90,1.4264825414425592e+92,0.6,1.2077194088053085e+91,7.583038441118443e+36,1.1664832830026982e+91,1.458586170405044e+182,208.51315657324938,1.4271541647391767e+92,2.046936680262747e+90,3.0708867179444144e+90,1.821472227584917e+89,0.0,0.525,0.0602,6.3812434734455184e+91,1.68931557245929e+91,Wh,1.68931557245929e+91,Wh
5,eff936786702cfe16a0a954d5486d6d2,ETS,"{""damped_trend"": false, ""trend"": ""additive"", ""seasonal"": null, ""seasonal_periods"": null, ""method"": null}","{""fillna"": ""ffill"", ""transformations"": {""0"": ""PctChangeTransformer"", ""1"": ""StandardScaler"", ""2"": ""ScipyFilter""}, ""transformation_params"": {""0"": {}, ""1"": {}, ""2"": {""method"": ""butter"", ""method_args"": {""N"": 8, ""btype"": ""highpass"", ""analog"": false, ""output"": ""sos"", ""Wn"": 0.14285714285714285}}}}",0,1,190.33163482113432,6.258511134584253,6.3572929565522704,0.49266940190415365,6.258511134584253,0.0,-751.0213361501103,6.258511134584253,0.0,1.9651534468773566,1.4318898328713968e+90,0.5,0.49166666666666664,8.351201715760793,0.9833333333333333,2.6950319329461636,6.011599038053724,24.269412542832704,46.08936274441793,0.00918104685088426,751.0213361501103,325.73132871984245,24.469489520785675,0.9585260933398516,190.33163482113432,6.258511134584253,6.3572929565522704,0.49266940190415365,6.258511134584253,0.0,6.258511134584253,1.9651534468773566,1.4318898328713968e+90,8.351201715760793,0.9833333333333333,2.6950319329461636,6.011599038053724,24.269412542832704,46.08936274441793,0.00918104685088426,751.0213361501103,325.73132871984245,24.469489520785675,0.9585260933398516,0.5,0.49166666666666664,0.1956,2.3196038452329897e+91,88.89803706941717,Wh,88.89803706941717,Wh
6,c95c757d433cf5b20ac4a9fa63fcffef,ConstantNaive,"{""constant"": 1}","{""fillna"": ""cubic"", ""transformations"": {""0"": ""PctChangeTransformer"", ""1"": ""Constraint"", ""2"": ""SeasonalDifference"", ""3"": ""ReconciliationTransformer""}, ""transformation_params"": {""0"": {}, ""1"": {""constraint_method"": ""historic_growth"", ""constraint_direction"": ""lower"", ""constraint_regularization"": 1.0, ""constraint_value"": {""threshold"": 1.0, ""window"": 100}, ""bounds_only"": true, ""fillna"": null}, ""2"": {""lag_1"": 12, ""method"": ""Mean""}, ""3"": {""group_size"": 20, ""hierarchy_map"": null, ""reconciliation_params"": {""method"": ""iterative_mint"", ""cov_source"": ""historical"", ""weighting"": ""diagonal"", ""shrinkage"": 0.5, ""ledoit_wolf"": true, ""ridge"": 1e-07, ""volatility_params"": {""method"": ""variance"", ""power"": 0.8794716590259386, ""mix"": 0.7096301363882067}, ""iterative_params"": {""max_iterations"": 20, ""convergence_threshold"": 1e-08, ""damping_factor"": 0.8168530165459487}}}}}",0,1,198.12938933961314,9.676033810285736e+40,6.130049795748673e+41,4.1265701346960783e+40,9.676033810285736e+40,0.0,0.0,51.031796288417006,1.1611240572342883e+43,9.676033810285736e+40,8.322957885543562e+40,0.0,0.49166666666666664,5.756919502839981e+42,0.016666666666666666,5.685310158630615e+41,1.0292228365032967e+35,9.49829920306456e+41,8.637943746892388e+84,92.93487579959168,1.1611240572342883e+43,1.644310799104109e+41,8.322957885543562e+40,1.4819388649715359e+40,198.12938933961314,9.676033810285736e+40,6.130049795748673e+41,4.1265701346960783e+40,9.676033810285736e+40,0.0,51.031796288417006,9.676033810285736e+40,8.322957885543562e+40,5.756919502839981e+42,0.016666666666666666,5.685310158630615e+41,1.0292228365032967e+35,9.49829920306456e+41,8.637943746892388e+84,92.93487579959168,1.1611240572342883e+43,1.644310799104109e+41,8.322957885543562e+40,1.4819388649715359e+40,0.0,0.49166666666666664,0.0239,3.74260185677305e+42,1.3744170040673042e+42,Wh,1.3744170040673042e+42,Wh
7,ea106d0dabcd2885f89ba1240cd20c25,RRVAR,"{""method"": ""dmd"", ""rank"": 1, ""maxiter"": 200}","{""fillna"": ""linear"", ""transformations"": {""0"": ""PctChangeTransformer"", ""1"": ""Slice"", ""2"": ""AlignLastValue"", ""3"": ""BKBandpassFilter""}, ""transformation_params"": {""0"": {}, ""1"": {""method"": 100}, ""2"": {""rows"": 4, ""lag"": 1, ""method"": ""additive"", ""strength"": 1.0, ""first_value_only"": false, ""threshold"": 10, ""threshold_method"": ""mean"", ""mean_type"": ""arithmetic""}, ""3"": {""low"": 6, ""high"": 90, ""K"": 3, ""lanczos_factor"": true, ""return_diff"": false, ""on_transform"": true, ""on_inverse"": false}}}",0,1,187.60791391773208,15560014.108999664,45372294.78088311,1771206.1374453253,15560014.108999664,0.0,0.0,10.828390420866038,1867201693.0799596,15560014.108999664,1.1212644443854103e+41,1.0,0.49166666666666664,247098457.63859406,0.016666666666666666,42080501.30343435,1422052.8365204837,138231969.7688937,1.7088949255492022e+16,12.523767810167215,1867201693.0799596,101136997.30004387,13384102.83952747,2383103.4595104526,187.60791391773208,15560014.108999664,45372294.78088311,1771206.1374453253,15560014.108999664,0.0,10.828390420866038,15560014.108999664,1.1212644443854103e+41,247098457.63859406,0.016666666666666666,42080501.30343435,1422052.8365204837,138231969.7688937,1.7088949255492022e+16,12.523767810167215,1867201693.0799596,101136997.30004387,13384102.83952747,2383103.4595104526,1.0,0.49166666666666664,0.1695,1.8164032295025204e+42,221019773.12442613,Wh,221019773.12442613,Wh
8,cca8941f1a09e9942ccb5a07508f8bd3,FFT,"{""n_harmonics"": 5000, ""detrend"": ""linear""}","{""fillna"": ""mean"", ""transformations"": {""0"": ""AlignLastValue"", ""1"": ""Discretize"", ""2"": ""bkfilter"", ""3"": ""PctChangeTransformer"", ""4"": ""QuantileTransformer""}, ""transformation_params"": {""0"": {""rows"": 84, ""lag"": 28, ""method"": ""additive"", ""strength"": 1.0, ""first_value_only"": false, ""threshold"": 10, ""threshold_method"": ""mean"", ""mean_type"": ""geometric""}, ""1"": {""discretization"": ""upper"", ""n_bins"": 5}, ""2"": {}, ""3"": {}, ""4"": {""output_distribution"": ""uniform"", ""n_quantiles"": 27}}}",0,1,175.66470330391712,15981.582347255744,40209.49912928324,1940.562197563199,15981.582347255744,0.0,-0.8651281309088388,6.478544968005249,1917789.016542558,15981.581130757175,3.099534209402063e+20,1.0,0.475,208055.5646694283,0.041666666666666664,37292.267973347414,2472.851763731778,136145.60108372784,12250612520.665104,8.332534101217487,1917788.1514144274,137386.78157732263,19224.335430558232,2447.6667920674186,175.66470330391712,15981.582347255744,40209.49912928324,1940.562197563199,15981.582347255744,0.0,6.478544968005249,15981.581130757175,3.099534209402063e+20,208055.5646694283,0.041666666666666664,37292.267973347414,2472.851763731778,136145.60108372784,12250612520.665104,8.332534101217487,1917788.1514144274,137386.78157732263,19224.335430558232,2447.6667920674186,1.0,0.475,0.1752,5.02112055376676e+21,227007.8728602697,Wh,227007.8728602697,Wh
9,925d9bfd4f2433d85adc5945d73a4f2f,GLM,"{""family"": ""Gaussian"", ""constant"": false, ""regression_type"": ""anchored_warped_fourier:us_school"", ""changepoint_spacing"": 30}","{""fillna"": ""ffill"", ""transformations"": {""0"": ""Slice"", ""1"": ""SinTrend"", ""2"": ""cffilter"", ""3"": ""PctChangeTransformer"", ""4"": ""AlignLastValue""}, ""transformation_params"": {""0"": {""method"": 100}, ""1"": {}, ""2"": {}, ""3"": {}, ""4"": {""rows"": 168, ""lag"": 1, ""method"": ""additive"", ""strength"": 1.0, ""first_value_only"": false, ""threshold"": 1, ""threshold_method"": ""mean"", ""mean_type"": ""arithmetic""}}}",0,1,148.19695268258818,11.172339819462419,15.10913337471177,1.0149648842258419,11.172339819462419,0.0,-403.0769659260407,4.493004658242012,937.6038124094495,8.917925679194152,7958301310854726.0,1.0,0.49166666666666664,41.99220828876972,0.6,13.141272806614985,7.355574983214892,34.061381944878654,206.68739893141407,0.6206434204597956,534.5268464834088,479.5480662078806,25.869731027098595,0.682214878969304,148.19695268258818,11.172339819462419,15.10913337471177,1.0149648842258419,11.172339819462419,0.0,4.493004658242012,8.917925679194152,7958301310854726.0,41.99220828876972,0.6,13.141272806614985,7.355574983214892,34.061381944878654,206.68739893141407,0.6206434204597956,534.5268464834088,479.5480662078806,25.869731027098595,0.682214878969304,1.0,0.49166666666666664,0.5477,1.2892127521544714e+17,158.6957437743175,Wh,158.6957437743175,Wh
10,e88746bed59589a4265081917a5a77b3,ETS,"{""damped_trend"": false, ""trend"": ""additive"", ""seasonal"": null, ""seasonal_periods"": null, ""method"": null}","{""fillna"": ""median"", ""transformations"": {""0"": ""ClipOutliers"", ""1"": ""RegressionFilter"", ""2"": ""PctChangeTransformer"", ""3"": ""BKBandpassFilter""}, ""transformation_params"": {""0"": {""method"": ""clip"", ""std_threshold"": 4.5, ""fillna"": null}, ""1"": {""sigma"": 1, ""rolling_window"": 90, ""run_order"": ""season_first"", ""regression_params"": {""regression_model"": {""model"": ""DecisionTree"", ""model_params"": {""max_depth"": 3, ""min_samples_split"": 2}}, ""datepart_method"": ""simple_binarized"", ""polynomial_degree"": null, ""transform_dict"": null, ""holiday_countries_used"": false, ""lags"": null, ""forward_lags"": null}, ""holiday_params"": null, ""trend_method"": ""rolling_mean""}, ""2"": {}, ""3"": {""low"": 6, ""high"": 90, ""K"": 3, ""lanczos_factor"": true, ""return_diff"": false, ""on_transform"": true, ""on_inverse"": false}}}",0,1,157.31224973996314,8109424.90224809,31806694.33642008,1601330.188052643,8109424.90224809,0.0,0.0,7.888328563938894,973130988.2697709,8109424.90224809,22788344330.501953,1.0,0.49166666666666664,223399293.25273108,0.016666666666666666,29499095.186585464,119208.24540162788,76056697.33912449,1.3390957103226188e+16,12.996188194090347,973130988.2697709,31155318.06408297,6975390.113387107,1242003.921320998,157.31224973996314,8109424.90224809,31806694.33642008,1601330.188052643,8109424.90224809,0.0,7.888328563938894,8109424.90224809,22788344330.501953,223399293.25273108,0.016666666666666666,29499095.186585464,119208.24540162788,76056697.33912449,1.3390957103226188e+16,12.996188194090347,973130988.2697709,31155318.06408297,6975390.113387107,1242003.921320998,1.0,0.49166666666666664,0.1972,369299643234.63416,115189050.56954812,Wh,115189050.56954812,Wh
11,d627988749f73bfbf480ec957d02648f,GLM,"{""family"": ""Gaussian"", ""constant"": false, ""regression_type"": null, ""changepoint_spacing"": 30}","{""fillna"": ""cubic"", ""transformations"": {""0"": ""SeasonalDifference"", ""1"": ""AnomalyRemoval"", ""2"": ""MinMaxScaler"", ""3"": ""PctChangeTransformer""}, ""transformation_params"": {""0"": {""lag_1"": 12, ""method"": 2}, ""1"": {""method"": ""rolling_zscore"", ""method_params"": {""distribution"": ""uniform"", ""alpha"": 0.01, ""rolling_periods"": 28, ""center"": false}, ""fillna"": ""ffill"", ""transform_dict"": {""fillna"": null, ""transformations"": {""0"": ""EWMAFilter""}, ""transformation_params"": {""0"": {""span"": 7}}}, ""isolated_only"": true, ""on_inverse"": false}, ""2"": {}, ""3"": {}}}",0,1,128.112455074461,4.507869465548268,4.934655936900752,0.5627751191296596,4.507869465548268,0.0,-537.6050024092722,4.502834343255335,3.3393334565199293,1.5995985207344634,238797439.10255808,1.0,0.5416666666666666,6.860050201416016,0.975,2.284737210709727,4.157054617772498,21.03079448931974,30.868116146438705,0.49857130408833145,534.2656689527523,180.6149570255106,2.466407898206816,0.6818815389347697,128.112455074461,4.507869465548268,4.934655936900752,0.5627751191296596,4.507869465548268,0.0,4.502834343255335,1.5995985207344634,238797439.10255808,6.860050201416016,0.975,2.284737210709727,4.157054617772498,21.03079448931974,30.868116146438705,0.49857130408833145,534.2656689527523,180.6149570255106,2.466407898206816,0.6818815389347697,1.0,0.5416666666666666,0.2121,3868422439.6360846,64.03132282339936,Wh,64.03132282339936,Wh
12,5f01e101ef81f4122e2840d2b0589135,FBProphet,"{""holiday"": true, ""regression_type"": null, ""growth"": ""linear"", ""seasonality_mode"": ""additive"", ""changepoint_prior_scale"": 0.05, ""n_changepoints"": 20, ""changepoint_range"": 180, ""changepoint_spacing"": null, ""changepoint_distance_end"": null, ""seasonality_prior_scale"": 10.0, ""yearly_seasonality_prior_scale"": 1.0, ""yearly_seasonality_order"": 12, ""weekly_seasonality_prior_scale"": 0.0001, ""holidays_prior_scale"": 25, ""trend_phi"": null}","{""fillna"": ""ffill"", ""transformations"": {""0"": ""AlignLastValue"", ""1"": ""Discretize"", ""2"": ""ShiftFirstValue"", ""3"": ""Log""}, ""transformation_params"": {""0"": {""rows"": 1, ""lag"": 1, ""method"": ""additive"", ""strength"": 1.0, ""first_value_only"": false, ""threshold"": 1, ""threshold_method"": ""max"", ""mean_type"": ""arithmetic""}, ""1"": {""discretization"": ""center"", ""n_bins"": 10}, ""2"": {""rows"": 28}, ""3"": {}}}",0,1,190.86553729616432,1114347.9687709247,3926709.511229071,222586.5965484622,1114347.9687709247,0.0,0.0,10.30476306550376,133721756.25251096,1114347.9687709247,730205.878385851,0.016666666666666666,0.5083333333333333,24542791.81615511,0.016666666666666666,3641576.915643474,129457.03076929085,9556480.274480285,164380480008563.12,11.25455025790301,133721756.25251096,11192815.718163334,2888060.087785555,170668.64341340642,190.86553729616432,1114347.9687709247,3926709.511229071,222586.5965484622,1114347.9687709247,0.0,10.30476306550376,1114347.9687709247,730205.878385851,24542791.81615511,0.016666666666666666,3641576.915643474,129457.03076929085,9556480.274480285,164380480008563.12,11.25455025790301,133721756.25251096,11192815.718163334,2888060.087785555,170668.64341340642,0.016666666666666666,0.5083333333333333,0.6637,29359961.97198255,15828580.457196565,Wh,15828580.457196565,Wh
13,c37e506c67edfa081460ba5066f5ac19,FFT,"{""n_harmonics"": 10, ""detrend"": ""linear""}","{""fillna"": ""rolling_mean_24"", ""transformations"": {""0"": ""Log"", ""1"": ""Round"", ""2"": ""bkfilter"", ""3"": ""AlignLastValue"", ""4"": ""DifferencedTransformer""}, ""transformation_params"": {""0"": {}, ""1"": {""decimals"": 1, ""on_transform"": false, ""on_inverse"": true}, ""2"": {}, ""3"": {""rows"": 168, ""lag"": 7, ""method"": ""additive"", ""strength"": 1.0, ""first_value_only"": false, ""threshold"": null, ""threshold_method"": ""mean"", ""mean_type"": ""arithmetic""}, ""4"": {""lag"": 7, ""fill"": ""bfill""}}}",0,1,174.07738982152128,5.747310201714478,6.039574129900999,0.5104972134236626,5.747310201714478,0.0,-672.3695966946785,5.688905352355567,17.307627511058616,1.9005999719918922,1536849.6119230432,1.0,0.5,8.284219655976774,0.8833333333333333,2.644891706551062,5.417451420379803,23.64918653339723,41.56922555663013,0.07732863757261213,655.0619691836199,251.4295501319448,21.32733658383293,0.836053464786765,174.07738982152128,5.747310201714478,6.039574129900999,0.5104972134236626,5.747310201714478,0.0,5.688905352355567,1.9005999719918922,1536849.6119230432,8.284219655976774,0.8833333333333333,2.644891706551062,5.417451420379803,23.64918653339723,41.56922555663013,0.07732863757261213,655.0619691836199,251.4295501319448,21.32733658383293,0.836053464786765,1.0,0.5,0.2025,24896512.403203014,81.63676382040876,Wh,81.63676382040876,Wh
14,46bdb55d85b57c581b2072f127a6d2c9,AverageValueNaive,"{""method"": ""Mean"", ""window"": null}","{""fillna"": ""nearest"", ""transformations"": {""0"": ""bkfilter"", ""1"": ""ConvolutionFilter"", ""2"": ""Log"", ""3"": ""MeanDifference"", ""4"": ""QuantileTransformer""}, ""transformation_params"": {""0"": {}, ""1"": {""weight"": 0.75}, ""2"": {}, ""3"": {}, ""4"": {""output_distribution"": ""normal"", ""n_quantiles"": 27}}}",0,1,39.60863015290968,2.015566903033715,2.253255665360515,0.47325353462965786,2.015566903033715,0.0,-229.11420906600102,1.9831373329314774,12.75381929804477,1.0707203353078403,869315.5128246305,1.0,0.5,4.017449747887455,0.975,1.6762372360284163,1.7330809953858446,10.01321452587845,8.21341108228794,0.0016533944926965087,216.36038976795626,61.20292754095784,27.829037806787667,0.27614006310509837,39.60863015290968,2.015566903033715,2.253255665360515,0.47325353462965786,2.015566903033715,0.0,1.9831373329314774,1.0707203353078403,869315.5128246305,4.017449747887455,0.975,1.6762372360284163,1.7330809953858446,10.01321452587845,8.21341108228794,0.0016533944926965087,216.36038976795626,61.20292754095784,27.829037806787667,0.27614006310509837,1.0,0.5,0.1052,14082605.276971245,28.629803064764275,Wh,28.629803064764275,Wh
15,e067d3872f2d4cfb610fbcf1821ce675,GLM,"{""family"": ""Gaussian"", ""constant"": false, ""regression_type"": [""weekdayofmonth"", ""common_fourier""], ""changepoint_spacing"": null}","{""fillna"": ""rolling_mean_24"", ""transformations"": {""0"": ""MaxAbsScaler"", ""1"": ""SeasonalDifference"", ""2"": ""AlignLastValue""}, ""transformation_params"": {""0"": {}, ""1"": {""lag_1"": 7, ""method"": 2}, ""2"": {""rows"": 4, ""lag"": 1, ""method"": ""additive"", ""strength"": 1.0, ""first_value_only"": false, ""threshold"": 10, ""threshold_method"": ""mean"", ""mean_type"": ""arithmetic""}}}",0,1,197.17060028178602,517157.9360301981,1140046.8050663313,46107.37027173079,517157.9360301981,0.0,-583.6120630618527,8.543001947094199,62058368.71156072,517154.56090250413,378113.8314595184,0.008333333333333333,0.525,3216154.582865718,0.725,1057335.567908385,121369.05228980718,3465123.9283665875,1117958503196.4219,9.255494186151097,62057785.09949765,9839468.524791097,996096.5814944177,79204.14966860034,197.17060028178602,517157.9360301981,1140046.8050663313,46107.37027173079,517157.9360301981,0.0,8.543001947094199,517154.56090250413,378113.8314595184,3216154.582865718,0.725,1057335.567908385,121369.05228980718,3465123.9283665875,1117958503196.4219,9.255494186151097,62057785.09949765,9839468.524791097,996096.5814944177,79204.14966860034,0.008333333333333333,0.525,0.2157,12090463.409662217,7345888.56348018,Wh,7345888.56348018,Wh
16,98f64eb0b0861a07a7f466e4700ecac9,UnobservedComponents,"{""level"": ""local level"", ""maxiter"": 100, ""cov_type"": ""opg"", ""method"": ""bfgs"", ""autoregressive"": null, ""regression_type"": ""Holiday""}","{""fillna"": ""akima"", ""transformations"": {""0"": ""EWMAFilter"", ""1"": ""StandardScaler"", ""2"": ""MaxAbsScaler"", ""3"": ""AlignLastValue"", ""4"": ""StandardScaler"", ""5"": ""PctChangeTransformer""}, ""transformation_params"": {""0"": {""span"": 10}, ""1"": {}, ""2"": {}, ""3"": {""rows"": 1, ""lag"": 1, ""method"": ""additive"", ""strength"": 0.2, ""first_value_only"": false, ""threshold"": 1, ""threshold_method"": ""max"", ""mean_type"": ""arithmetic""}, ""4"": {}, ""5"": {}}}",0,1,195.89249956773742,6.396332672273582,6.478987604678331,0.5095408238638675,6.396332672273582,0.0,-767.5599206728298,6.396332672273582,0.0,1.987521561031349,280678.2322518956,0.0,0.5083333333333333,8.351420402526855,0.9833333333333333,2.7169414057259753,6.155575503362704,24.421424721066607,47.71813582861723,0.04775879593582566,767.5599206728298,339.3644827460557,24.58750227268231,0.9796342350781374,195.89249956773742,6.396332672273582,6.478987604678331,0.5095408238638675,6.396332672273582,0.0,6.396332672273582,1.987521561031349,280678.2322518956,8.351420402526855,0.9833333333333333,2.7169414057259753,6.155575503362704,24.421424721066607,47.71813582861723,0.04775879593582566,767.5599206728298,339.3644827460557,24.58750227268231,0.9796342350781374,0.0,0.5083333333333333,0.1796,4547062.149823696,90.85570142488434,Wh,90.85570142488434,Wh
