rank,ID,Model,ModelParameters,TransformationParameters,Ensemble,Runs,smape,mae,rmse,made,mage,custom,underestimate,mle,overestimate,imle,spl,containment,contour,maxe,oda,dwae,mqae,ewmae,uwmse,smoothness,mate,wasserstein,dwd,matse,smape_weighted,mae_weighted,rmse_weighted,made_weighted,mage_weighted,custom_weighted,mle_weighted,imle_weighted,spl_weighted,maxe_weighted,oda_weighted,dwae_weighted,mqae_weighted,ewmae_weighted,uwmse_weighted,smoothness_weighted,mate_weighted,wasserstein_weighted,dwd_weighted,matse_weighted,containment_weighted,contour_weighted,TotalRuntimeSeconds,Score,lowest_series_mape,lowest_series_mape_name,highest_series_mape,highest_series_mape_name
0,12ddc023b370fbc50dbc5a82b47f9174,MultivariateRegression,"{""regression_model"": {""model"": ""RANSAC"", ""model_params"": {}}, ""mean_rolling_periods"": null, ""macd_periods"": null, ""std_rolling_periods"": 7, ""max_rolling_periods"": 96, ""min_rolling_periods"": 96, ""quantile90_rolling_periods"": null, ""quantile10_rolling_periods"": null, ""ewm_alpha"": null, ""ewm_var_alpha"": null, ""additional_lag_periods"": null, ""abs_energy"": false, ""rolling_autocorr_periods"": null, ""nonzero_last_n"": null, ""datepart_method"": ""common_fourier"", ""polynomial_degree"": null, ""regression_type"": null, ""window"": null, ""holiday"": false, ""probabilistic"": false, ""scale_full_X"": true, ""cointegration"": null, ""cointegration_lag"": 1, ""series_hash"": false, ""frac_slice"": 0.7, ""discard_data"": null, ""transformation_dict"": null, ""synthetic_boundary_ratio"": 0.02, ""rolling_skew_periods"": 30, ""diff_periods"": null, ""rolling_range_periods"": 14}","{""fillna"": ""ffill"", ""transformations"": {""0"": ""Detrend"", ""1"": ""DatepartRegression"", ""2"": ""Detrend"", ""3"": ""DatepartRegression"", ""4"": ""MinMaxScaler""}, ""transformation_params"": {""0"": {""model"": ""GLS"", ""phi"": 1, ""window"": 30, ""transform_dict"": {""fillna"": null, ""transformations"": {""0"": ""Discretize""}, ""transformation_params"": {""0"": {""discretization"": ""center"", ""n_bins"": 20}}}}, ""1"": {""regression_model"": {""model"": ""ElasticNet"", ""model_params"": {""l1_ratio"": 0.5, ""fit_intercept"": true, ""selection"": ""cyclic"", ""max_iter"": 1000}}, ""datepart_method"": ""simple"", ""polynomial_degree"": 2, ""transform_dict"": {""fillna"": null, ""transformations"": {""0"": ""ClipOutliers""}, ""transformation_params"": {""0"": {""method"": ""clip"", ""std_threshold"": 4}}}, ""holiday_countries_used"": false, ""lags"": null, ""forward_lags"": null}, ""2"": {""model"": ""GLS"", ""phi"": 1, ""window"": null, ""transform_dict"": null}, ""3"": {""regression_model"": {""model"": ""ElasticNet"", ""model_params"": {""l1_ratio"": 0.9, ""fit_intercept"": true, ""selection"": ""cyclic"", ""max_iter"": 2000}}, ""datepart_method"": ""common_fourier_rw_lag"", ""polynomial_degree"": null, ""transform_dict"": {""fillna"": null, ""transformations"": {""0"": ""EWMAFilter""}, ""transformation_params"": {""0"": {""span"": 7}}}, ""holiday_countries_used"": false, ""lags"": null, ""forward_lags"": null}, ""4"": {}}}",0,1,198.3527881993917,4.7222949098762265e+63,3.369659718424669e+64,7.723136197596903e+63,4.7222949098762265e+63,0.0,0.0,76.80032560662274,2.833376945925736e+65,4.7222949098762265e+63,7.150168360707343e+63,0.0,0.43333333333333335,2.6013614933674393e+65,0.05,4.4973652997508845e+64,9.197020850139364e+53,4.706228978093507e+64,1.8095164753908981e+130,146.4610942518481,2.833376945925736e+65,9.162225805203958e+63,8.411962777302757e+63,8.415777304742675e+62,198.3527881993917,4.7222949098762265e+63,3.369659718424669e+64,7.723136197596903e+63,4.7222949098762265e+63,0.0,76.80032560662274,4.7222949098762265e+63,7.150168360707343e+63,2.6013614933674393e+65,0.05,4.4973652997508845e+64,9.197020850139364e+53,4.706228978093507e+64,1.8095164753908981e+130,146.4610942518481,2.833376945925736e+65,9.162225805203958e+63,8.411962777302757e+63,8.415777304742675e+62,0.0,0.43333333333333335,0.6706,3.0535303194023302e+65,7.00211102869932e+64,Wh,7.00211102869932e+64,Wh
1,9b0bdeb711c78ddb2cedc7134b0a7d3d,MultivariateRegression,"{""regression_model"": {""model"": ""RANSAC"", ""model_params"": {}}, ""mean_rolling_periods"": 7, ""macd_periods"": 96, ""std_rolling_periods"": 5, ""max_rolling_periods"": 24, ""min_rolling_periods"": 96, ""quantile90_rolling_periods"": 10, ""quantile10_rolling_periods"": 90, ""ewm_alpha"": null, ""ewm_var_alpha"": null, ""additional_lag_periods"": null, ""abs_energy"": false, ""rolling_autocorr_periods"": null, ""nonzero_last_n"": null, ""datepart_method"": ""recurring"", ""polynomial_degree"": null, ""regression_type"": null, ""window"": 3, ""holiday"": false, ""probabilistic"": false, ""scale_full_X"": false, ""cointegration"": null, ""cointegration_lag"": 1, ""series_hash"": true, ""frac_slice"": 0.1, ""discard_data"": null, ""transformation_dict"": null, ""synthetic_boundary_ratio"": 0.0, ""rolling_skew_periods"": null, ""diff_periods"": 7, ""rolling_range_periods"": null}","{""fillna"": ""ffill_mean_biased"", ""transformations"": {""0"": ""DatepartRegression"", ""1"": ""Detrend""}, ""transformation_params"": {""0"": {""regression_model"": {""model"": ""ElasticNet"", ""model_params"": {""l1_ratio"": 0.1, ""fit_intercept"": true, ""selection"": ""cyclic""}}, ""datepart_method"": ""expanded"", ""polynomial_degree"": null, ""transform_dict"": null, ""holiday_countries_used"": false}, ""1"": {""model"": ""GLS"", ""phi"": 1, ""window"": null, ""transform_dict"": {""fillna"": null, ""transformations"": {""0"": ""AnomalyRemoval""}, ""transformation_params"": {""0"": {""method"": ""zscore"", ""transform_dict"": {""transformations"": {""0"": ""DatepartRegression""}, ""transformation_params"": {""0"": {""datepart_method"": ""simple_3"", ""regression_model"": {""model"": ""ElasticNet"", ""model_params"": {}}}}}, ""method_params"": {""distribution"": ""uniform"", ""alpha"": 0.05}}}}}}}",0,1,190.58607851333133,6.6563359381708904e+16,2.964861077069634e+17,5.892885772587938e+16,6.6563359381708904e+16,0.0,0.0,21.82062555609455,3.993801562902534e+18,6.6563359381708904e+16,1.0078557890107757e+17,0.0,0.43333333333333335,1.9848835682054866e+18,0.05,3.957094911894765e+17,161435054080842.03,6.408095345627955e+17,1.09232137256317e+36,37.355371193233744,3.993801562902534e+18,2.3857828651147475e+17,1.1857126929538533e+17,1.186250371700523e+16,190.58607851333133,6.6563359381708904e+16,2.964861077069634e+17,5.892885772587938e+16,6.6563359381708904e+16,0.0,21.82062555609455,6.6563359381708904e+16,1.0078557890107757e+17,1.9848835682054866e+18,0.05,3.957094911894765e+17,161435054080842.03,6.408095345627955e+17,1.09232137256317e+36,37.355371193233744,3.993801562902534e+18,2.3857828651147475e+17,1.1857126929538533e+17,1.186250371700523e+16,0.0,0.43333333333333335,0.7967,3.6369983745994813e+18,9.869862889316172e+17,Wh,9.869862889316172e+17,Wh
2,dfe5bb1e21a52346d4f3dd9641904ac8,ARDL,"{""lags"": 2, ""trend"": ""c"", ""order"": 3, ""causal"": false, ""regression_type"": ""common_fourier_rw""}","{""fillna"": ""linear"", ""transformations"": {""0"": ""MinMaxScaler"", ""1"": ""Detrend"", ""2"": ""Scaler"", ""3"": ""MinMaxScaler""}, ""transformation_params"": {""0"": {}, ""1"": {""model"": ""Linear"", ""phi"": 1, ""window"": null, ""transform_dict"": {""fillna"": null, ""transformations"": {""0"": ""ClipOutliers""}, ""transformation_params"": {""0"": {""method"": ""clip"", ""std_threshold"": 4}}}}, ""2"": {}, ""3"": {}}}",0,1,183.23777013879553,50748.11968216973,87142.20370671661,7504.743411643092,50748.11968216973,0.0,-3.1564952627157394,8.523563665918935,3044884.024434921,50748.098643416,90398.1319830756,0.0,0.4666666666666667,252776.89576349952,0.08333333333333333,116243.86766784269,25109.170545717057,374101.4791435211,28703008760.867027,5.553217516998892,3044880.867939658,892949.9175814029,90377.22548545183,9043.992307800543,183.23777013879553,50748.11968216973,87142.20370671661,7504.743411643092,50748.11968216973,0.0,8.523563665918935,50748.098643416,90398.1319830756,252776.89576349952,0.08333333333333333,116243.86766784269,25109.170545717057,374101.4791435211,28703008760.867027,5.553217516998892,3044880.867939658,892949.9175814029,90377.22548545183,9043.992307800543,0.0,0.4666666666666667,0.069,2567565.1492226142,752481.5270835921,Wh,752481.5270835921,Wh
3,b3b77a1afcd4e9f1d19f0d25ac98916f,ARDL,"{""lags"": 1, ""trend"": ""c"", ""order"": 1, ""causal"": false, ""regression_type"": ""common_fourier_rw""}","{""fillna"": ""akima"", ""transformations"": {}, ""transformation_params"": {}}",0,1,183.66439966807857,22991.18852001491,38307.983271663805,3194.120676643347,22991.18852001491,0.0,0.0,8.014218014295844,1379471.3112008946,22991.18852001491,40953.35713550648,0.016666666666666666,0.43333333333333335,107586.63735561422,0.05,51087.76403019335,12047.116473145925,166537.28726811038,5363261342.935453,4.627344074537142,1379471.3112008946,427690.45264541,40926.99235628849,4097.345173236401,183.66439966807857,22991.18852001491,38307.983271663805,3194.120676643347,22991.18852001491,0.0,8.014218014295844,22991.18852001491,40953.35713550648,107586.63735561422,0.05,51087.76403019335,12047.116473145925,166537.28726811038,5363261342.935453,4.627344074537142,1379471.3112008946,427690.45264541,40926.99235628849,4097.345173236401,0.016666666666666666,0.43333333333333335,0.0402,1159541.3340303188,340908.09187332424,Wh,340908.09187332424,Wh
4,c2c736f43fbb0202d8689b700e71cef9,ARDL,"{""lags"": 1, ""trend"": ""c"", ""order"": 1, ""causal"": false, ""regression_type"": ""common_fourier_rw""}","{""fillna"": ""quadratic"", ""transformations"": {""0"": ""DatepartRegression"", ""1"": ""Detrend""}, ""transformation_params"": {""0"": {""regression_model"": {""model"": ""ElasticNet"", ""model_params"": {""l1_ratio"": 0.1, ""fit_intercept"": true, ""selection"": ""cyclic""}}, ""datepart_method"": ""expanded"", ""polynomial_degree"": null, ""transform_dict"": null, ""holiday_countries_used"": false}, ""1"": {""model"": ""GLS"", ""phi"": 1, ""window"": null, ""transform_dict"": {""fillna"": null, ""transformations"": {""0"": ""AnomalyRemoval""}, ""transformation_params"": {""0"": {""method"": ""zscore"", ""transform_dict"": {""transformations"": {""0"": ""DatepartRegression""}, ""transformation_params"": {""0"": {""datepart_method"": ""simple_3"", ""regression_model"": {""model"": ""ElasticNet"", ""model_params"": {}}}}}, ""method_params"": {""distribution"": ""uniform"", ""alpha"": 0.05}}}}}}}",0,1,183.66440196752754,22991.111960702805,38307.841022281485,3194.106752737077,22991.111960702805,0.0,0.0,8.014216432190594,1379466.7176421683,22991.111960702805,40953.220758143965,0.016666666666666666,0.43333333333333335,107586.16836073076,0.05,51087.57415739149,12047.085358455777,166536.69568928497,5363217960.653489,4.627337634551413,1379466.7176421683,427689.30477956735,40926.85597893469,4097.33152931679,183.66440196752754,22991.111960702805,38307.841022281485,3194.106752737077,22991.111960702805,0.0,8.014216432190594,22991.111960702805,40953.220758143965,107586.16836073076,0.05,51087.57415739149,12047.085358455777,166536.69568928497,5363217960.653489,4.627337634551413,1379466.7176421683,427689.30477956735,40926.85597893469,4097.33152931679,0.016666666666666666,0.43333333333333335,0.1017,1159537.4259046735,340906.9566693315,Wh,340906.9566693315,Wh
5,7ea3170294639805e3b409896cd25718,Theta,"{""deseasonalize"": true, ""difference"": true, ""use_test"": true, ""method"": ""auto"", ""period"": null, ""theta"": 3.0, ""use_mle"": false}","{""fillna"": ""ffill"", ""transformations"": {""0"": ""DifferencedTransformer"", ""1"": ""DifferencedTransformer"", ""2"": ""DifferencedTransformer"", ""3"": ""MinMaxScaler"", ""4"": ""DatepartRegression"", ""5"": ""Scaler""}, ""transformation_params"": {""0"": {""lag"": 1, ""fill"": ""bfill""}, ""1"": {""lag"": 1, ""fill"": ""zero""}, ""2"": {""lag"": 1, ""fill"": ""zero""}, ""3"": {}, ""4"": {""regression_model"": {""model"": ""DecisionTree"", ""model_params"": {""max_depth"": 9, ""min_samples_split"": 1.0}}, ""datepart_method"": [168, ""daysinmonth"", ""isoweek_binary""], ""polynomial_degree"": null, ""transform_dict"": null, ""holiday_countries_used"": true, ""lags"": null, ""forward_lags"": null}, ""5"": {}}}",0,1,186.72203181689963,2441.783236093285,3660.940658852108,269.3142215222965,2441.783236093285,0.0,-69.17319737045513,6.843099009443076,146437.82096822665,2441.0300016828755,45452.23657326314,1.0,0.45,9054.617701387193,0.2833333333333333,4872.012883022198,1536.6584393163157,16529.364636925762,43346811.007752135,2.0469763314618343,146368.64777085616,54366.30653622724,4340.240633989193,434.7483471294299,186.72203181689963,2441.783236093285,3660.940658852108,269.3142215222965,2441.783236093285,0.0,6.843099009443076,2441.0300016828755,45452.23657326314,9054.617701387193,0.2833333333333333,4872.012883022198,1536.6584393163157,16529.364636925762,43346811.007752135,2.0469763314618343,146368.64777085616,54366.30653622724,4340.240633989193,434.7483471294299,1.0,0.45,0.6361,1019154.1252203344,36206.20408815179,Wh,36206.20408815179,Wh
6,10ce7cb1e3761e18070074ca6b7f5ebf,ARDL,"{""lags"": 4, ""trend"": ""c"", ""order"": 1, ""causal"": false, ""regression_type"": ""lunar_phase""}","{""fillna"": ""zero"", ""transformations"": {""0"": ""MinMaxScaler"", ""1"": ""Scaler"", ""2"": ""Scaler""}, ""transformation_params"": {""0"": {}, ""1"": {}, ""2"": {}}}",0,1,199.662790164425,6783.440868144534,6807.8324205215995,212.81938753597572,6783.440868144534,0.0,0.0,8.816500076449866,407006.452088672,6783.440868144534,12081.729007350139,0.0,0.5166666666666667,6924.758742921532,0.05,8848.22114258918,6758.5556683338245,27100.244682774162,101652811.06692345,4.3804023300690815,407006.452088672,361552.0527209829,12431.679866442366,1208.9022137690044,199.662790164425,6783.440868144534,6807.8324205215995,212.81938753597572,6783.440868144534,0.0,8.816500076449866,6783.440868144534,12081.729007350139,6924.758742921532,0.05,8848.22114258918,6758.5556683338245,27100.244682774162,101652811.06692345,4.3804023300690815,407006.452088672,361552.0527209829,12431.679866442366,1208.9022137690044,0.0,0.5166666666666667,0.056,332001.16380192555,100583.31176230898,Wh,100583.31176230898,Wh
7,b06c0f481878097af100ce0be02bac63,ConstantNaive,"{""constant"": 1}","{""fillna"": ""akima"", ""transformations"": {""0"": ""MinMaxScaler"", ""1"": ""DifferencedTransformer"", ""2"": ""DatepartRegression"", ""3"": ""DifferencedTransformer""}, ""transformation_params"": {""0"": {}, ""1"": {""lag"": 1, ""fill"": ""bfill""}, ""2"": {""regression_model"": {""model"": ""ElasticNet"", ""model_params"": {""l1_ratio"": 0.9, ""fit_intercept"": true, ""selection"": ""cyclic"", ""max_iter"": 200}}, ""datepart_method"": ""simple_2"", ""polynomial_degree"": null, ""transform_dict"": {""fillna"": null, ""transformations"": {""0"": ""EWMAFilter""}, ""transformation_params"": {""0"": {""span"": 7}}}, ""holiday_countries_used"": true, ""lags"": null, ""forward_lags"": null}, ""3"": {""lag"": 7, ""fill"": ""bfill""}}}",0,1,195.02758582991672,6709.945302176316,8930.860534896634,578.6488299580923,6709.945302176316,0.0,0.0,8.029181184397766,402596.7181305789,6709.945302176316,11952.62286597092,0.0,0.43333333333333335,19490.460169580838,0.05,11832.007887027434,4888.354565604294,41403.66562421254,232304480.43611845,2.4563146360077006,402596.7181305789,188165.2318043403,11924.735078743546,1195.804295746541,195.02758582991672,6709.945302176316,8930.860534896634,578.6488299580923,6709.945302176316,0.0,8.029181184397766,6709.945302176316,11952.62286597092,19490.460169580838,0.05,11832.007887027434,4888.354565604294,41403.66562421254,232304480.43611845,2.4563146360077006,402596.7181305789,188165.2318043403,11924.735078743546,1195.804295746541,0.0,0.43333333333333335,0.3881,331894.9770406375,99493.53629752327,Wh,99493.53629752327,Wh
8,72b8c758d34b5b1ebfbcf57ed4490674,BasicLinearModel,"{""datepart_method"": [""dayofweek"", [365.25, 14]], ""changepoint_spacing"": 90, ""changepoint_distance_end"": 360, ""regression_type"": null, ""lambda_"": null, ""trend_phi"": 0.98, ""holiday_countries_used"": true}","{""fillna"": ""piecewise_polynomial"", ""transformations"": {}, ""transformation_params"": {}}",0,1,190.5954611493875,4981.202458503057,7206.399709319072,838.159593607387,4981.202458503057,0.0,-48.76289939880371,7.17795831687017,298823.3846107846,4980.684402134245,8871.086622866034,0.0,0.4166666666666667,14112.212746122277,0.21666666666666667,9130.616604753975,3464.229366500316,19247.1880810326,92508364.60879762,4.424258579188397,298774.6217113858,235844.88679909232,21183.88348605472,887.4289332548492,190.5954611493875,4981.202458503057,7206.399709319072,838.159593607387,4981.202458503057,0.0,7.17795831687017,4980.684402134245,8871.086622866034,14112.212746122277,0.21666666666666667,9130.616604753975,3464.229366500316,19247.1880810326,92508364.60879762,4.424258579188397,298774.6217113858,235844.88679909232,21183.88348605472,887.4289332548492,0.0,0.4166666666666667,0.2296,251274.1566261733,73860.13228001173,Wh,73860.13228001173,Wh
9,a0a64e05bc6630bc70906a10f0601ea7,BasicLinearModel,"{""datepart_method"": [""is_quarter_end"", ""is_quarter_end"", ""isoday""], ""changepoint_spacing"": 180, ""changepoint_distance_end"": 5040, ""regression_type"": null, ""lambda_"": 0.01, ""trend_phi"": null, ""holiday_countries_used"": false}","{""fillna"": ""seasonal_linear"", ""transformations"": {""0"": ""Detrend"", ""1"": ""DifferencedTransformer"", ""2"": ""DifferencedTransformer"", ""3"": ""DatepartRegression"", ""4"": ""DifferencedTransformer""}, ""transformation_params"": {""0"": {""model"": ""GLS"", ""phi"": 1, ""window"": 30, ""transform_dict"": {""fillna"": ""ffill"", ""transformations"": {""0"": ""AlignLastValue"", ""1"": ""bkfilter""}, ""transformation_params"": {""0"": {""rows"": 7, ""lag"": 2, ""method"": ""additive"", ""strength"": 1.0, ""first_value_only"": false, ""threshold"": 1, ""threshold_method"": ""max"", ""mean_type"": ""arithmetic""}, ""1"": {}}}}, ""1"": {""lag"": 1, ""fill"": ""bfill""}, ""2"": {""lag"": 1, ""fill"": ""zero""}, ""3"": {""regression_model"": {""model"": ""ElasticNet"", ""model_params"": {""l1_ratio"": 0.5, ""fit_intercept"": true, ""selection"": ""cyclic"", ""max_iter"": 1000}}, ""datepart_method"": ""simple_2"", ""polynomial_degree"": 2, ""transform_dict"": {""fillna"": null, ""transformations"": {""0"": ""EWMAFilter""}, ""transformation_params"": {""0"": {""span"": 2}}}, ""holiday_countries_used"": false, ""lags"": 2, ""forward_lags"": null}, ""4"": {""lag"": 1, ""fill"": ""bfill""}}}",0,1,194.41912621279238,5.451961972461277,5.550025630894939,1.0061026056069846,5.451961972461277,0.0,-327.1177183476766,5.451961972461277,0.0,1.844182157162845,10149.352974141262,1.0,0.5666666666666667,6.628880023956299,0.95,3.752839704395164,5.263321327398961,20.824932089657956,60.076662954681176,0.10496103866451603,327.1177183476766,300.7284032142926,17.013264505516556,0.9716144101504732,194.41912621279238,5.451961972461277,5.550025630894939,1.0061026056069846,5.451961972461277,0.0,5.451961972461277,1.844182157162845,10149.352974141262,6.628880023956299,0.95,3.752839704395164,5.263321327398961,20.824932089657956,60.076662954681176,0.10496103866451603,327.1177183476766,300.7284032142926,17.013264505516556,0.9716144101504732,1.0,0.5666666666666667,0.0921,221728.48839705775,80.8404468250819,Wh,80.8404468250819,Wh
10,507fe220972b12714581b4933af1153d,SeasonalNaive,"{""method"": ""mean"", ""lag_1"": 28, ""lag_2"": 96}","{""fillna"": ""nearest"", ""transformations"": {""0"": ""Detrend"", ""1"": ""Detrend"", ""2"": ""DatepartRegression"", ""3"": ""DifferencedTransformer"", ""4"": ""DifferencedTransformer"", ""5"": ""DifferencedTransformer""}, ""transformation_params"": {""0"": {""model"": ""GLS"", ""phi"": 1, ""window"": null, ""transform_dict"": {""fillna"": null, ""transformations"": {""0"": ""ClipOutliers""}, ""transformation_params"": {""0"": {""method"": ""clip"", ""std_threshold"": 4}}}}, ""1"": {""model"": ""GLS"", ""phi"": 1, ""window"": null, ""transform_dict"": null}, ""2"": {""regression_model"": {""model"": ""ElasticNet"", ""model_params"": {""l1_ratio"": 0.5, ""fit_intercept"": true, ""selection"": ""cyclic"", ""max_iter"": 1000}}, ""datepart_method"": [""dayofweek"", 365.25], ""polynomial_degree"": null, ""transform_dict"": {""fillna"": null, ""transformations"": {""0"": ""AnomalyRemoval""}, ""transformation_params"": {""0"": {""method"": ""zscore"", ""transform_dict"": {""transformations"": {""0"": ""DatepartRegression""}, ""transformation_params"": {""0"": {""datepart_method"": ""simple_3"", ""regression_model"": {""model"": ""ElasticNet"", ""model_params"": {}}}}}, ""method_params"": {""distribution"": ""uniform"", ""alpha"": 0.05}}}}, ""holiday_countries_used"": false, ""lags"": null, ""forward_lags"": 1}, ""3"": {""lag"": 1, ""fill"": ""bfill""}, ""4"": {""lag"": 1, ""fill"": ""zero""}, ""5"": {""lag"": 1, ""fill"": ""bfill""}}}",0,1,195.15207627326762,5.474419660679996,5.566236366470965,1.0061026056069846,5.474419660679996,0.0,-328.46517964079976,5.474419660679996,0.0,1.8476798396629128,9953.586349346331,1.0,0.5666666666666667,6.628880023956299,0.95,3.758165827535363,5.289742137068043,20.848395476328577,60.26346720940645,0.1286131001239442,328.46517964079976,303.08366178185184,17.053269045886335,0.9756166782517901,195.15207627326762,5.474419660679996,5.566236366470965,1.0061026056069846,5.474419660679996,0.0,5.474419660679996,1.8476798396629128,9953.586349346331,6.628880023956299,0.95,3.758165827535363,5.289742137068043,20.848395476328577,60.26346720940645,0.1286131001239442,328.46517964079976,303.08366178185184,17.053269045886335,0.9756166782517901,1.0,0.5666666666666667,0.1835,217456.23185864743,81.17344429634637,Wh,81.17344429634637,Wh
11,594bd9ead51fea09698f3da5a5cde53e,MultivariateMotif,"{""window"": 28, ""point_method"": ""weighted_mean"", ""distance_metric"": ""matching"", ""k"": 10, ""max_windows"": 10000}","{""fillna"": ""quadratic"", ""transformations"": {""0"": ""Detrend"", ""1"": ""DatepartRegression"", ""2"": ""DifferencedTransformer"", ""3"": ""DifferencedTransformer"", ""4"": ""DifferencedTransformer""}, ""transformation_params"": {""0"": {""model"": ""GLS"", ""phi"": 1, ""window"": 30, ""transform_dict"": {""fillna"": null, ""transformations"": {""0"": ""Discretize""}, ""transformation_params"": {""0"": {""discretization"": ""center"", ""n_bins"": 20}}}}, ""1"": {""regression_model"": {""model"": ""ElasticNet"", ""model_params"": {""l1_ratio"": 0.5, ""fit_intercept"": true, ""selection"": ""cyclic"", ""max_iter"": 2000}}, ""datepart_method"": ""common_fourier_rw"", ""polynomial_degree"": null, ""transform_dict"": {""fillna"": null, ""transformations"": {""0"": ""ScipyFilter""}, ""transformation_params"": {""0"": {""method"": ""savgol_filter"", ""method_args"": {""window_length"": 31, ""polyorder"": 3, ""deriv"": 0, ""mode"": ""interp""}}}}, ""holiday_countries_used"": true, ""lags"": null, ""forward_lags"": null}, ""2"": {""lag"": 1, ""fill"": ""bfill""}, ""3"": {""lag"": 1, ""fill"": ""bfill""}, ""4"": {""lag"": 1, ""fill"": ""bfill""}}}",0,1,194.04031173545687,5.452788542111715,5.54233112178272,1.0061026056069846,5.452788542111715,0.0,-327.16731252670286,5.452788542111715,0.0,1.8483714957255897,9415.868844110006,1.0,0.5666666666666667,6.628880023956299,0.95,3.753035869760314,5.264293762281829,20.82504639453309,60.812130710141226,0.0792134272155279,327.16731252670286,300.8479962582035,17.014736898339333,0.9717617162005548,194.04031173545687,5.452788542111715,5.54233112178272,1.0061026056069846,5.452788542111715,0.0,5.452788542111715,1.8483714957255897,9415.868844110006,6.628880023956299,0.95,3.753035869760314,5.264293762281829,20.82504639453309,60.812130710141226,0.0792134272155279,327.16731252670286,300.8479962582035,17.014736898339333,0.9717617162005548,1.0,0.5666666666666667,0.3621,205718.33191234988,80.85270301105881,Wh,80.85270301105881,Wh
12,7e7682377c6ae8ad7f92e3b3dfb4e8dd,BallTreeMultivariateMotif,"{""window"": 28, ""point_method"": ""mean"", ""distance_metric"": ""euclidean"", ""k"": 100, ""sample_fraction"": 50000000, ""comparison_transformation"": null, ""combination_transformation"": null}","{""fillna"": ""median"", ""transformations"": {""0"": ""Scaler"", ""1"": ""DifferencedTransformer"", ""2"": ""Scaler"", ""3"": ""DifferencedTransformer"", ""4"": ""Detrend"", ""5"": ""DifferencedTransformer""}, ""transformation_params"": {""0"": {}, ""1"": {""lag"": 1, ""fill"": ""one""}, ""2"": {}, ""3"": {""lag"": 1, ""fill"": ""bfill""}, ""4"": {""model"": ""GLS"", ""phi"": 1, ""window"": null, ""transform_dict"": null}, ""5"": {""lag"": 1, ""fill"": ""zero""}}}",0,1,195.52603946134786,5.496079636016447,5.569495113909477,1.0061026056069846,5.496079636016447,0.0,-329.7647781609868,5.496079636016447,0.0,1.8594110911245596,9392.767325357609,1.0,0.5666666666666667,6.628880023956299,0.95,3.7632956219530778,5.315224460993279,20.870020387536325,63.06734659255931,0.06455934163082319,329.7647781609868,305.4002442675311,17.09185259684298,0.9794767829749524,195.52603946134786,5.496079636016447,5.569495113909477,1.0061026056069846,5.496079636016447,0.0,5.496079636016447,1.8594110911245596,9392.767325357609,6.628880023956299,0.95,3.7632956219530778,5.315224460993279,20.870020387536325,63.06734659255931,0.06455934163082319,329.7647781609868,305.4002442675311,17.09185259684298,0.9794767829749524,1.0,0.5666666666666667,0.0186,205215.6115848049,81.49461346320108,Wh,81.49461346320108,Wh
13,832dad14c3a63de89d3db339c2e8e2ca,BallTreeMultivariateMotif,"{""window"": 28, ""point_method"": ""mean"", ""distance_metric"": ""euclidean"", ""k"": 100, ""sample_fraction"": 50000000, ""comparison_transformation"": null, ""combination_transformation"": null}","{""fillna"": ""median"", ""transformations"": {""0"": ""Scaler"", ""1"": ""DifferencedTransformer"", ""2"": ""DifferencedTransformer"", ""3"": ""DifferencedTransformer""}, ""transformation_params"": {""0"": {}, ""1"": {""lag"": 1, ""fill"": ""one""}, ""2"": {""lag"": 1, ""fill"": ""bfill""}, ""3"": {""lag"": 1, ""fill"": ""zero""}}}",0,1,195.5260399758289,5.496079651514689,5.569495124620496,1.0061026056069846,5.496079651514689,0.0,-329.76477909088135,5.496079651514689,0.0,1.8594110945522258,9392.767221824257,1.0,0.5666666666666667,6.628880023956299,0.95,3.7632956256210695,5.315224479226505,20.87002040354383,63.06734736133758,0.06455935830016349,329.76477909088135,305.40024590118577,17.091852624450453,0.9794767857369518,195.5260399758289,5.496079651514689,5.569495124620496,1.0061026056069846,5.496079651514689,0.0,5.496079651514689,1.8594110945522258,9392.767221824257,6.628880023956299,0.95,3.7632956256210695,5.315224479226505,20.87002040354383,63.06734736133758,0.06455935830016349,329.76477909088135,305.40024590118577,17.091852624450453,0.9794767857369518,1.0,0.5666666666666667,0.01,205215.60932393756,81.49461369300548,Wh,81.49461369300548,Wh
