rank,ID,Model,ModelParameters,TransformationParameters,Ensemble,Runs,smape,mae,rmse,made,mage,custom,underestimate,mle,overestimate,imle,spl,containment,contour,maxe,oda,dwae,mqae,ewmae,uwmse,smoothness,mate,wasserstein,dwd,matse,smape_weighted,mae_weighted,rmse_weighted,made_weighted,mage_weighted,custom_weighted,mle_weighted,imle_weighted,spl_weighted,maxe_weighted,oda_weighted,dwae_weighted,mqae_weighted,ewmae_weighted,uwmse_weighted,smoothness_weighted,mate_weighted,wasserstein_weighted,dwd_weighted,matse_weighted,containment_weighted,contour_weighted,TotalRuntimeSeconds,Score,lowest_series_mape,lowest_series_mape_name,highest_series_mape,highest_series_mape_name
0,43ae8b8ebb83c1e42c356ecdc3957550,WindowRegression,"{""window_size"": 16, ""input_dim"": ""univariate"", ""output_dim"": ""1step"", ""normalize_window"": false, ""max_windows"": 5000, ""fourier_encoding_components"": null, ""scale"": true, ""datepart_method"": null, ""regression_type"": null, ""regression_model"": {""model"": ""KNN"", ""model_params"": {""n_neighbors"": 5, ""weights"": ""uniform"", ""p"": 2, ""leaf_size"": 30}}}","{""fillna"": ""zero"", ""transformations"": {""0"": ""DifferencedTransformer"", ""1"": ""DifferencedTransformer"", ""2"": ""DifferencedTransformer"", ""3"": ""Scaler"", ""4"": ""DifferencedTransformer""}, ""transformation_params"": {""0"": {""lag"": 1, ""fill"": ""bfill""}, ""1"": {""lag"": 1, ""fill"": ""zero""}, ""2"": {""lag"": 1, ""fill"": ""bfill""}, ""3"": {}, ""4"": {""lag"": 1, ""fill"": ""zero""}}}",0,1,185.35293182232695,5621.493740591159,8768.353518495163,1535.7818090355217,5621.493740591159,0.0,0.0,7.169868089827431,168644.81221773475,5621.493740591159,11608.368778247466,1.0,0.5,23056.525237202644,0.5,7470.426844450314,3069.106572281122,39598.31302336219,339537432.6490281,4.480889415523409,168644.81221773475,69473.13551602841,11217.84806497206,1044.5599026686527,185.35293182232695,5621.493740591159,8768.353518495163,1535.7818090355217,5621.493740591159,0.0,7.169868089827431,5621.493740591159,11608.368778247466,23056.525237202644,0.5,7470.426844450314,3069.106572281122,39598.31302336219,339537432.6490281,4.480889415523409,168644.81221773475,69473.13551602841,11217.84806497206,1044.5599026686527,1.0,0.5,0.5777,135484.03580062685,85840.77246161453,Wh,85840.77246161453,Wh
1,5742454056bc1ee5e0685b3cc1080edb,RollingRegression,"{""regression_model"": {""model"": ""ExtraTrees"", ""model_params"": {""n_estimators"": 100, ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""max_depth"": 20, ""criterion"": ""squared_error"", ""max_features"": 1}}, ""holiday"": false, ""mean_rolling_periods"": null, ""macd_periods"": null, ""std_rolling_periods"": 10, ""max_rolling_periods"": 28, ""min_rolling_periods"": null, ""ewm_var_alpha"": null, ""quantile90_rolling_periods"": null, ""quantile10_rolling_periods"": null, ""ewm_alpha"": 0.1, ""additional_lag_periods"": 59, ""abs_energy"": false, ""rolling_autocorr_periods"": null, ""nonzero_last_n"": null, ""add_date_part"": null, ""polynomial_degree"": null, ""x_transform"": null, ""regression_type"": null}","{""fillna"": ""ffill_mean_biased"", ""transformations"": {""0"": ""Scaler"", ""1"": ""DifferencedTransformer"", ""2"": ""DifferencedTransformer"", ""3"": ""DifferencedTransformer"", ""4"": ""DifferencedTransformer""}, ""transformation_params"": {""0"": {}, ""1"": {""lag"": 1, ""fill"": ""zero""}, ""2"": {""lag"": 1, ""fill"": ""bfill""}, ""3"": {""lag"": 1, ""fill"": ""bfill""}, ""4"": {""lag"": 1, ""fill"": ""bfill""}}}",0,1,163.59723294881286,19.222701869593646,27.06102743095331,8.650064689630597,19.222701869593646,0.0,-78.74325037002563,4.306474193000546,497.9378057177837,17.478463528908478,18292.454404074782,1.0,0.4666666666666667,57.705039774916436,0.36666666666666664,28.343602047421182,12.30972136051848,51.34363615265377,1480.7399976071542,1.082784272780574,419.19455534775807,658.6631678861371,142.9244074375594,2.5964262889269967,163.59723294881286,19.222701869593646,27.06102743095331,8.650064689630597,19.222701869593646,0.0,4.306474193000546,17.478463528908478,18292.454404074782,57.705039774916436,0.36666666666666664,28.343602047421182,12.30972136051848,51.34363615265377,1480.7399976071542,1.082784272780574,419.19455534775807,658.6631678861371,142.9244074375594,2.5964262889269967,1.0,0.4666666666666667,1.0342,117639.2634101164,293.5325828739099,Wh,293.5325828739099,Wh
2,a71f97eb82dbbea005a2b27deb933b36,RollingRegression,"{""regression_model"": {""model"": ""ExtraTrees"", ""model_params"": {""n_estimators"": 100, ""min_samples_leaf"": 1, ""max_depth"": 10}}, ""holiday"": false, ""mean_rolling_periods"": null, ""macd_periods"": null, ""std_rolling_periods"": null, ""max_rolling_periods"": 7, ""min_rolling_periods"": 7, ""ewm_var_alpha"": null, ""quantile90_rolling_periods"": null, ""quantile10_rolling_periods"": null, ""ewm_alpha"": null, ""additional_lag_periods"": 363, ""abs_energy"": false, ""rolling_autocorr_periods"": null, ""nonzero_last_n"": null, ""add_date_part"": null, ""polynomial_degree"": null, ""x_transform"": null, ""regression_type"": null}","{""fillna"": ""zero"", ""transformations"": {""0"": ""DifferencedTransformer"", ""1"": ""DifferencedTransformer"", ""2"": ""DifferencedTransformer"", ""3"": ""DifferencedTransformer""}, ""transformation_params"": {""0"": {""lag"": 1, ""fill"": ""bfill""}, ""1"": {""lag"": 1, ""fill"": ""bfill""}, ""2"": {""lag"": 1, ""fill"": ""bfill""}, ""3"": {""lag"": 1, ""fill"": ""zero""}}}",0,1,167.89191654903476,45.90997574482597,61.97318255459339,15.97058424806395,45.90997574482597,0.0,-51.34217023849487,4.3869157922474775,1325.9571021062843,44.768432579211854,17694.088134829282,1.0,0.43333333333333335,114.2527617884393,0.4,59.9067922936119,33.04637104736315,138.90061626117455,7693.051015547081,1.4248788291809324,1274.6149318677894,1526.2334445769338,238.52658774470632,7.894767895100527,167.89191654903476,45.90997574482597,61.97318255459339,15.97058424806395,45.90997574482597,0.0,4.3869157922474775,44.768432579211854,17694.088134829282,114.2527617884393,0.4,59.9067922936119,33.04637104736315,138.90061626117455,7693.051015547081,1.4248788291809324,1274.6149318677894,1526.2334445769338,238.52658774470632,7.894767895100527,1.0,0.43333333333333335,0.9939,114072.04914374821,701.0499279174535,Wh,701.0499279174535,Wh
3,ba7e337cc6f97bf3025906f39cfd0e34,ARIMA,"{""p"": 2, ""d"": 1, ""q"": 1, ""regression_type"": null}","{""fillna"": ""ffill"", ""transformations"": {""0"": ""Scaler"", ""1"": ""DifferencedTransformer"", ""2"": ""DifferencedTransformer"", ""3"": ""DifferencedTransformer"", ""4"": ""DifferencedTransformer""}, ""transformation_params"": {""0"": {}, ""1"": {""lag"": 1, ""fill"": ""bfill""}, ""2"": {""lag"": 1, ""fill"": ""bfill""}, ""3"": {""lag"": 1, ""fill"": ""zero""}, ""4"": {""lag"": 1, ""fill"": ""zero""}}}",0,1,174.5242104699495,766.8428147693659,1119.1222641857328,181.95385686238563,766.8428147693659,0.0,0.0,5.568774534381925,23005.284443080975,766.8428147693659,15547.351960140959,1.0,0.5,2731.6534601933927,0.5,959.2344771925418,468.0496253034078,5156.792841414725,5112152.765590639,2.2660501190853086,23005.284443080975,10639.636961308512,1516.8833648820678,142.4911763529616,174.5242104699495,766.8428147693659,1119.1222641857328,181.95385686238563,766.8428147693659,0.0,5.568774534381925,766.8428147693659,15547.351960140959,2731.6534601933927,0.5,959.2344771925418,468.0496253034078,5156.792841414725,5112152.765590639,2.2660501190853086,23005.284443080975,10639.636961308512,1516.8833648820678,142.4911763529616,1.0,0.5,0.1781,107857.12421704254,11709.766587682585,Wh,11709.766587682585,Wh
4,4975ae2a054cc1b48ce6396893a93190,ARIMA,"{""p"": 0, ""d"": 0, ""q"": 3, ""regression_type"": null}","{""fillna"": ""ffill"", ""transformations"": {""0"": ""DifferencedTransformer"", ""1"": ""DifferencedTransformer"", ""2"": ""DifferencedTransformer"", ""3"": ""DifferencedTransformer"", ""4"": ""Scaler""}, ""transformation_params"": {""0"": {""lag"": 1, ""fill"": ""bfill""}, ""1"": {""lag"": 7, ""fill"": ""bfill""}, ""2"": {""lag"": 1, ""fill"": ""bfill""}, ""3"": {""lag"": 1, ""fill"": ""zero""}, ""4"": {}}}",0,1,165.20050777013594,4.622447681364585,4.949121415805355,1.2584686420375406,4.622447681364585,0.0,-138.67343044093755,4.622447681364585,0.0,1.6384624362882745,11611.918932930612,1.0,0.5,6.5200700759887695,0.5,6.172498358351445,4.3055536078657735,20.928700602983326,62.064609082299185,0.052218160975465534,138.67343044093755,120.80120467102398,7.118095371874002,0.8589217960472854,165.20050777013594,4.622447681364585,4.949121415805355,1.2584686420375406,4.622447681364585,0.0,4.622447681364585,1.6384624362882745,11611.918932930612,6.5200700759887695,0.5,6.172498358351445,4.3055536078657735,20.928700602983326,62.064609082299185,0.052218160975465534,138.67343044093755,120.80120467102398,7.118095371874002,0.8589217960472854,1.0,0.5,0.1136,74630.68162619697,70.5852390738423,Wh,70.5852390738423,Wh
5,4c18ca855e0f66fe3703cdabbfecabea,WindowRegression,"{""window_size"": 5, ""input_dim"": ""univariate"", ""output_dim"": ""1step"", ""normalize_window"": false, ""max_windows"": 5000000, ""fourier_encoding_components"": null, ""scale"": false, ""datepart_method"": null, ""regression_type"": null, ""regression_model"": {""model"": ""ElasticNet"", ""model_params"": {""l1_ratio"": 0.5, ""fit_intercept"": true, ""selection"": ""cyclic"", ""max_iter"": 1000}}}","{""fillna"": ""zero"", ""transformations"": {""0"": ""DifferencedTransformer"", ""1"": ""DifferencedTransformer"", ""2"": ""DifferencedTransformer"", ""3"": ""Scaler"", ""4"": ""DifferencedTransformer""}, ""transformation_params"": {""0"": {""lag"": 1, ""fill"": ""bfill""}, ""1"": {""lag"": 1, ""fill"": ""zero""}, ""2"": {""lag"": 1, ""fill"": ""bfill""}, ""3"": {}, ""4"": {""lag"": 1, ""fill"": ""zero""}}}",0,1,171.37061859841563,426.4789113495838,592.4767982605778,88.80219226623075,426.4789113495838,0.0,0.0,5.160479355364271,12794.367340487515,426.4789113495838,10570.272020501849,1.0,0.5,1333.1776526192166,0.5,510.67978832960193,282.04498638028485,2761.2813293954814,1322998.78571985,1.4489312610781766,12794.367340487515,6419.637836140883,836.7400831689325,79.24633392595526,171.37061859841563,426.4789113495838,592.4767982605778,88.80219226623075,426.4789113495838,0.0,5.160479355364271,426.4789113495838,10570.272020501849,1333.1776526192166,0.5,510.67978832960193,282.04498638028485,2761.2813293954814,1322998.78571985,1.4489312610781766,12794.367340487515,6419.637836140883,836.7400831689325,79.24633392595526,1.0,0.5,0.0761,72259.60122954847,6512.375691978776,Wh,6512.375691978776,Wh
6,02c77a4f59fde1b4a77abf0f1ed9ac2a,RollingRegression,"{""regression_model"": {""model"": ""ExtraTrees"", ""model_params"": {""n_estimators"": 100, ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""max_depth"": 20, ""criterion"": ""squared_error"", ""max_features"": 1}}, ""holiday"": false, ""mean_rolling_periods"": null, ""macd_periods"": null, ""std_rolling_periods"": null, ""max_rolling_periods"": 7, ""min_rolling_periods"": 24, ""ewm_var_alpha"": null, ""quantile90_rolling_periods"": null, ""quantile10_rolling_periods"": null, ""ewm_alpha"": null, ""additional_lag_periods"": 3, ""abs_energy"": false, ""rolling_autocorr_periods"": null, ""nonzero_last_n"": null, ""add_date_part"": ""simple_binarized"", ""polynomial_degree"": null, ""x_transform"": null, ""regression_type"": null}","{""fillna"": ""zero"", ""transformations"": {""0"": ""DifferencedTransformer"", ""1"": ""Scaler"", ""2"": ""DifferencedTransformer"", ""3"": ""DifferencedTransformer""}, ""transformation_params"": {""0"": {""lag"": 1, ""fill"": ""zero""}, ""1"": {}, ""2"": {""lag"": 1, ""fill"": ""zero""}, ""3"": {""lag"": 1, ""fill"": ""zero""}}}",0,1,170.06065938302672,445.8651285408339,627.4054783962326,93.65347572407458,445.8651285408339,0.0,0.0,5.143494401411138,13375.953856225016,445.8651285408339,1549.5722650113826,1.0,0.5,1406.0094434507832,0.5,541.0123632914745,290.6432257278216,2915.499053759605,1477908.102507796,1.4297470511784875,13375.953856225016,6551.0471595722875,875.4792245643068,82.84859091971222,170.06065938302672,445.8651285408339,627.4054783962326,93.65347572407458,445.8651285408339,0.0,5.143494401411138,445.8651285408339,1549.5722650113826,1406.0094434507832,0.5,541.0123632914745,290.6432257278216,2915.499053759605,1477908.102507796,1.4297470511784875,13375.953856225016,6551.0471595722875,875.4792245643068,82.84859091971222,1.0,0.5,5.0947,14624.990680554192,6808.405170191898,Wh,6808.405170191898,Wh
7,9f2318db99b0eb178024b60d7772c93a,RollingRegression,"{""regression_model"": {""model"": ""Ridge"", ""model_params"": {""alpha"": 1.0}}, ""holiday"": false, ""mean_rolling_periods"": null, ""macd_periods"": null, ""std_rolling_periods"": null, ""max_rolling_periods"": 24, ""min_rolling_periods"": null, ""ewm_var_alpha"": null, ""quantile90_rolling_periods"": null, ""quantile10_rolling_periods"": null, ""ewm_alpha"": null, ""additional_lag_periods"": 59, ""abs_energy"": false, ""rolling_autocorr_periods"": 12, ""nonzero_last_n"": null, ""add_date_part"": null, ""polynomial_degree"": null, ""x_transform"": null, ""regression_type"": null}","{""fillna"": ""ffill"", ""transformations"": {""0"": ""DifferencedTransformer"", ""1"": ""DifferencedTransformer"", ""2"": ""Scaler"", ""3"": ""DifferencedTransformer""}, ""transformation_params"": {""0"": {""lag"": 1, ""fill"": ""zero""}, ""1"": {""lag"": 1, ""fill"": ""zero""}, ""2"": {}, ""3"": {""lag"": 1, ""fill"": ""bfill""}}}",0,1,166.09040738807496,318.32538453703376,452.04294048611234,68.01483365186584,318.32538453703376,0.0,0.0,4.839675632797827,9549.761536111013,318.32538453703376,1546.586652944906,1.0,0.5,1021.0992989838919,0.5,390.63949626797694,203.70114519926446,2096.2654077008906,772947.3093558893,1.2886377546604315,9549.761536111013,4618.525313790456,620.618767377071,59.1497470304038,166.09040738807496,318.32538453703376,452.04294048611234,68.01483365186584,318.32538453703376,0.0,4.839675632797827,318.32538453703376,1546.586652944906,1021.0992989838919,0.5,390.63949626797694,203.70114519926446,2096.2654077008906,772947.3093558893,1.2886377546604315,9549.761536111013,4618.525313790456,620.618767377071,59.1497470304038,1.0,0.5,7.1237,13309.89369044728,4860.860505009816,Wh,4860.860505009816,Wh
8,9dbe175c5a6c5ab3cd3fdc79438fe5fc,DatepartRegression,"{""regression_model"": {""model"": ""RandomForest"", ""model_params"": {""n_estimators"": 100, ""min_samples_leaf"": 2, ""bootstrap"": true}}, ""datepart_method"": ""expanded"", ""polynomial_degree"": null, ""holiday_countries_used"": false, ""lags"": null, ""forward_lags"": null, ""regression_type"": null}","{""fillna"": ""ffill"", ""transformations"": {""0"": ""DifferencedTransformer"", ""1"": ""DifferencedTransformer"", ""2"": ""DifferencedTransformer""}, ""transformation_params"": {""0"": {""lag"": 1, ""fill"": ""bfill""}, ""1"": {""lag"": 1, ""fill"": ""bfill""}, ""2"": {""lag"": 1, ""fill"": ""bfill""}}}",0,1,173.93440316809802,320.26378871139457,429.67505866329157,62.51119031814123,320.26378871139457,0.0,0.0,5.0654153897063,9607.913661341838,320.26378871139457,1452.7515908975208,1.0,0.5,938.4737002992233,0.5,371.3996739832462,221.3227203050922,2015.2143817820563,676925.3794989899,1.1438793741591518,9607.913661341838,5139.737025360564,624.4922468006813,59.50993230662007,173.93440316809802,320.26378871139457,429.67505866329157,62.51119031814123,320.26378871139457,0.0,5.0654153897063,320.26378871139457,1452.7515908975208,938.4737002992233,0.5,371.3996739832462,221.3227203050922,2015.2143817820563,676925.3794989899,1.1438793741591518,9607.913661341838,5139.737025360564,624.4922468006813,59.50993230662007,1.0,0.5,0.2169,12640.082191108653,4890.46013090079,Wh,4890.46013090079,Wh
9,2a5203aad42fde783dd5832015a4a0aa,DatepartRegression,"{""regression_model"": {""model"": ""ElasticNet"", ""model_params"": {""l1_ratio"": 0.5, ""fit_intercept"": true, ""selection"": ""cyclic"", ""max_iter"": 1000}}, ""datepart_method"": [52, ""quarter""], ""polynomial_degree"": null, ""holiday_countries_used"": false, ""lags"": null, ""forward_lags"": null, ""regression_type"": null}","{""fillna"": ""rolling_mean_24"", ""transformations"": {""0"": ""Scaler"", ""1"": ""Scaler"", ""2"": ""DifferencedTransformer"", ""3"": ""DifferencedTransformer"", ""4"": ""DifferencedTransformer""}, ""transformation_params"": {""0"": {}, ""1"": {}, ""2"": {""lag"": 1, ""fill"": ""bfill""}, ""3"": {""lag"": 1, ""fill"": ""bfill""}, ""4"": {""lag"": 1, ""fill"": ""bfill""}}}",0,1,174.54348169999315,292.5994911993543,384.7690776545916,54.52985921361477,292.5994911993543,0.0,0.0,5.036424278379803,8777.98473598063,292.5994911993543,1448.1447244872677,1.0,0.5,818.6508446335793,0.5,333.134585957341,207.76208065994084,1809.4315057843376,530214.5035216742,1.0098323093240371,8777.98473598063,4861.2232453957295,569.2111611535892,54.3694808091975,174.54348169999315,292.5994911993543,384.7690776545916,54.52985921361477,292.5994911993543,0.0,5.036424278379803,292.5994911993543,1448.1447244872677,818.6508446335793,0.5,333.134585957341,207.76208065994084,1809.4315057843376,530214.5035216742,1.0098323093240371,8777.98473598063,4861.2232453957295,569.2111611535892,54.3694808091975,1.0,0.5,0.0694,12304.96816266814,4468.023537065549,Wh,4468.023537065549,Wh
10,0b090d0e7328fa191cb51fa06b511219,ARIMA,"{""p"": 0, ""d"": 1, ""q"": 1, ""regression_type"": ""Holiday""}","{""fillna"": ""fake_date"", ""transformations"": {""0"": ""Scaler"", ""1"": ""DifferencedTransformer"", ""2"": ""DifferencedTransformer"", ""3"": ""DifferencedTransformer""}, ""transformation_params"": {""0"": {}, ""1"": {""lag"": 1, ""fill"": ""bfill""}, ""2"": {""lag"": 1, ""fill"": ""zero""}, ""3"": {""lag"": 1, ""fill"": ""zero""}}}",0,1,174.99678633859165,277.7119546196947,358.0983288859644,49.611980279096905,277.7119546196947,0.0,0.0,5.029585832200506,8331.358638590842,277.7119546196947,1444.2902990902069,1.0,0.5,744.8192631549398,0.5,310.64362716510954,202.2065062298109,1687.3152250368855,450256.17025379546,0.9291377224091857,8331.358638590842,4772.722668569352,539.4616551566922,51.60314778843176,174.99678633859165,277.7119546196947,358.0983288859644,49.611980279096905,277.7119546196947,0.0,5.029585832200506,277.7119546196947,1444.2902990902069,744.8192631549398,0.5,310.64362716510954,202.2065062298109,1687.3152250368855,450256.17025379546,0.9291377224091857,8331.358638590842,4772.722668569352,539.4616551566922,51.60314778843176,1.0,0.5,0.3375,12106.724158662575,4240.689362374441,Wh,4240.689362374441,Wh
11,770b3ed81447a40e4af484d7b595405f,RollingRegression,"{""regression_model"": {""model"": ""ExtraTrees"", ""model_params"": {""n_estimators"": 100, ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""max_depth"": 20, ""criterion"": ""squared_error"", ""max_features"": 1}}, ""holiday"": false, ""mean_rolling_periods"": null, ""macd_periods"": null, ""std_rolling_periods"": 10, ""max_rolling_periods"": 24, ""min_rolling_periods"": null, ""ewm_var_alpha"": null, ""quantile90_rolling_periods"": null, ""quantile10_rolling_periods"": null, ""ewm_alpha"": 0.5, ""additional_lag_periods"": 6, ""abs_energy"": false, ""rolling_autocorr_periods"": null, ""nonzero_last_n"": null, ""add_date_part"": null, ""polynomial_degree"": null, ""x_transform"": null, ""regression_type"": null}","{""fillna"": ""rolling_mean_24"", ""transformations"": {""0"": ""DifferencedTransformer"", ""1"": ""DifferencedTransformer"", ""2"": ""DifferencedTransformer""}, ""transformation_params"": {""0"": {""lag"": 1, ""fill"": ""zero""}, ""1"": {""lag"": 1, ""fill"": ""bfill""}, ""2"": {""lag"": 1, ""fill"": ""bfill""}}}",0,1,149.29127266040697,34.78140418449514,47.782845969460894,12.781879045075364,34.78140418449514,0.0,-39.308210372924805,3.8456097579035804,1004.1339151619293,33.9111208104611,1452.501438687987,1.0,0.4666666666666667,90.31691961536492,0.4666666666666667,45.622870745463466,24.19941158133879,120.14534357608233,4576.032130939884,1.3393978097164925,964.8257047890045,1041.3784595322065,165.1501839431315,5.975981300779285,149.29127266040697,34.78140418449514,47.782845969460894,12.781879045075364,34.78140418449514,0.0,3.8456097579035804,33.9111208104611,1452.501438687987,90.31691961536492,0.4666666666666667,45.622870745463466,24.19941158133879,120.14534357608233,4576.032130939884,1.3393978097164925,964.8257047890045,1041.3784595322065,165.1501839431315,5.975981300779285,1.0,0.4666666666666667,1.0279,9771.06449244269,531.1155255654027,Wh,531.1155255654027,Wh
12,afec0186dcb159d37643a4de4ea9c263,RollingRegression,"{""regression_model"": {""model"": ""ExtraTrees"", ""model_params"": {""n_estimators"": 100, ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""max_depth"": 20, ""criterion"": ""squared_error"", ""max_features"": 1}}, ""holiday"": false, ""mean_rolling_periods"": null, ""macd_periods"": null, ""std_rolling_periods"": null, ""max_rolling_periods"": 7, ""min_rolling_periods"": 7, ""ewm_var_alpha"": null, ""quantile90_rolling_periods"": null, ""quantile10_rolling_periods"": null, ""ewm_alpha"": null, ""additional_lag_periods"": 59, ""abs_energy"": false, ""rolling_autocorr_periods"": null, ""nonzero_last_n"": null, ""add_date_part"": null, ""polynomial_degree"": null, ""x_transform"": null, ""regression_type"": null}","{""fillna"": ""ffill"", ""transformations"": {""0"": ""DifferencedTransformer"", ""1"": ""DifferencedTransformer"", ""2"": ""DifferencedTransformer""}, ""transformation_params"": {""0"": {""lag"": 1, ""fill"": ""bfill""}, ""1"": {""lag"": 1, ""fill"": ""bfill""}, ""2"": {""lag"": 1, ""fill"": ""bfill""}}}",0,1,126.83326578520855,7.332613199539605,9.124517343452093,3.3900404882754875,7.332613199539605,0.0,-70.76811661376475,3.4596259486831342,149.2102793724234,5.778697289585622,1383.5520708840784,1.0,0.4,18.83912280837141,0.4,10.23513819061917,5.2878195982734795,27.783181133165137,179.78772014894008,0.6775234029359855,78.44216275865864,156.83826830859894,34.66471836641891,0.4858586328200524,126.83326578520855,7.332613199539605,9.124517343452093,3.3900404882754875,7.332613199539605,0.0,3.4596259486831342,5.778697289585622,1383.5520708840784,18.83912280837141,0.4,10.23513819061917,5.2878195982734795,27.783181133165137,179.78772014894008,0.6775234029359855,78.44216275865864,156.83826830859894,34.66471836641891,0.4858586328200524,1.0,0.4,0.9953,9027.867881684115,111.9697379836482,Wh,111.9697379836482,Wh
13,d245b7915d19854aa02d6fa021bd248f,ARIMA,"{""p"": 4, ""d"": 3, ""q"": 2, ""regression_type"": null}","{""fillna"": ""mean"", ""transformations"": {""0"": ""DifferencedTransformer"", ""1"": ""DifferencedTransformer"", ""2"": ""Scaler"", ""3"": ""DifferencedTransformer"", ""4"": ""Scaler""}, ""transformation_params"": {""0"": {""lag"": 1, ""fill"": ""bfill""}, ""1"": {""lag"": 1, ""fill"": ""bfill""}, ""2"": {}, ""3"": {""lag"": 1, ""fill"": ""bfill""}, ""4"": {}}}",0,1,167.79770318911721,4.667158517073972,4.996377713116461,1.336735057761527,4.667158517073972,0.0,-140.01475551221915,4.667158517073972,0.0,1.6441740921211787,1348.7123166426597,1.0,0.5,6.5200700759887695,0.5,6.24913715101308,4.359206610717037,21.00050280433366,63.05755316630146,0.09080001761350329,140.01475551221915,122.9465533799589,7.239240495990549,0.8672297562358028,167.79770318911721,4.667158517073972,4.996377713116461,1.336735057761527,4.667158517073972,0.0,4.667158517073972,1.6441740921211787,1348.7123166426597,6.5200700759887695,0.5,6.24913715101308,4.359206610717037,21.00050280433366,63.05755316630146,0.09080001761350329,140.01475551221915,122.9465533799589,7.239240495990549,0.8672297562358028,1.0,0.5,0.6107,8802.109240137172,71.26797801331402,Wh,71.26797801331402,Wh
